event_utc,cycle_run_id,event_type,supplier_id,f061_run_id,status,rows,notes
2026-05-13T21:54:10Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4339,processed_rows=4328;memory_rows=32960
2026-05-13T21:55:50Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12746
2026-05-13T21:55:50Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4364,processed_rows=4353;memory_rows=32985
2026-05-13T21:57:00Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12721
2026-05-13T21:57:00Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4389,processed_rows=4378;memory_rows=33010
2026-05-13T21:58:38Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12696
2026-05-13T21:58:38Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4414,processed_rows=4403;memory_rows=33035
2026-05-13T22:00:27Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12671
2026-05-13T22:00:27Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4439,processed_rows=4428;memory_rows=33060
2026-05-13T22:03:06Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12646
2026-05-13T22:03:06Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4464,processed_rows=4453;memory_rows=33085
2026-05-13T22:06:46Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T22:06:54Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T22:08:01Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T22:08:06Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T22:05:22Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12621
2026-05-13T22:05:22Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4497,processed_rows=4486;memory_rows=33110
2026-05-13T22:09:45Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12596
2026-05-13T22:09:45Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4522,processed_rows=4511;memory_rows=33135
2026-05-13T22:17:19Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T22:17:26Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T22:14:12Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12571
2026-05-13T22:14:12Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4547,processed_rows=4536;memory_rows=33160
2026-05-13T22:22:25Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12546
2026-05-13T22:22:25Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4573,processed_rows=4562;memory_rows=33185
2026-05-13T22:26:23Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12521
2026-05-13T22:26:23Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4599,processed_rows=4588;memory_rows=33210
2026-05-13T22:28:25Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12496
2026-05-13T22:28:25Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4624,processed_rows=4613;memory_rows=33235
2026-05-13T22:35:23Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12471
2026-05-13T22:35:23Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4649,processed_rows=4638;memory_rows=33260
2026-05-13T22:41:39Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T22:41:44Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T22:42:25Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T22:42:32Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T22:40:32Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12446
2026-05-13T22:40:32Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4677,processed_rows=4666;memory_rows=33285
2026-05-13T22:44:44Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12421
2026-05-13T22:44:44Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4703,processed_rows=4692;memory_rows=33310
2026-05-13T22:46:46Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12396
2026-05-13T22:46:46Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4728,processed_rows=4717;memory_rows=33335
2026-05-13T22:54:12Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T22:54:18Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T22:51:13Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12371
2026-05-13T22:51:13Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4755,processed_rows=4744;memory_rows=33360
2026-05-13T22:55:24Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12346
2026-05-13T22:55:24Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4780,processed_rows=4769;memory_rows=33385
2026-05-13T23:00:16Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12321
2026-05-13T23:00:16Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4805,processed_rows=4794;memory_rows=33410
2026-05-13T23:11:31Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:11:38Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:13:19Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:13:27Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:14:10Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:14:17Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:15:56Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:16:02Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:17:03Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:17:09Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:18:18Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:18:23Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:20:39Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:20:46Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:21:31Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:21:36Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:23:01Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:23:08Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
