sku,phase,phase_entered_utc,strategy_start_date,phase_lock_until_utc,below_floor_streak_days,recovery_streak_days,last_transition_reason_codes_json,updated_utc
RW-AZK6-O4M2,1,2026-03-04T14:05:00Z,2026-03-04T14:05:00Z,,0,99,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-07T23:46:05Z
0R-GRRH-W0Z9,3,2026-03-06T05:57:08Z,2026-03-04T14:05:00Z,2026-03-20T05:57:08Z,32,32,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-06T16:40:48Z
0G-JB6S-PN34,3,2026-03-06T05:57:08Z,2026-03-04T14:05:00Z,2026-03-20T05:57:08Z,296,296,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-11T23:45:13Z
2G-AYBQ-TUQG,4,2026-06-01T00:03:33Z,2026-03-04T14:05:00Z,2026-06-15T00:03:33Z,3468,0,"[""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
3X-EXDD-TD2K,4,2026-06-01T00:03:33Z,2026-03-04T14:05:00Z,2026-06-15T00:03:33Z,2,0,"[""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
4W-VS57-BV6A,1,2026-03-04T14:05:00Z,2026-03-04T14:05:00Z,,0,285,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-11T23:45:13Z
5Z-6Z0P-9TQQ,1,2026-03-04T14:05:00Z,2026-03-04T14:05:00Z,,0,39,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-12T11:14:09Z
6Q-9G2A-IKVV,3,2026-05-15T05:45:40Z,2026-03-04T14:05:00Z,2026-05-29T05:45:40Z,0,815,"[""PHASE_FROZEN_OUT_OF_STOCK"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-05-26T16:52:16Z
714810,4,2026-06-01T00:03:33Z,2026-03-04T14:05:00Z,2026-06-15T00:03:33Z,0,0,"[""PHASE_TIME_TRIGGER_ELIGIBLE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-06-10T07:40:03Z
8M-NHB7-T8TR,3,2026-03-06T07:36:01Z,2026-03-04T14:05:00Z,2026-03-20T07:36:01Z,0,0,"[""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE""]",2026-03-17T09:33:21Z
