offer_variant_id,sku,seller_id_canonical,fulfilment_channel,condition,shipping_template,variant_first_seen_utc,variant_last_seen_utc,variant_active_flag
ov_0fc4f09277d732310670,2G-AYBQ-TUQG,a2mkn0vb529p1z,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_d2f188fca5ab7c31c224,SZ-UL4K-SE7W,ab5om860ms57z,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_490c69f9df8261434444,Q1-00D7-5IQF,a2fyqkku6ky80u,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_5d7a7f74d9ad22536362,Q1-00D7-5IQF,a2nz8olg199kzk,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_5e89c16d1c3daea6d158,R4-0AXZ-ZZ9D,a2kvf7qxnclv8h,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_60c6d3e951fce5cb5d3e,R7-98IN-2PW8,a2fi12zpzvayqd,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_e6e3ee4f5c4d6a27050f,JE-D4LO-O2JD,a3q9yky9layx89,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_ed2612be0864332f767a,JE-D4LO-O2JD,a23yesn4hokwsk,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_c9fb9f7dc82cdff3c4fc,JE-D4LO-O2JD,ajdnvsiiutkcm,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_b532dd703ddf87931121,LV-425G-BY4X,aqlg49fufj7y2,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_4503dccc083ab3dcfd8c,LV-425G-BY4X,a30dc7701cxibh,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_f092df8f6bf276ba5003,SZ-UL4K-SE7W,a88xi38rab5gb,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_4ed5fcc8e73d9e4ead15,SZ-UL4K-SE7W,a2n1aoxoq5zjei,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_fcd8ced41278e9689a0a,SZ-UL4K-SE7W,axglrhpeg39d4,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_7b2f7d175bf9d37bbd3c,SZ-UL4K-SE7W,a16i54qhm91pul,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_e3e18fe38628975708f1,SZ-UL4K-SE7W,a2kus9ikk4p5hk,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_29ea606dbc2cd789756d,SZ-UL4K-SE7W,acpgk8iv8ott8,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_ac8201bb610fdf0680e0,SZ-UL4K-SE7W,ajdnvsiiutkcm,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_6cdb9189c5cdb656c90a,SZ-UL4K-SE7W,a3kxs2zfsiwbkg,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_e4fe2cccd497f5389f40,SZ-UL4K-SE7W,as389a34mues,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_389ab59e202e9fa9fac8,SZ-UL4K-SE7W,auj0dp392tzpk,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_16abe40351c917e58a33,SZ-UL4K-SE7W,aesa82u2vpr6j,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_be9695eb6b1db8ed2607,FA-LRV6-YRFW,a2kvf7qxnclv8h,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_cf8b9e3b744b161fee0a,EV-CHU5-XU3G,aiugiaqi5ma94,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_c7b338ff92cf19d4dd1e,EV-CHU5-XU3G,ag6tfkidqz5hc,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_1443ad96939f4b913a21,EV-CHU5-XU3G,a3i2ir095yb92h,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_dd1ec422f6c140b7176a,EV-CHU5-XU3G,a88xi38rab5gb,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_fce542a563d6c71df93e,EV-CHU5-XU3G,a32zf3br9zcvoo,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_8272da1cfd7c0eb876c4,TK-E7QE-T40G,a2wejfq52yv5pc,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_b056f5cb249f13b3a3d7,VU-8KRA-QP5M,a23yesn4hokwsk,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_84298adde379fbc99b96,H6-E7MP-EBPD,a2f06gbnbbvt5q,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_23b0abba4aa9a6dce393,LV-425G-BY4X,a3aufrch1zy5hp,FBM,,UNKNOWN,2026-03-17T04:41:26Z,2026-03-17T04:41:26Z,1
ov_1c4a7ad24acc48ae9cb8,XE-YPAI-HX9F,a1i8x3giq4lkr5,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_322de861659c6d786d03,SZ-UL4K-SE7W,a227if3h19yzou,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_a9dc6a61e4e0926a8956,XH-0LAE-FQO5,a328tdckzbquhr,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_e350d3037a7ae28f8866,XH-0LAE-FQO5,a1evccxk6lnil8,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_eec6276021f9c5b0b352,2G-AYBQ-TUQG,a39po69kww9tp7,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_869b4120da9f6a4ffb52,XY-UM2X-TPS3,a1icokz7c5jv02,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_ba264291298cc1d07b5b,Z7-26PV-O9LR,a1evccxk6lnil8,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_ff078e8a456eba0c2c0c,Z7-26PV-O9LR,a2i5aperxbgalk,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_da99f7b15302dad1c618,2T-07RT-8IMX,ajdnvsiiutkcm,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_0e54ba2e1f1f719dbaef,2T-07RT-8IMX,a3q9yky9layx89,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_a2ebfd836fd956b4213b,2T-07RT-8IMX,a1333ap7b2gtmm,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_07b903b95da2c565f47c,2T-07RT-8IMX,a2m79perya8cpq,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_218dbeb5cf055da2409c,2T-07RT-8IMX,a30dc7701cxibh,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_c9a6b08e3a9d05d658e0,2T-07RT-8IMX,a2kvf7qxnclv8h,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_8b0838c9260fb43e816e,49-4UKW-G81R,a1ok8jg963zpmt,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_c33f420f550ab1665ed7,49-4UKW-G81R,a1r64iunvwpsmr,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_069e0c7805b8de68c660,49-4UKW-G81R,a19dyv9z8apsy3,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_ad9d9153880277693a4b,49-4UKW-G81R,a1jtb2r3qulpam,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
