event_ts_utc,date_utc,sku,status
2026-03-07T17:01:09Z,2026-03-07,FA-LRV6-YRFW,ok
2026-03-07T17:01:09Z,2026-03-07,FB-6FW0-Z82Q,ok
2026-03-07T17:01:09Z,2026-03-07,GY-FO04-RDYL,ok
2026-03-07T17:01:09Z,2026-03-07,H6-E7MP-EBPD,ok
2026-03-07T17:01:09Z,2026-03-07,HL-03ZR-QPHH,ok
2026-03-07T17:01:09Z,2026-03-07,IJ-V0PQ-4CZ4,ok
2026-03-07T17:01:09Z,2026-03-07,L5-PF3B-WHU4,ok
2026-03-07T17:01:09Z,2026-03-07,LR-7GM6-1RCH,ok
2026-03-07T17:01:09Z,2026-03-07,OV-LVEL-DQL6,ok
2026-03-07T17:01:09Z,2026-03-07,Q1-00D7-5IQF,ok
2026-03-07T17:01:09Z,2026-03-07,R4-0AXZ-ZZ9D,ok
2026-03-07T17:01:09Z,2026-03-07,R7-98IN-2PW8,ok
2026-03-07T17:01:09Z,2026-03-07,RI-VSUS-0YTD,ok
2026-03-07T17:01:09Z,2026-03-07,RZ-6ZL9-CZ7J,ok
2026-03-07T17:01:09Z,2026-03-07,TK-E7QE-T40G,ok
2026-03-07T17:01:09Z,2026-03-07,UR-Q7TM-1F3I,ok
2026-03-07T17:01:09Z,2026-03-07,VF-3T0K-DR5O,ok
2026-03-07T17:01:09Z,2026-03-07,VU-8KRA-QP5M,ok
2026-03-07T17:01:09Z,2026-03-07,WE-1Z7L-SA2I,ok
2026-03-07T17:01:09Z,2026-03-07,WJ-YHKC-EES5,ok
2026-03-07T17:01:09Z,2026-03-07,X7-MY4W-H2I4,ok
2026-03-07T17:01:09Z,2026-03-07,XE-YPAI-HX9F,ok
2026-03-07T17:01:09Z,2026-03-07,XH-0LAE-FQO5,ok
2026-03-07T17:01:09Z,2026-03-07,XY-UM2X-TPS3,ok
2026-03-07T17:01:09Z,2026-03-07,YC-3L3M-BV48,ok
2026-03-07T17:01:09Z,2026-03-07,YO-EKK2-FRCC,ok
2026-03-07T17:01:09Z,2026-03-07,Z7-26PV-O9LR,ok
2026-03-07T17:01:09Z,2026-03-07,6V-EEC1-2S9Z,ok
2026-03-07T17:01:09Z,2026-03-07,RW-AZK6-O4M2,ok
2026-03-12T00:01:09Z,2026-03-12,49-4UKW-G81R,ok
2026-03-12T00:01:09Z,2026-03-12,4F-HT42-FD26,ok
2026-03-12T00:01:09Z,2026-03-12,BB-ZT14-1QQA,ok
2026-03-12T00:01:09Z,2026-03-12,EV-CHU5-XU3G,ok
2026-03-12T00:01:09Z,2026-03-12,JE-D4LO-O2JD,ok
2026-03-12T00:01:09Z,2026-03-12,LV-425G-BY4X,ok
