event_ts_utc,sku,our_delivery_penalty_gbp,compliance_ceiling_landed_gbp,eligibility_ceiling_landed_gbp,demand_ceiling_landed_gbp,final_ceiling_landed_gbp,binding_ceiling_type,ceiling_reason_codes_json
2026-02-13T20:44:54Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-13T20:59:58Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-13T21:15:01Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-13T21:30:05Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-13T21:45:09Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-13T22:00:13Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-13T22:15:18Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-13T22:30:22Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-13T22:45:26Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-13T23:00:29Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-13T23:15:34Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-13T23:30:37Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-13T23:45:41Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T00:00:45Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T00:15:49Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T00:30:53Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T00:45:57Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T01:01:01Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T01:16:05Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T01:31:09Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T01:46:13Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T02:01:17Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T02:16:21Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T02:31:25Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T02:46:29Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T03:01:33Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T03:16:37Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T03:31:40Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
