"Order number";"Order date";"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Expenses";"Net profit";"Margin";"ROI";"Coupon";"Comment"
"204-7288365-8497158 / Unshipped / COG: 1.6 / FBA";"25.01.2026";"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 7.01";"B0CP69JJGG";"3B-3H3V-Z93T";"2";"";"14.02";"";"";"";"-7.58";"-3.2";"";"0.90";"";"0.90";"6.44";"28.23";"";""
"203-4550858-2467567 / Shipped / COG: 3.99 / FBA";"25.01.2026";"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland / Price: 8.17";"B093FQYQJH";"NN-TSZ1-X2RD";"1";"";"8.17";"";"";"";"-2.19";"-3.99";"";"0.46";"";"0.46";"5.63";"11.53";"";""
"203-8165959-2654748 / Unshipped / COG: 2.25 / FBA";"25.01.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 7.88";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"7.88";"";"";"";"-2.69";"-2.25";"";"1.63";"";"1.63";"20.64";"72.30";"";""
"206-2045508-7645901 / Unshipped / COG: 0.68 / FBA";"25.01.2026";"TEPE INTERDENTAL Travel CASE / Price: 3";"B0073FT7FY";"DC-K5WH-R7F5";"1";"";"3";"";"";"";"-1.75";"-0.68";"";"0.07";"";"0.07";"2.33";"10.29";"";""
"206-7670755-7033965 / Unshipped / COG: 3.7 / FBA";"25.01.2026";"Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red / Price: 9.99";"B004I2N5AS";"L3-ZQ8U-A7LQ";"1";"";"9.99";"";"";"";"-3.02";"-3.7";"";"1.61";"";"1.61";"16.07";"43.38";"";""
"202-9969160-4806717 / Shipped / COG: 1.72 / FBA";"25.01.2026";"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.59";"B007R2ICTK";"WX-L5UA-UB1Q";"1";"";"5.59";"";"";"";"-2.29";"-1.72";"";"0.65";"";"0.65";"11.60";"37.69";"";""
"206-6373934-4168342 / Shipped / COG: 1.6 / FBA";"25.01.2026";"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 7.01";"B0CP69JJGG";"3B-3H3V-Z93T";"1";"";"7.01";"";"";"";"-3.79";"-1.6";"";"0.45";"";"0.45";"6.44";"28.23";"";""
"205-8227127-9767504 / Unshipped / COG: 4.51 / FBA";"25.01.2026";"Everbuild Industrial Grade Superglue GP 50 g Pack of 3 / Price: 11.89";"B006PFN3BW";"A2-T2AC-TW3L";"1";"";"11.89";"";"";"";"-4.15";"-4.51";"";"1.25";"";"1.25";"10.50";"27.68";"";""
"026-6344892-6892327 / Unshipped / COG: 1.72 / FBA";"25.01.2026";"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.59";"B007R2ICTK";"WX-L5UA-UB1Q";"1";"";"5.59";"";"";"";"-2.29";"-1.72";"";"0.65";"";"0.65";"11.60";"37.69";"";""
"202-7682096-6840307 / Shipped / COG: 0.68 / FBA";"25.01.2026";"TEPE INTERDENTAL Travel CASE / Price: 3";"B0073FT7FY";"DC-K5WH-R7F5";"2";"";"6";"";"";"";"-3.49";"-1.36";"";"0.15";"";"0.15";"2.50";"11.03";"";""
