"Date","Transaction type","Order ID","Product Details","Total product charges","Total promotional rebates","Amazon fees","Other","Total (EUR)"
"23/11/2025","Order Payment","403-0324237-7264339","Learning Resources Kanoodle 3D Brain Tea...","12.35","0","-8.35","3.24","7.24"
"23/11/2025","Order Payment","405-4040477-8964363","Learning Resources Kanoodle 3D Brain Tea...","12.35","0","-8.36","3.24","7.23"
"23/11/2025","Order Payment","171-1394689-4796324","Learning Resources Kanoodle 3D Brain Tea...","12.29","0","-8.34","3.24","7.19"
"20/11/2025","Order Payment","405-3113592-7240343","100 Ultra Pro Card Protector Sleeves: Pr...","8.79","0","-7.15","3.24","4.88"
"19/11/2025","Order Payment","407-6593457-2265135","Leder Games Root: The Clockwork Expansio...","32.13","0","-10.39","0","21.74"
"17/11/2025","Order Payment","408-0585826-9477104","Price's - Time for You Large Jar Candle ...","16.56","0","-7.03","0","9.53"
"17/11/2025","Order Payment","408-0871798-9145933","Ultimate Guard UGD010696 Boulder Deck Ca...","10.95","0","-5.66","0","5.29"
"15/11/2025","Order Payment","171-4696512-5684335","Yale YES-CYLPULL-CH Essentials Rim Cylin...","4.05","0","-2.66","0","1.39"
"13/11/2025","Order Payment","405-6297277-6180358","Yu Gi Oh! Legendary Decks 2 2024 Unlimit...","24.18","0","-8.74","0","15.44"
"8/11/2025","Inventory Reimbursement","403-7451287-6477157","FBA inventory reimbursement","0","0","0","1.04","1.04"
"2/11/2025","Order Payment","402-5540359-3265157","Yu Gi Oh! Legendary Decks 2 2024 Unlimit...","24.18","0","-8.74","0","15.44"
"2/11/2025","Order Payment","406-0245433-9880317","Free League Publishing MÖRK Borg (Fantas...","38.86","0","-9.37","0","29.49"
"30/10/2025","Refund","171-7966603-4016369","Brush-Baby Applemint Toothpaste 0-3 Year...","-5.57","0","0.53","0","-5.04"
"30/10/2025","Order Payment","403-5258149-4820359","Dragon Shield ART11105 White (60) Matte ...","8.59","0","-4.58","0","4.01"
"28/10/2025","Order Payment","407-6956773-9457925","Wisdom Pro Flex Interdental Brushes 0.70...","7.24","0","-3.52","0","3.72"
"25/10/2025","Order Payment","171-7966603-4016369","Brush-Baby Applemint Toothpaste 0-3 Year...","5.57","0","-3.33","0","2.24"
