seller_sku,allocated,available,returned_pending,unsellable,warehouse,order_qty,allocated_qty,unallocated_qty,asin,fnsku,condition,inventory_status,inventory_total_quantity,in_stock_supply_quantity,inbound_working,inventory_inbound_shipped,inventory_inbound_receiving,inventory_available,inventory_unsellable,reserved_transfers,reserved_processing,reserved_customer,last_updated_time,inventory_inbound,refund_events,stock_adjustment_events,token_total,available_tokens,warehouse_tokens,unsellable_tokens,returned_pending_tokens,ready_to_allocate,delta_inbound_vs_tokens,report_ts
6V-EEC1-2S9Z,1425,86,0,0,8,1425,3,1422,B06WW79DX5,X0024FWWTJ,NewItem,,102.0,90,0,0.0,0.0,90,0,0,8,4,2026-01-20T11:45:49Z,0,0,104,1519,86,8,0,0,False,8,2026-01-20T13:24:57Z
714776,6,0,0,0,0,6,0,6,B001KYTW0O,X002DZYLKN,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-08T00:10:21Z,0,0,5,6,0,0,0,0,False,0,2026-01-20T13:24:57Z
714810,1,11,0,0,0,1,0,1,B002BX8ZFG,X002DZYN47,NewItem,,11.0,11,0,0.0,0.0,11,0,0,0,0,2026-01-20T09:24:11Z,0,0,0,12,11,0,0,0,True,0,2026-01-20T13:24:57Z
79-CPJ6-DSG6,16,0,0,0,0,16,0,16,9189143051,X0029FKV7J,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-15T09:17:49Z,0,0,3,16,0,0,0,0,False,0,2026-01-20T13:24:57Z
7H-7G2P-ONWJ,15,0,0,0,0,15,0,15,B081Q9CFGC,X00204V32V,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-14T00:53:13Z,0,0,0,15,0,0,0,0,False,0,2026-01-20T13:24:57Z
7L-OT45-7LYB,59,0,0,0,0,59,0,59,B01NBDFDBC,X0023ITOJX,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-21T16:49:55Z,0,0,4,59,0,0,0,0,False,0,2026-01-20T13:24:57Z
7M-48OU-23X3,0,15,0,0,0,0,0,0,B004GFPFBO,X0029XG251,NewItem,,15.0,15,0,0.0,0.0,15,0,0,0,0,2026-01-12T07:29:31Z,0,0,0,15,15,0,0,0,True,0,2026-01-20T13:24:57Z
81-3DY5-BFOR,4,0,0,0,0,4,0,4,B07W45L22P,X0025E26D1,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-22T01:17:22Z,0,0,0,4,0,0,0,0,False,0,2026-01-20T13:24:57Z
86-1VHQ-ABNK,0,39,0,0,0,0,0,0,B08WPCW7TH,X0029FM4IN,NewItem,,39.0,39,0,0.0,0.0,39,0,0,0,0,2026-01-20T04:25:34Z,0,0,0,39,39,0,0,0,True,0,2026-01-20T13:24:57Z
8L-INBX-OUTU,14,0,0,0,0,14,0,14,B016Y8SWZQ,X0028A4OZZ,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2026-01-06T13:34:36Z,0,0,0,14,0,0,0,0,False,0,2026-01-20T13:24:57Z
