seller_sku,allocated,available,returned_pending,unsellable,warehouse,order_qty,allocated_qty,unallocated_qty,asin,fnsku,condition,inventory_status,inventory_total_quantity,in_stock_supply_quantity,inbound_working,inventory_inbound_shipped,inventory_inbound_receiving,inventory_available,inventory_unsellable,reserved_transfers,reserved_processing,reserved_customer,last_updated_time,inventory_inbound,refund_events,stock_adjustment_events,token_total,available_tokens,warehouse_tokens,unsellable_tokens,returned_pending_tokens,ready_to_allocate,delta_inbound_vs_tokens,report_ts
OV-LVEL-DQL6,2,9,0,0,0,2,0,2,B08W25WKTN,X0024EBXZJ,NewItem,,9.0,9,0,0.0,0.0,9,0,0,0,0,2026-01-14T03:40:41Z,0,0,0,11,9,0,0,0,True,0,2026-01-20T13:24:57Z
OZ-3NKR-VLYG,0,0,0,1,0,0,0,0,B0049A27FS,X00246LQUT,NewItem,,1.0,0,0,0.0,0.0,0,1,0,0,0,2025-11-10T04:27:24Z,0,0,0,1,0,0,1,0,True,0,2026-01-20T13:24:57Z
PE-G94Y-4PYO,9,6,0,0,0,9,0,9,B011SEA38A,X00200KRQD,NewItem,,6.0,6,0,0.0,0.0,6,0,0,0,0,2026-01-20T03:24:09Z,0,0,0,15,6,0,0,0,False,0,2026-01-20T13:24:57Z
PY-XV78-3OG5,7,0,0,0,0,7,0,7,B0D3J9M2H8,X002E028OX,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2026-01-06T13:34:22Z,0,0,2,7,0,0,0,0,False,0,2026-01-20T13:24:57Z
QM-QAGK-D2UQ,0,1,0,0,0,0,0,0,,,,,,,,,,0,0,,,,,0,0,1,1,1,0,0,0,True,0,2026-01-20T13:24:57Z
R4-0AXZ-ZZ9D,8,7,0,0,0,8,0,8,B0844ZRHS9,X002F5H8QP,NewItem,,7.0,7,0,0.0,0.0,7,0,0,0,0,2026-01-16T20:32:14Z,0,0,4,15,7,0,0,0,False,0,2026-01-20T13:24:57Z
R7-98IN-2PW8,32,50,4,2,1,36,0,36,B08CHKHTWX,X002EPBTD9,NewItem,,57.0,54,0,0.0,0.0,54,2,0,1,0,2026-01-20T09:25:06Z,0,4,6,89,50,1,2,4,True,1,2026-01-20T13:24:57Z
RB-82FL-T88J,14,0,0,1,0,14,0,14,B0CJ8TNZ67,X0025HM0ED,NewItem,,1.0,0,0,0.0,0.0,0,1,0,0,0,2026-01-20T04:22:30Z,0,0,0,15,0,0,1,0,False,0,2026-01-20T13:24:57Z
RI-VSUS-0YTD,7,16,0,0,0,7,0,7,B08MVGD2ND,X002EE4EKP,NewItem,,16.0,16,0,0.0,0.0,16,0,0,0,0,2026-01-14T04:42:47Z,0,0,0,23,16,0,0,0,True,0,2026-01-20T13:24:57Z
RW-AZK6-O4M2,11,31,0,0,0,11,0,11,B00F4LA0K0,X0028A4KS1,NewItem,,31.0,31,0,0.0,0.0,31,0,0,0,0,2026-01-20T10:09:14Z,0,0,3,42,31,0,0,0,True,0,2026-01-20T13:24:57Z
RZ-6ZL9-CZ7J,9,50,0,0,0,9,0,9,B075XT2J8X,X0029FIBPX,NewItem,,50.0,50,0,0.0,0.0,50,0,0,0,0,2026-01-15T17:08:54Z,0,0,0,59,50,0,0,0,True,0,2026-01-20T13:24:57Z
SC-LYFM-ORXK,16,0,0,0,0,16,0,16,B07QXSDZJM,X001XSP71D,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-15T06:22:54Z,0,0,0,16,0,0,0,0,False,0,2026-01-20T13:24:57Z
SQ-7QYT-5D5B,10,0,0,0,1,10,0,10,B0915M1DLF,X002BPXUYN,NewItem,,1.0,0,0,0.0,0.0,0,0,0,1,0,2025-12-12T21:50:50Z,0,0,0,11,0,1,0,0,False,1,2026-01-20T13:24:57Z
SR-6OBB-WC03,83,17,1,0,0,84,0,84,B06XXDNH1P,X002ASBMFZ,NewItem,,18.0,18,0,0.0,0.0,18,0,0,0,0,2026-01-20T01:15:07Z,0,1,0,101,17,0,0,1,False,0,2026-01-20T13:24:57Z
SU-5LQH-2DVN,54,19,1,0,0,55,0,55,B07SLLYRSP,X001XRRDUH,NewOEM,,20.0,20,0,0.0,0.0,20,0,0,0,0,2026-01-18T04:33:19Z,0,1,3,74,19,0,0,1,False,0,2026-01-20T13:24:57Z
SU-JM8R-2U82,5,0,0,0,0,5,0,5,B09ST7SSLW,X00204SAZ9,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2026-01-13T16:27:51Z,0,0,0,5,0,0,0,0,False,0,2026-01-20T13:24:57Z
T8-6UWL-I3E1,2,69,0,0,0,2,0,2,B001OXH0X2,X00298OQXB,NewItem,,69.0,69,0,0.0,0.0,69,0,0,0,0,2026-01-20T04:29:41Z,0,0,0,71,69,0,0,0,True,0,2026-01-20T13:24:57Z
TE-Y18U-S2O1,5,0,0,0,0,5,0,5,B08X1WM596,X0029XFO6T,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-23T17:46:38Z,0,0,0,5,0,0,0,0,False,0,2026-01-20T13:24:57Z
TJ-6LOP-OPEU,2,17,0,0,0,2,0,2,B08P63MSS9,X0029FLX21,NewItem,,17.0,17,0,0.0,0.0,17,0,0,0,0,2026-01-12T11:28:17Z,0,0,0,19,17,0,0,0,True,0,2026-01-20T13:24:57Z
TK-E7QE-T40G,5,17,0,2,0,5,0,5,B000FPU2SK,X0020N76XR,NewItem,,19.0,17,0,0.0,0.0,17,2,0,0,0,2026-01-19T14:10:16Z,0,0,0,24,17,0,2,0,True,0,2026-01-20T13:24:57Z
TU-8I14-25ZR,88,30,1,0,0,89,0,89,B0CN5KRVXB,X002F5S5VH,NewItem,,31.0,31,0,0.0,0.0,31,0,0,0,0,2026-01-20T09:20:30Z,0,1,6,119,30,0,0,1,False,0,2026-01-20T13:24:57Z
U1-M5BM-8F5W,9,0,0,0,0,9,0,9,B0C9J86XCZ,X0024E8Z4B,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2026-01-06T13:34:50Z,0,0,0,9,0,0,0,0,False,0,2026-01-20T13:24:57Z
UL-D0Y8-ZNI5,7,0,0,0,0,7,0,7,B08DR97BX2,X002EE1UEX,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-31T05:10:51Z,0,0,0,7,0,0,0,0,False,0,2026-01-20T13:24:57Z
UR-Q7TM-1F3I,3,1,0,0,0,3,0,3,B072YZPBJ3,X0028LVSAN,NewItem,,1.0,1,0,0.0,0.0,1,0,0,0,0,2026-01-12T21:01:07Z,0,0,64,4,1,0,0,0,False,0,2026-01-20T13:24:57Z
US-AK96-YFSB,0,3,0,0,0,0,0,0,B002DPGTF0,X0025FRZ4F,NewItem,,3.0,3,0,0.0,0.0,3,0,0,0,0,2026-01-14T05:37:46Z,0,0,3,3,3,0,0,0,True,0,2026-01-20T13:24:57Z
VF-3T0K-DR5O,303,488,0,0,2,303,0,303,B08KFFY86W,X00208SK8H,NewItem,,491.0,488,0,0.0,0.0,488,0,0,2,1,2026-01-19T23:47:03Z,0,0,98,793,488,2,0,0,True,2,2026-01-20T13:24:57Z
VL-48KZ-J3F2,46,0,0,0,0,46,0,46,B07L8N2TC1,X00298HW6T,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-25T08:07:51Z,0,0,4,46,0,0,0,0,False,0,2026-01-20T13:24:57Z
VO-A6AR-18YS,2,1,0,0,0,2,0,2,B09NQDQ8X7,X002ASB1M9,NewItem,,1.0,1,0,0.0,0.0,1,0,0,0,0,2026-01-20T05:32:55Z,0,0,0,3,1,0,0,0,False,0,2026-01-20T13:24:57Z
VU-8KRA-QP5M,36,43,0,0,0,36,0,36,B0BNLWBLMV,X002C8KRMR,NewItem,,43.0,43,0,0.0,0.0,43,0,0,0,0,2026-01-18T19:39:19Z,0,0,0,79,43,0,0,0,True,0,2026-01-20T13:24:57Z
WE-1Z7L-SA2I,0,39,0,0,0,0,0,0,B08MVG9QZW,X002EE53Y1,NewItem,,39.0,39,0,0.0,0.0,39,0,0,0,0,2026-01-15T20:28:19Z,0,0,0,39,39,0,0,0,True,0,2026-01-20T13:24:57Z
WJ-YHKC-EES5,2,1,0,0,0,2,0,2,B07CN7NRF7,X00290XJ6J,NewItem,,1.0,1,0,0.0,0.0,1,0,0,0,0,2026-01-16T14:59:36Z,0,0,0,3,1,0,0,0,False,0,2026-01-20T13:24:57Z
WX-L5UA-UB1Q,552,250,1,1,0,553,0,553,B007R2ICTK,X002057DE7,NewItem,,255.0,251,0,0.0,0.0,251,1,0,0,3,2026-01-20T11:13:04Z,0,1,22,804,250,0,1,1,False,0,2026-01-20T13:24:57Z
X7-MY4W-H2I4,12,1,0,0,0,12,0,12,B00S9IXBVU,X00298HYM1,NewItem,,1.0,1,0,0.0,0.0,1,0,0,0,0,2026-01-20T08:26:38Z,0,0,6,13,1,0,0,0,False,0,2026-01-20T13:24:57Z
XE-27ZG-EZPZ,1,17,0,0,0,1,0,1,B0001IWX7E,X002AFARJP,NewItem,,17.0,17,0,0.0,0.0,17,0,0,0,0,2026-01-19T03:33:37Z,0,0,0,18,17,0,0,0,True,0,2026-01-20T13:24:57Z
XE-YPAI-HX9F,85,0,0,0,0,85,0,85,B086ZD7MG6,X00293G0VR,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2026-01-17T14:01:28Z,0,0,7,85,0,0,0,0,False,0,2026-01-20T13:24:57Z
XG-Z9LW-Z27Q,9,0,0,0,0,9,0,9,B09NQ9YX9R,X002AS5TMR,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-20T22:18:31Z,0,0,2,9,0,0,0,0,False,0,2026-01-20T13:24:57Z
XH-0LAE-FQO5,293,24,0,0,1,293,0,293,B00AOES9GE,X00206JNTT,NewItem,,26.0,24,0,0.0,0.0,24,0,0,1,1,2026-01-20T03:59:30Z,0,0,110,318,24,1,0,0,False,1,2026-01-20T13:24:57Z
XH-OMMJ-C7MT,7,0,0,0,0,7,0,7,B096BPSDRZ,X001Y3YP9R,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-15T14:06:57Z,0,0,0,7,0,0,0,0,False,0,2026-01-20T13:24:57Z
XY-UM2X-TPS3,23,36,1,0,0,24,0,24,B003VTZAM0,X00298OTDN,NewItem,,37.0,37,0,0.0,0.0,37,0,0,0,0,2026-01-17T13:16:15Z,0,1,2,60,36,0,0,1,True,0,2026-01-20T13:24:57Z
YC-3L3M-BV48,3,11,0,0,1,3,0,3,B0CTD6Q6KY,X002AFI3HN,NewItem,,12.0,11,0,0.0,0.0,11,0,0,1,0,2026-01-19T09:37:33Z,0,0,4,15,11,1,0,0,True,1,2026-01-20T13:24:57Z
YO-EKK2-FRCC,5,7,0,0,0,5,0,5,B00BWU7MNU,X0028GYIGT,NewItem,,7.0,7,0,0.0,0.0,7,0,0,0,0,2026-01-19T18:43:37Z,0,0,5,12,7,0,0,0,True,0,2026-01-20T13:24:57Z
Z3-ORV9-K8XD,190,0,0,0,0,190,0,190,B000FGECAI,X0021XOD1J,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2026-01-19T16:12:01Z,0,0,0,190,0,0,0,0,False,0,2026-01-20T13:24:57Z
Z7-26PV-O9LR,139,21,1,0,1,140,0,140,B07J9JGZZV,X0022RICEN,NewItem,,26.0,22,0,0.0,0.0,22,0,0,1,3,2026-01-20T11:23:02Z,0,1,1,162,21,1,0,1,False,1,2026-01-20T13:24:57Z
Z9-FBUQ-EZN3,11,0,0,0,0,11,0,11,B074RQ8G8Z,X002AQ6CZH,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-16T01:53:10Z,0,0,3,11,0,0,0,0,False,0,2026-01-20T13:24:57Z
ZI-1MA2-8QGC,5,0,0,0,0,5,0,5,B08M8CQHHV,X0024FEL0R,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-24T03:48:24Z,0,0,0,5,0,0,0,0,False,0,2026-01-20T13:24:57Z
ZT-QPY3-P24I,0,2,0,0,0,0,0,0,B0D3JBBGSB,X0029PJW0L,NewItem,,2.0,2,0,0.0,0.0,2,0,0,0,0,2026-01-20T02:42:37Z,0,0,2,2,2,0,0,0,True,0,2026-01-20T13:24:57Z
ZU-PFDN-JSYV,14,0,0,0,0,14,0,14,B07MW9H6P4,X002B9YJFN,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-25T17:44:21Z,0,0,4,14,0,0,0,0,False,0,2026-01-20T13:24:57Z
ZV-RLOD-Q0JI,10,0,0,0,0,10,0,10,B0BS1WDHP7,X002EE4P5J,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-30T18:13:40Z,0,0,4,10,0,0,0,0,False,0,2026-01-20T13:24:57Z
