order_id_raw,Order date,Product,ASIN,sku,Units,Refunds,Sales,Promo,Sellable Quota,Refund сost,Amazon fees,sb_cogs,Shipping,Gross profit,Expenses,Net profit,Margin,ROI,Coupon,Comment,order_id,sys_cogs,diff,abs_diff
408-0036689-3441978 / Unshipped / COG: 4.85 / FBA,25.01.2026,"Minecraft Zombie Light - Officially Licensed Merchandise, Portable Night Light and Gaming Room Decor for Kids, Gift for Gamer, Battery Powered | Paladone, Green / Price: 12.13",B0844ZRHS9,R4-0AXZ-ZZ9D,1.0,,12.13,,,,-6.33,-4.85,,-1.07,,-1.07,-8.84,-22.1,,,408-0036689-3441978,0.0,4.85,4.85
202-3881260-6626750 / Shipped / COG: 2.46 / FBA,25.01.2026,The Army Painter | Hobby: Super Glue / Price: 7.49,B07QQDMJ6M,EV-CHU5-XU3G,1.0,,7.49,,,,-2.62,-2.46,,1.16,,1.16,15.51,47.22,,,202-3881260-6626750,-2.73,-0.27,0.27
206-8681050-0364352 / Shipped / COG: 4.3 / FBA,25.01.2026,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical) / Price: 8.7,B07J9JGZZV,Z7-26PV-O9LR,1.0,,8.7,,,,-2.34,-4.3,,0.61,,0.61,7.01,14.19,,,206-8681050-0364352,-4.44,-0.14000000000000057,0.14000000000000057
202-3937777-2862725 / Shipped / COG: 2.55 / FBA,25.01.2026,"Fackelmann Sieve 15cm⌀, Strainer, Fine Mesh, Stainless Steel, 15x20x32.5cm, Silver / Price: 9.99",B0009JJZ8A,GK-YI4S-C158,1.0,,9.99,,,,-4.25,-2.55,,1.53,,1.53,15.27,59.8,,,202-3937777-2862725,-2.58,-0.03000000000000025,0.03000000000000025
206-3794350-9833168 / Shipped / COG: 2.55 / FBA,25.01.2026,"Fackelmann Sieve 15cm⌀, Strainer, Fine Mesh, Stainless Steel, 15x20x32.5cm, Silver / Price: 9.99",B0009JJZ8A,GK-YI4S-C158,1.0,,9.99,,,,-4.25,-2.55,,1.53,,1.53,15.27,59.8,,,206-3794350-9833168,-2.58,-0.03000000000000025,0.03000000000000025
203-4550858-2467567 / Shipped / COG: 3.99 / FBA,25.01.2026,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland / Price: 8.17",B093FQYQJH,NN-TSZ1-X2RD,1.0,,8.17,,,,-2.19,-3.99,,0.46,,0.46,5.63,11.53,,,203-4550858-2467567,-3.99,0.0,0.0
204-7288365-8497158 / Unshipped / COG: 1.6 / FBA,25.01.2026,"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1) / Price: 7.01",B0CP69JJGG,3B-3H3V-Z93T,2.0,,14.02,,,,-7.58,-3.2,,0.9,,0.9,6.44,28.23,,,204-7288365-8497158,-3.2,0.0,0.0
205-8227127-9767504 / Unshipped / COG: 4.51 / FBA,25.01.2026,Everbuild Industrial Grade Superglue GP 50 g Pack of 3 / Price: 11.89,B006PFN3BW,A2-T2AC-TW3L,1.0,,11.89,,,,-4.15,-4.51,,1.25,,1.25,10.5,27.68,,,205-8227127-9767504,-4.51,0.0,0.0
026-6344892-6892327 / Unshipped / COG: 1.72 / FBA,25.01.2026,"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.59",B007R2ICTK,WX-L5UA-UB1Q,1.0,,5.59,,,,-2.29,-1.72,,0.65,,0.65,11.6,37.69,,,026-6344892-6892327,-1.72,0.0,0.0
202-7682096-6840307 / Shipped / COG: 0.68 / FBA,25.01.2026,TEPE INTERDENTAL Travel CASE / Price: 3,B0073FT7FY,DC-K5WH-R7F5,2.0,,6.0,,,,-3.49,-1.36,,0.15,,0.15,2.5,11.03,,,202-7682096-6840307,-1.36,0.0,0.0
203-8165959-2654748 / Unshipped / COG: 2.25 / FBA,25.01.2026,3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 7.88,B06WW79DX5,6V-EEC1-2S9Z,1.0,,7.88,,,,-2.69,-2.25,,1.63,,1.63,20.64,72.3,,,203-8165959-2654748,-2.25,0.0,0.0
206-2045508-7645901 / Unshipped / COG: 0.68 / FBA,25.01.2026,TEPE INTERDENTAL Travel CASE / Price: 3,B0073FT7FY,DC-K5WH-R7F5,1.0,,3.0,,,,-1.75,-0.68,,0.07,,0.07,2.33,10.29,,,206-2045508-7645901,-0.68,0.0,0.0
