event_ts_utc,sku,our_delivery_penalty_gbp,compliance_ceiling_landed_gbp,eligibility_ceiling_landed_gbp,demand_ceiling_landed_gbp,final_ceiling_landed_gbp,binding_ceiling_type,ceiling_reason_codes_json
2026-02-13T15:55:59Z,DEMO-SKU,0.00,18.33,18.95,19.00,18.33,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-27T11:21:25Z,DEMO-SKU,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T11:21:31Z,DEMO-SKU,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T11:21:49Z,DEMO-SKU,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T11:21:51Z,DEMO-SKU,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T11:31:29Z,DEMO-SKU,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T11:34:02Z,DEMO-GUARD-SKU,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T11:34:34Z,DEMO-GUARD-SKU,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T12:15:47Z,0G-JB6S-PN34,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T12:15:47Z,ZZ-NOT-COHORT,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T12:15:47Z,6V-EEC1-2S9Z,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T12:19:57Z,0G-JB6S-PN34,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T12:19:57Z,ZZ-NOT-COHORT,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T12:19:57Z,6V-EEC1-2S9Z,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T12:19:57Z,0R-GRRH-W0Z9,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T12:19:57Z,2G-AYBQ-TUQG,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T12:24:11Z,0G-JB6S-PN34,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T12:24:11Z,ZZ-NOT-COHORT,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T12:24:11Z,6V-EEC1-2S9Z,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T12:24:11Z,0R-GRRH-W0Z9,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
2026-02-27T12:24:11Z,2G-AYBQ-TUQG,0.00,20.00,18.95,19.00,18.95,ELIGIBILITY,"[""BINDING_CEILING_ELIGIBILITY"",""CEILING_RULE_INPUTS_MISSING""]"
