offer_snapshot_id,snapshot_ts_utc,sku,asin,marketplace_id,seller_id_raw,seller_id_canonical,offer_variant_id,fulfilment_channel,condition,listing_price_gbp,shipping_gbp,landed_price_gbp,min_delivery_days,max_delivery_days,is_prime,is_featured_offer_winner,is_our_offer,promo_suspected_flag,unknown_outcome_flag
49e903ff-7571-47da-ba2a-23776825a960,2026-02-13T15:55:59Z,DEMO-SKU,DEMO-ASIN,A1F83G8C2ARO7P,OUR_SELLER,our_seller,ov_339114d7b097bfda0c2a,FBA,,10.40,0.00,10.40,1,2,,0,1,0,0
49bb433f-4d0f-40c6-91fe-f85bcfc84696,2026-02-13T15:55:59Z,DEMO-SKU,DEMO-ASIN,A1F83G8C2ARO7P,RIVAL_A,rival_a,ov_477f5eaed6e356fa1854,FBA,,10.30,0.00,10.30,1,1,,1,0,0,0
6e3e5334-4ade-48ca-9975-332716b53548,2026-02-27T11:21:25Z,DEMO-SKU,DEMO-ASIN,A1F83G8C2ARO7P,OUR_SELLER,our_seller,ov_339114d7b097bfda0c2a,FBA,,10.40,0.00,10.40,1,2,,0,1,0,0
6a8c5603-f76d-4cfa-90b2-782843d2d60f,2026-02-27T11:21:25Z,DEMO-SKU,DEMO-ASIN,A1F83G8C2ARO7P,RIVAL_A,rival_a,ov_477f5eaed6e356fa1854,FBA,,10.30,0.00,10.30,1,1,,1,0,0,0
564e56a1-0d10-48f0-a796-c8265b359cf1,2026-02-27T11:21:31Z,DEMO-SKU,DEMO-ASIN,A1F83G8C2ARO7P,OUR_SELLER,our_seller,ov_339114d7b097bfda0c2a,FBA,,10.40,0.00,10.40,1,2,,0,1,0,0
eb65be59-63ea-4b64-b9c7-294604c6a184,2026-02-27T11:21:31Z,DEMO-SKU,DEMO-ASIN,A1F83G8C2ARO7P,RIVAL_A,rival_a,ov_477f5eaed6e356fa1854,FBA,,10.30,0.00,10.30,1,1,,1,0,0,0
99ebddcb-7362-4e04-a49e-4d996ca2f0dc,2026-02-27T11:21:49Z,DEMO-SKU,DEMO-ASIN,A1F83G8C2ARO7P,OUR_SELLER,our_seller,ov_339114d7b097bfda0c2a,FBA,,10.40,0.00,10.40,1,2,,0,1,0,0
814efc07-929d-4f28-8bc0-ece3658be019,2026-02-27T11:21:49Z,DEMO-SKU,DEMO-ASIN,A1F83G8C2ARO7P,RIVAL_A,rival_a,ov_477f5eaed6e356fa1854,FBA,,10.30,0.00,10.30,1,1,,1,0,0,0
b41d6416-3bfb-4ce4-8f26-9716f4bc1121,2026-02-27T11:21:51Z,DEMO-SKU,DEMO-ASIN,A1F83G8C2ARO7P,OUR_SELLER,our_seller,ov_339114d7b097bfda0c2a,FBA,,10.40,0.00,10.40,1,2,,0,1,0,0
643ff117-c235-4a00-9f78-ad6a2a705731,2026-02-27T11:21:51Z,DEMO-SKU,DEMO-ASIN,A1F83G8C2ARO7P,RIVAL_A,rival_a,ov_477f5eaed6e356fa1854,FBA,,10.30,0.00,10.30,1,1,,1,0,0,0
09e6af46-c0ec-4115-8129-091eef54b01c,2026-02-27T11:31:29Z,DEMO-SKU,DEMO-ASIN,A1F83G8C2ARO7P,OUR_SELLER,our_seller,ov_339114d7b097bfda0c2a,FBA,,10.40,0.00,10.40,1,2,,0,1,0,0
e4217a6f-271a-41c6-b339-9031ecbf75db,2026-02-27T11:31:29Z,DEMO-SKU,DEMO-ASIN,A1F83G8C2ARO7P,RIVAL_A,rival_a,ov_477f5eaed6e356fa1854,FBA,,10.30,0.00,10.30,1,1,,1,0,0,0
a371dc34-3e1a-4a2c-bf72-f53d8a6b34d2,2026-02-27T11:34:02Z,DEMO-GUARD-SKU,DEMO-GUARD-ASIN,A1F83G8C2ARO7P,OUR_SELLER,our_seller,ov_c545b1928e3d6abadae1,FBA,,10.40,0.00,10.40,1,2,,0,1,0,0
0f049c32-96f4-4eb2-bc50-71180a3adbd4,2026-02-27T11:34:02Z,DEMO-GUARD-SKU,DEMO-GUARD-ASIN,A1F83G8C2ARO7P,RIVAL_A,rival_a,ov_e61c4eb0d1e6a12ea962,FBA,,10.30,0.00,10.30,1,1,,1,0,0,0
25a66e05-4d65-465a-acca-981678675000,2026-02-27T11:34:02Z,DEMO-GUARD-SKU,DEMO-GUARD-ASIN,A1F83G8C2ARO7P,OUR_SELLER,our_seller,ov_c545b1928e3d6abadae1,FBA,,10.40,0.00,10.40,1,2,,0,1,0,0
1c3bd8be-27f1-47b8-9683-328106520bca,2026-02-27T11:34:02Z,DEMO-GUARD-SKU,DEMO-GUARD-ASIN,A1F83G8C2ARO7P,RIVAL_A,rival_a,ov_e61c4eb0d1e6a12ea962,FBA,,10.30,0.00,10.30,1,1,,1,0,0,0
619379b8-77e1-4327-aa24-1045fdac8f8d,2026-02-27T11:34:34Z,DEMO-GUARD-SKU,DEMO-GUARD-ASIN,A1F83G8C2ARO7P,OUR_SELLER,our_seller,ov_c545b1928e3d6abadae1,FBA,,10.40,0.00,10.40,1,2,,0,1,0,0
1dfd3557-8e00-480b-8386-1961b741070b,2026-02-27T11:34:34Z,DEMO-GUARD-SKU,DEMO-GUARD-ASIN,A1F83G8C2ARO7P,RIVAL_A,rival_a,ov_e61c4eb0d1e6a12ea962,FBA,,10.30,0.00,10.30,1,1,,1,0,0,0
7ca8f686-e737-46a5-b758-454590b53932,2026-02-27T11:34:34Z,DEMO-GUARD-SKU,DEMO-GUARD-ASIN,A1F83G8C2ARO7P,OUR_SELLER,our_seller,ov_c545b1928e3d6abadae1,FBA,,10.40,0.00,10.40,1,2,,0,1,0,0
6890c754-e6c7-4f84-bb6f-a209e3306eb8,2026-02-27T11:34:34Z,DEMO-GUARD-SKU,DEMO-GUARD-ASIN,A1F83G8C2ARO7P,RIVAL_A,rival_a,ov_e61c4eb0d1e6a12ea962,FBA,,10.30,0.00,10.30,1,1,,1,0,0,0
