event_ts_utc,sku,from_phase,to_phase,transition_reason_codes_json,diagnostics_snapshot_json
2026-02-27T11:21:49Z,DEMO-SKU,,0,"[""PHASE_ENGINE_TARGET_DEFAULT_P0"",""PHASE_ENGINE_SHADOW_ACTIVE"",""PHASE_STATE_BOOTSTRAPPED"",""PHASE_TRANSITION_RECORDED""]","{""asin"":""DEMO-ASIN"",""marketplace_id"":""A1F83G8C2ARO7P"",""pricing_writer_mode"":""CODEX_H"",""enabled_live_writes"":""0""}"
2026-02-27T11:31:42Z,0G-JB6S-PN34,,1,"[""PHASE_INITIALIZED_P1"",""PHASE_ENGINE_SHADOW_ACTIVE"",""PHASE_TRANSITION_RECORDED""]","{""sku"":""0G-JB6S-PN34"",""strategy_start_date"":""2026-02-27T11:31:42Z"",""days_under_new_strategy"":1,""rolling_14d_units"":4.0,""below_floor_market"":""0"",""current_stock_units"":120.0,""phase_prev"":1,""phase_new"":1}"
2026-02-27T11:31:42Z,0R-GRRH-W0Z9,,1,"[""PHASE_INITIALIZED_P1"",""PHASE_ENGINE_SHADOW_ACTIVE"",""PHASE_TRANSITION_RECORDED""]","{""sku"":""0R-GRRH-W0Z9"",""strategy_start_date"":""2026-02-27T11:31:42Z"",""days_under_new_strategy"":1,""rolling_14d_units"":"""",""below_floor_market"":""0"",""current_stock_units"":6.0,""phase_prev"":1,""phase_new"":1}"
2026-02-27T11:31:42Z,2G-AYBQ-TUQG,,1,"[""PHASE_INITIALIZED_P1"",""PHASE_ENGINE_SHADOW_ACTIVE"",""PHASE_TRANSITION_RECORDED""]","{""sku"":""2G-AYBQ-TUQG"",""strategy_start_date"":""2026-02-27T11:31:42Z"",""days_under_new_strategy"":1,""rolling_14d_units"":4.0,""below_floor_market"":""0"",""current_stock_units"":4.0,""phase_prev"":1,""phase_new"":1}"
2026-02-27T11:31:42Z,3X-EXDD-TD2K,,1,"[""PHASE_INITIALIZED_P1"",""PHASE_ENGINE_SHADOW_ACTIVE"",""PHASE_TRANSITION_RECORDED""]","{""sku"":""3X-EXDD-TD2K"",""strategy_start_date"":""2026-02-27T11:31:42Z"",""days_under_new_strategy"":1,""rolling_14d_units"":1.5555555555555554,""below_floor_market"":""0"",""current_stock_units"":5.0,""phase_prev"":1,""phase_new"":1}"
2026-02-27T11:31:42Z,4W-VS57-BV6A,,1,"[""PHASE_INITIALIZED_P1"",""PHASE_ENGINE_SHADOW_ACTIVE"",""PHASE_TRANSITION_RECORDED""]","{""sku"":""4W-VS57-BV6A"",""strategy_start_date"":""2026-02-27T11:31:42Z"",""days_under_new_strategy"":1,""rolling_14d_units"":2.333333333333333,""below_floor_market"":""0"",""current_stock_units"":16.0,""phase_prev"":1,""phase_new"":1}"
2026-02-27T11:34:34Z,DEMO-GUARD-SKU,1,3,"[""PHASE_INPUTS_PARTIAL"",""PHASE_FAST_TRACK_BELOW_FLOOR"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE"",""PHASE_TRANSITION_RECORDED""]","{""sku"":""DEMO-GUARD-SKU"",""strategy_start_date"":""2026-02-07T11:34:34Z"",""days_under_new_strategy"":21,""rolling_14d_units"":"""",""below_floor_market"":""1"",""current_stock_units"":"""",""phase_prev"":1,""phase_new"":3}"
2026-02-27T12:15:47Z,0G-JB6S-PN34,2,1,"[""PHASE_RECOVERY_DOWNGRADE"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE"",""PHASE_TRANSITION_RECORDED""]","{""sku"":""0G-JB6S-PN34"",""strategy_start_date"":""2026-02-07T12:15:47Z"",""days_under_new_strategy"":21,""rolling_14d_units"":4.0,""below_floor_market"":""0"",""current_stock_units"":120.0,""phase_prev"":2,""phase_new"":1}"
2026-02-27T12:15:47Z,ZZ-NOT-COHORT,,1,"[""PHASE_INITIALIZED_P1"",""PHASE_INPUTS_PARTIAL"",""PHASE_ENGINE_ENABLED_NO_BEHAVIOUR_CHANGE"",""PHASE_ENGINE_SHADOW_ACTIVE"",""PHASE_TRANSITION_RECORDED""]","{""sku"":""ZZ-NOT-COHORT"",""strategy_start_date"":""2026-02-27T12:15:47Z"",""days_under_new_strategy"":1,""rolling_14d_units"":"""",""below_floor_market"":""0"",""current_stock_units"":"""",""phase_prev"":1,""phase_new"":1}"
