Timestamp,ASIN,SKU,FBA/FBM Stock,Reserved,Sent  to FBA
10/26/2024 10:49:59,B0C9J86XCZ,U1-M5BM-8F5W,31,0,0
10/26/2024 10:49:59,B0074JFW3A,KR-H2ZK-DRS7,61,0,0
10/26/2024 10:49:59,B0002TT36Q,W3-H7LU-CTRI,6,0,0
10/26/2024 10:49:59,B014G545T6,9H-K7TV-V6NU,33,0,0
10/26/2024 10:49:59,B01FJOSX3W,FR-41MF-KWKU,10,2,0
10/26/2024 10:49:59,B07NH5TQSF,NY-AI90-84GR,10,0,0
10/26/2024 10:49:59,B0009JJZ8A,GK-YI4S-C158,6,9,0
10/26/2024 10:49:59,B07BC5H5Q6,YP-C2ZB-ES8H,12,0,0
10/26/2024 10:49:59,B08MW8XMNQ,5Z-6Z0P-9TQQ,18,0,0
10/26/2024 10:49:59,B08WYDVF97,66-6EUM-PSH8,7,0,0
10/26/2024 10:49:59,B0D3JD4FFD,DV-USYD-8WR2,18,0,0
10/26/2024 10:49:59,B000FPU2SK,TK-E7QE-T40G,27,1,0
10/26/2024 10:49:59,B00284EJ3K,B7-9S5E-KOHG,49,0,0
10/26/2024 10:49:59,B0044P0MHS,S8-3SXM-Y0JF,4,0,0
10/26/2024 10:49:59,B0054RRCQY,90-0G83-3P0X,10,1,0
10/26/2024 10:49:59,B00DI2B8IU,3Z-S01D-H4GA,15,0,0
10/26/2024 10:49:59,B00R6C2JPO,B2-5FFM-153A,12,0,0
10/26/2024 10:49:59,B07772WMSM,8T-HE78-3AQ3,23,0,0
10/26/2024 10:49:59,B07RXCFY28,ZJ-9IR6-7M3A,16,0,0
10/26/2024 10:49:59,B0864N9WBR,TX-7TYN-NVF4,6,0,0
10/26/2024 10:49:59,B08FMRRD53,NB-UWOU-68PW,59,0,0
10/26/2024 10:49:59,B08FR6S7CD,K2-VE7K-V9TU,14,0,0
10/26/2024 10:49:59,B0B6GC25G1,3V-HQSI-8QRU,2,0,0
10/26/2024 10:49:59,B0B6GD6QF8,94-X6R7-SCOW,1,0,0
10/26/2024 10:49:59,B0BLRF1Q55,7W-PCZV-CX51,10,0,0
10/26/2024 10:49:59,B0CHBQ7M5H,8N-DRTH-Z7K0,15,0,0
10/26/2024 10:49:59,B0CKS4H64X,MY-85FY-TSON,18,0,0
10/26/2024 10:49:59,B0D3JBV3MY,ZU-VG38-OF3L,10,0,0
10/26/2024 10:49:59,B0012B4EXK,R4-IXFX-2AQQ,24,0,0
10/26/2024 10:49:59,B002BWSZS4,IB-PMXX-S0AE,25,0,0
10/26/2024 10:49:59,B002ZTVMDI,1A-S381-J09C,11,0,0
10/26/2024 10:49:59,B0037B0C66,K5-QUBI-YTWD,28,0,0
10/26/2024 10:49:59,B003TYWR5K,0C-AOG2-B23Z,30,0,0
10/26/2024 10:49:59,B004I2N5AS,L3-ZQ8U-A7LQ,10,0,0
10/26/2024 10:49:59,B007C3KBIY,JH-97NP-GJDG,16,2,0
10/26/2024 10:49:59,B00B2KJ59Y,UR-W905-8D8D,24,0,3
10/26/2024 10:49:59,B00BUY54DI,FA-LRV6-YRFW,15,3,0
10/26/2024 10:49:59,B00CRGM45O,10-JQEP-V8I7,14,0,0
