Timestamp,ASIN,SKU,"ROI, %",Estimated Sales Velocity
9/27/2024 16:55:14,B0074JFW3A,KR-H2ZK-DRS7,5,0.07
9/27/2024 16:55:14,B0044P0MHS,S8-3SXM-Y0JF,-7,0.06
9/27/2024 16:55:14,B00DI2B8IU,3Z-S01D-H4GA,37,0.06
9/27/2024 16:55:14,B07DPPBBZP,PI-JTWZ-8YNT,59,0.06
9/27/2024 16:55:14,B07W65T6VT,2T-07RT-8IMX,41,0.06
9/27/2024 16:55:14,B07WGHTLLL,V0-8QPG-0A04,183,0.06
9/27/2024 16:55:14,B0C6YDPSJ7,WO-75W6-980Q,18,0.06
9/27/2024 16:55:14,B000FGECAI,Z3-ORV9-K8XD,23,0.05
9/27/2024 16:55:14,B01H10I0P8,YF-KP66-IJY6,-4,0.04
9/27/2024 16:55:14,B0D3JD4FFD,DV-USYD-8WR2,50,0.04
9/27/2024 16:55:14,B002ZTVMDI,1A-S381-J09C,-39,0.03
9/27/2024 16:55:14,B01N273YMX,RY-2DTP-16YZ,-17,0.03
9/27/2024 16:55:14,B071ZFGRQB,JC-NYJZ-DIWR,91,0.03
9/27/2024 16:55:14,B072HKRVGB,4Y-2V2S-KSTO,-47,0.03
9/27/2024 16:55:14,B07BC5K5W5,BM-1O5E-RW8I,32,0.03
9/27/2024 16:55:14,B0012B4EXK,R4-IXFX-2AQQ,15,0.02
9/27/2024 16:55:14,B00R6C2JPO,B2-5FFM-153A,11,0.02
9/27/2024 16:55:14,B0054RRCQY,90-0G83-3P0X,109,0.01
9/27/2024 16:55:14,B0083DPLJQ,8G-JH1T-98X4,-1,0.01
9/27/2024 16:55:14,B0198KU5PW,91-PZCP-NNGD,1,0.01
9/27/2024 16:55:14,B01FJOSX3W,FR-41MF-KWKU,39,0.01
9/27/2024 16:55:14,B076RY52XG,R0-ODDX-WROO,20,0.01
9/27/2024 16:55:14,B07772WMSM,8T-HE78-3AQ3,-66,0.01
9/27/2024 16:55:14,B07BC6P4DX,7U-508Y-MZAQ,31,0.01
