check,status,value,notes,alert_first_seen_utc,alert_last_seen_utc,alert_consecutive_runs,alert_age_hours
h_executioner_live_write_guardrails,ok,0,"rules=bool_flags_valid,numeric_prices_present,attempt_scope_pilot_only,attempt_source=run_H_pricing_cycle",,,,
h_worker_probe_response_idempotent,ok,0,key=probe_event_id+response_window_minutes,,,,
h_worker_probe_response_types_valid,ok,0,"rules=window_enum,moved_flag_binary,direction_enum,move_size>=0,reaction_lag>=0,valid_timestamps",,,,
h_schema_listing_offer_history,ok,ok,,,,,
h_schema_listing_offer_seller_history,ok,ok,,,,,
h_schema_phase1_seller_history,ok,ok,,,,,
h_phase1_contract_types,ok,0,non_null=0;bad_date=0;bad_datetime=0;bad_numeric=0;bad_binary=0;bad_direction=0;bad_channel=0,,,,
h_phase1_history_idempotent,ok,0,global_key_check,,,,
h_schema_api_call_log,ok,ok,,,,,
h_schema_api_run_log,ok,ok,,,,,
h_api_recent_fail_runs,ok,0,window_hours=24.0,,,,
h_schema_api_rate_state,ok,ok,,,,,
h_spapi_lock_present,ok,0,,,,,
h_cycle_stale_lock,fail,2,stale=out\systems\H\live\H_pricing_cycle.lock|pid=13096;out\H_pricing_cycle.lock|pid=13096,2026-02-19T18:06:27.725337+00:00,2026-02-20T06:16:44.619776+00:00,2,12.17
e_cycle_stale_lock,ok,0,"searched=out\systems\E\live\E_cycle.lock,out\E_cycle.lock",,,,
h_schema_listing_offer_snapshot,ok,ok,,,,,
h_market_context_fill_nonzero,ok,0,buy_box_channel=1; lowest_fba_price=1; lowest_fbm_price=1; offer_count_fba=1; offer_count_fbm=1,,,,
h_schema_listing_offer_seller_snapshot,ok,ok,,,,,
h_seller_snapshot_landed_non_null_training,ok,0,training_rows=7,,,,
h_seller_snapshot_landed_ge_listing,ok,0,comparable_rows=7,,,,
h_seller_snapshot_shipping_non_negative,ok,0,shipping_rows=7,,,,
h_market_snapshot_exists,ok,yes,path out\hos_daily_market_snapshot_2026-02-13.csv,,,,
h_market_snapshot_rows_10,ok,10,expected=10,,,,
h_market_snapshot_required_columns,ok,0,,,,,
h_market_snapshot_no_null_core_fields,ok,0,buy_box_price_used_gross=0; offer_count_fba=0; offer_count_fbm=0,,,,
h_market_snapshot_delivery_parity_binary,ok,0,"allowed_values=0,1",,,,
h_market_snapshot_econ_anchors_filled,ok,0,training_rows=10; break_even_exvat_gbp=0; break_even_gross_gbp=0; token_cost_exvat_gbp=0; min_price_gross_10pct=0; max_price_gross_current=0,,,,
h_market_report_html_exists,ok,yes,path out\reports\hos_daily\hos_daily_report_2026-02-13.html,,,,
h_market_report_pdf_exists,ok,yes,path out\reports\hos_daily\hos_daily_report_2026-02-13.pdf,,,,
h_market_report_price_charts_count,ok,10,expected_at_least=10,,,,
