timestamp_utc,step,status,severity,mode,local_rows,sheet_rows,note
2026-02-18T16:33:12Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T16:36:42Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7773,7480,local_newer_than_sheet
2026-02-18T16:36:44Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T16:40:16Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7773,7480,local_newer_than_sheet
2026-02-18T16:40:18Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,allocation_complete
2026-02-18T16:43:37Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7774,7480,local_newer_than_sheet
2026-02-18T16:43:39Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T16:47:04Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7774,7480,local_newer_than_sheet
2026-02-18T16:47:06Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T16:50:32Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7774,7480,local_newer_than_sheet
2026-02-18T16:50:34Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T16:54:13Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7774,7480,local_newer_than_sheet
2026-02-18T16:54:15Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T16:57:32Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7774,7480,local_newer_than_sheet
2026-02-18T16:57:34Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T17:00:59Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7774,7480,local_newer_than_sheet
2026-02-18T17:01:01Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T17:05:09Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7774,7480,local_newer_than_sheet
2026-02-18T17:05:11Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T17:10:44Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T17:13:28Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7774,7480,local_newer_than_sheet
2026-02-18T17:13:30Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T17:16:52Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7774,7480,local_newer_than_sheet
2026-02-18T17:16:54Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,allocation_complete
2026-02-18T17:20:19Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7775,7480,local_newer_than_sheet
