metric,value
diagnostics_utc,2026-04-04T13:58:53Z
rows_source,608
rows_recommendations,608
rows_recommendation_wait,608
rows_recommendation_test_restock,0
rows_recommendation_full_restock,0
missing_supplier_catalog_price,608
missing_last_purchase_price,476
missing_both_cost_fields,476
missing_market_price_context,301
zero_or_null_velocity_30d,547
zero_or_null_available_now,548
zero_or_null_inbound_working,604
zero_or_null_inbound_shipped,606
zero_or_null_inbound_receiving,597
reduced_confidence_rows,543
fallback_cost_rows,132
roi_below_10,0
roi_between_10_and_15,0
roi_above_15,4
roi_null,604
net_needed_qty_raw_le_0,608
test_spend_capped_rows,0
moq_pack_rounding_changed_rows,0
rows_active_only,144
rows_inactive_or_unknown,464
active_rows_with_demand,48
active_rows_with_cost,0
active_rows_with_market_price,144
active_rows_with_demand_and_cost,0
active_rows_with_demand_and_market,48
active_rows_with_cost_and_market,0
active_rows_with_demand_cost_market,0
active_actionable_now,0
active_missing_cost_only,48
active_missing_market_only,0
active_missing_both_cost_and_market,0
active_missing_demand_only,0
active_missing_multiple_inputs,96
active_rows_with_test_cost_truth,0
active_rows_with_live_cost_truth,0
active_rows_with_no_cost_truth,144
active_blocked_weak_demand_only,0
active_other_blocked,96
active_rows_with_current_supplier_cost,0
active_rows_with_last_purchase_fallback_only,0
active_rows_with_no_cost_input,144
active_rows_with_ambiguous_cost,0
active_rows_cost_confidence_weak_for_roi,0
active_rows_with_demand_market_current_supplier_cost,0
active_rows_with_demand_market_last_purchase_fallback,0
reason_count::LOW_CONFIDENCE_MARKET_CONTEXT,543
reason_count::SALE_STATUS_NOT_ACTIVE,464
reason_count::WEAK_DEMAND_SIGNAL,96
reason_count::BLOCKED_MISSING_COST_INPUT,48
coverage_block_reason::inactive_status,411
coverage_block_reason::missing_cost_and_demand,96
coverage_block_reason::inactive_or_unknown_status,53
coverage_block_reason::missing_cost_only,48
active_cost_source::missing_cost,144
active_cost_confidence::none,144
active_cost_truth_type::no_cost_truth,144
