queue_utc,seller_sku,asin,supplier_code,supplier_name,recommendation_status,suggested_qty,suggested_unit_cost_gbp,suggested_market_price_gbp,expected_forward_roi_pct,expected_forward_profit_per_unit_gbp,days_cover_available_only,days_cover_total_pipeline,reason_codes,queue_status,title,main_image,supplier_group_key,snooze_until_utc,queue_notes,cost_mode,recommendation_basis
2026-04-04T14:06:27Z,09-CZ59-Q6OR,B09BR88BPW,,DHB,full_restock,12,2.49,3.29,32.13,0.8,0,0,UI_PREVIEW_SAMPLE,needs_review,Stoddard Icon White Standard Interdental Brushes - 8 Brush Plus 2 Free Brush in 1 Pack,https://m.media-amazon.com/images/I/717S2YgqeWL.jpg,DHB,,ui_preview_sample,test,ui_preview_sample
2026-04-04T14:06:27Z,3L-1I88-19GF,,CUR005,DHB,full_restock,24,4.35,5.13,17.93,0.78,0,0,UI_PREVIEW_SAMPLE,needs_review,Curaprox Interdental Brush Refills CPS 10 Regular Conique | White | for Tight Interdental Spaces | Ultra-Fine Filaments for Gentle Cleaning | 5-Pieces | Designed in Switzerland,https://m.media-amazon.com/images/I/41zER6h1xwL.jpg,CUR005|DHB,,ui_preview_sample,test,ui_preview_sample
2026-04-04T14:06:27Z,CJ-DLBW-HKFS,,,DHB,full_restock,6,2.49,3.29,32.13,0.8,0,0,UI_PREVIEW_SAMPLE,needs_review,"Meditrade Nitril® Black Nitrile Examination Gloves - Powder-Free, Latex-Free, Multi Use Protective Exam Gloves - Size Large - Black - 100pcs",https://m.media-amazon.com/images/I/61pfyxo-gnL.jpg,DHB,,ui_preview_sample,test,ui_preview_sample
2026-04-04T14:06:27Z,0N-JV0B-5UNV,B009L12MLO,,DHB,full_restock,18,2.49,2.94,18.07,0.45,0,0,UI_PREVIEW_SAMPLE,needs_review,"Proxysoft Dental Floss for Bridges and Implants 30 Strands - Floss Threaders for Bridges, Dental Implants, Braces with Extra-Thick Proxy Brush for Optimal Oral Hygiene -Teeth Bridge and Implant Cleaners",https://m.media-amazon.com/images/I/41GzvqRXKdL.jpg,DHB,,ui_preview_sample,test,ui_preview_sample
2026-04-04T14:06:27Z,7R-DKJR-F0UF,,9310346414302,Stax,full_restock,30,5.87,7.75,32.03,1.88,0,0,UI_PREVIEW_SAMPLE,needs_review,"Wiltshire Staysharp Triple Rivet Multi-Purpose Paring Knife 9cm, Stainless Steel Sharp Blade for Chopping Cutting & Slicing, Built-in Sharpener, Slim Scabbard, Ergonomic Triple Rivet Handle",https://m.media-amazon.com/images/I/615xDleH3EL.jpg,9310346414302|Stax,,ui_preview_sample,test,ui_preview_sample
2026-04-04T14:06:27Z,M4-MV10-9TX7,,113299,Stax,full_restock,8,1.04,1.23,18.27,0.19,0,0,UI_PREVIEW_SAMPLE,needs_review,"Tala 40ml Mini Glass Measuring Jug, 10A26012, Transparent",https://m.media-amazon.com/images/I/71-do97LXSL.jpg,113299|Stax,,ui_preview_sample,test,ui_preview_sample
2026-04-04T14:06:27Z,YV-2E21-62SB,,5016318100283,Stax,test_restock,15,2.63,3.47,31.94,0.84,0,0,"UI_PREVIEW_SAMPLE,TEST_SPEND_CAP_APPLIED",needs_review,"Liquid Skin Liquid Plaster - Waterproof Liquid Bandage for Small Cuts, Wounds, Cracked Skin - Promotes Faster Natural Healing - No Sting, Non-Burning, Safe for Kids Formula - Pack of 2 x 1g Pipettes",https://m.media-amazon.com/images/I/71LhaDa9QIL.jpg,5016318100283|Stax,,ui_preview_sample,test,ui_preview_sample
2026-04-04T14:06:27Z,P7-91M2-092T,,5647107,TD Synnex,test_restock,20,3.85,4.54,17.92,0.69,0,0,"UI_PREVIEW_SAMPLE,TEST_SPEND_CAP_APPLIED",needs_review,Crucial RAM 4GB DDR4 2666MHz CL19 Desktop Memory CT4G4DFS8266,https://m.media-amazon.com/images/I/61LjnKSImPL.jpg,5647107|TD Synnex,,ui_preview_sample,test,ui_preview_sample
2026-04-04T14:06:27Z,ZU-VG38-OF3L,,10290397,TD Synnex,test_restock,10,18.54,24.47,31.98,5.93,0,0,"UI_PREVIEW_SAMPLE,TEST_SPEND_CAP_APPLIED",needs_review,"OtterBox Symmetry Folio Case for iPad Pro 13"" (M5/M4), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",https://m.media-amazon.com/images/I/612OYV3aA+L.jpg,10290397|TD Synnex,,ui_preview_sample,test,ui_preview_sample
2026-04-04T14:06:27Z,1D-E3I8-TUK8,B00O3XUG5E,,TD Synnex,test_restock,36,2.49,2.94,18.07,0.45,0,0,"UI_PREVIEW_SAMPLE,TEST_SPEND_CAP_APPLIED",needs_review,"Epson C13T295000 - WF100W MAINTENANCE BOX,Black",https://m.media-amazon.com/images/I/316alguRfML.jpg,TD Synnex,,ui_preview_sample,test,ui_preview_sample
