asof_utc,source_snapshot_utc,source_run_id,latest_terminal_run_id,sku,asin,tracker_status,capability_status,eligible_to_write_flag,decision_to_change_price_flag,write_attempted_flag,write_applied_flag,raw_execution_write_status,write_status_issue,execution_state,current_cycle_decision,current_cycle_decision_reason_code,current_cycle_blocker_code,old_price_gbp,new_price_gbp,hard_floor_gbp,ceiling_gbp,true_binding_ceiling_gbp,buy_box_state,strategy_state,writer_outcome,truth_status,source_path,execution_write_error,model_ceiling_gbp,trace_asof_utc,trace_floor_total_gbp,reason_codes,is_latest_terminal_run,publish_status,last_publish_rows
2026-05-02T11:58:18Z,2026-05-02T11:36:10Z,20260502T113610Z,20260502T113610Z,SE-UITZ-7CPY,,SUPP_APPLIED,WRITE_CAPABLE,1,1,1,1,READ_ONLY_NO_WRITE,,SELLER_DETAIL_HOLD,execute,eligible,,9.94,9.94,8.64,,9.82,SUPPRESSED_ASIN,STATE_SUPPRESSION_REACTIVATION,APPLIED,SUPP_APPLIED,C:\Users\Luke\Desktop\SellerOne 2.0\out\phase1_runtime_floor_snapshot_latest.csv,seller_detail_missing_or_stale,,2026-05-02T11:37:42Z,8.64,"[""SELLER_DETAIL_STATUS_DETAIL_SKIPPED_ROTATION"",""SELLER_DETAIL_OFFER_ROWS_0"",""SELLER_DETAIL_RESOLUTION_PENDING_RETRY""]",1,ok,50
2026-05-02T11:58:18Z,2026-05-02T11:36:10Z,20260502T113610Z,20260502T113610Z,SU-JM8R-2U82,,SUPP_APPLIED,WRITE_CAPABLE,1,1,1,1,READ_ONLY_NO_WRITE,,SELLER_DETAIL_HOLD,execute,eligible,,15.46,15.46,15.46,,16.00,SUPPRESSED_ASIN,STATE_SUPPRESSION_REACTIVATION,APPLIED,SUPP_APPLIED,C:\Users\Luke\Desktop\SellerOne 2.0\out\phase1_runtime_floor_snapshot_latest.csv,seller_detail_missing_or_stale,,2026-05-02T11:37:42Z,15.46,"[""SELLER_DETAIL_STATUS_DETAIL_SKIPPED_ROTATION"",""SELLER_DETAIL_OFFER_ROWS_0"",""SELLER_DETAIL_RESOLUTION_PENDING_RETRY""]",1,ok,50
2026-05-02T11:58:18Z,2026-05-02T11:36:10Z,20260502T113610Z,20260502T113610Z,0G-JB6S-PN34,,READ_ONLY,READ_ONLY_OR_BLOCKED,0,0,0,0,READ_ONLY_NO_WRITE,,,skip_no_market_data,eligible,MARKET_DATA_MISSING_CURRENT_CYCLE,,,,,,SUPPRESSED_ASIN,,READ_ONLY_NO_WRITE,READ_ONLY,C:\Users\Luke\Desktop\SellerOne 2.0\out\phase1_runtime_floor_snapshot_latest.csv,,,2026-05-02T11:37:42Z,6.22,,1,ok,50
2026-05-02T11:58:18Z,2026-05-02T11:36:10Z,20260502T113610Z,20260502T113610Z,0R-GRRH-W0Z9,,READ_ONLY,READ_ONLY_OR_BLOCKED,0,0,0,0,READ_ONLY_NO_WRITE,,,skip_no_market_data,eligible,MARKET_DATA_MISSING_CURRENT_CYCLE,,,,,,,,READ_ONLY_NO_WRITE,READ_ONLY,C:\Users\Luke\Desktop\SellerOne 2.0\out\phase1_runtime_floor_snapshot_latest.csv,,,2026-05-02T11:37:42Z,5.41,,1,ok,50
2026-05-02T11:58:18Z,2026-05-02T11:36:10Z,20260502T113610Z,20260502T113610Z,2G-AYBQ-TUQG,,READ_ONLY,WRITE_CAPABLE,1,0,0,0,READ_ONLY_NO_WRITE,,SELLER_DETAIL_HOLD,execute,eligible,,17.44,17.44,17.44,,,LOST_TO_COMPETITOR,SELLER_DETAIL_HOLD,READ_ONLY_NO_WRITE,READ_ONLY,C:\Users\Luke\Desktop\SellerOne 2.0\out\phase1_runtime_floor_snapshot_latest.csv,seller_detail_missing_or_stale,,2026-05-02T11:37:42Z,17.44,"[""SELLER_DETAIL_STATUS_DETAIL_SKIPPED_ROTATION"",""SELLER_DETAIL_OFFER_ROWS_0"",""SELLER_DETAIL_RESOLUTION_PENDING_RETRY""]",1,ok,50
2026-05-02T11:58:18Z,2026-05-02T11:36:10Z,20260502T113610Z,20260502T113610Z,3X-EXDD-TD2K,,READ_ONLY,READ_ONLY_OR_BLOCKED,0,0,0,0,READ_ONLY_NO_WRITE,,,skip_no_market_data,eligible,MARKET_DATA_MISSING_CURRENT_CYCLE,,,,,,SUPPRESSED_ASIN,,READ_ONLY_NO_WRITE,READ_ONLY,C:\Users\Luke\Desktop\SellerOne 2.0\out\phase1_runtime_floor_snapshot_latest.csv,,,2026-05-02T11:37:42Z,36.40,,1,ok,50
2026-05-02T11:58:18Z,2026-05-02T11:36:10Z,20260502T113610Z,20260502T113610Z,4F-HT42-FD26,,SUPP_GATED_DETAIL,WRITE_CAPABLE,1,0,0,0,READ_ONLY_NO_WRITE,,SELLER_DETAIL_HOLD,execute,eligible,,8.98,8.98,8.13,,8.98,SUPPRESSED_ASIN,STATE_SUPPRESSION_REACTIVATION,READ_ONLY_NO_WRITE,SUPP_GATED_DETAIL,C:\Users\Luke\Desktop\SellerOne 2.0\out\phase1_runtime_floor_snapshot_latest.csv,seller_detail_missing_or_stale,,2026-05-02T11:37:42Z,8.13,"[""SELLER_DETAIL_STATUS_DETAIL_SKIPPED_ROTATION"",""SELLER_DETAIL_OFFER_ROWS_0"",""SELLER_DETAIL_RESOLUTION_PENDING_RETRY""]",1,ok,50
2026-05-02T11:58:18Z,2026-05-02T11:36:10Z,20260502T113610Z,20260502T113610Z,4W-VS57-BV6A,,READ_ONLY,READ_ONLY_OR_BLOCKED,0,0,0,0,READ_ONLY_NO_WRITE,,,skip_no_market_data,eligible,MARKET_DATA_MISSING_CURRENT_CYCLE,,,,,,LOST_TO_COMPETITOR,,READ_ONLY_NO_WRITE,READ_ONLY,C:\Users\Luke\Desktop\SellerOne 2.0\out\phase1_runtime_floor_snapshot_latest.csv,,,2026-05-02T11:37:42Z,34.80,,1,ok,50
2026-05-02T11:58:18Z,2026-05-02T11:36:10Z,20260502T113610Z,20260502T113610Z,5Z-6Z0P-9TQQ,,READ_ONLY,READ_ONLY_OR_BLOCKED,0,0,0,0,READ_ONLY_NO_WRITE,,,skip_no_market_data,eligible,MARKET_DATA_MISSING_CURRENT_CYCLE,,,,,,LOST_TO_COMPETITOR,,READ_ONLY_NO_WRITE,READ_ONLY,C:\Users\Luke\Desktop\SellerOne 2.0\out\phase1_runtime_floor_snapshot_latest.csv,,,2026-05-02T11:37:42Z,3.16,,1,ok,50
2026-05-02T11:58:18Z,2026-05-02T11:36:10Z,20260502T113610Z,20260502T113610Z,6Q-9G2A-IKVV,,SUPPRESSED,WRITE_CAPABLE,1,0,0,0,READ_ONLY_NO_WRITE,,SELLER_DETAIL_HOLD,execute,eligible,,15.39,15.39,15.39,,15.48,SUPPRESSED_ASIN,STATE_SUPPRESSION_REACTIVATION,NO_WRITE_REQUIRED,SUPPRESSED,C:\Users\Luke\Desktop\SellerOne 2.0\out\phase1_runtime_floor_snapshot_latest.csv,seller_detail_missing_or_stale,,2026-05-02T11:37:42Z,15.39,"[""SELLER_DETAIL_STATUS_DETAIL_SKIPPED_ROTATION"",""SELLER_DETAIL_OFFER_ROWS_0"",""SELLER_DETAIL_RESOLUTION_PENDING_RETRY""]",1,ok,50
