report_utc,block_reason,rows_count,block_type
2026-04-04T13:49:22Z,missing_suggested_qty,608,missing_input
2026-04-04T13:49:22Z,wait_or_non_action_suggestion,608,state_or_policy
2026-04-04T13:49:22Z,missing_expected_forward_roi,604,missing_input
2026-04-04T13:49:22Z,missing_demand_truth,547,missing_input
2026-04-04T13:49:22Z,missing_cost_truth,476,missing_input
2026-04-04T13:49:22Z,missing_suggested_unit_cost,476,missing_input
2026-04-04T13:49:22Z,inactive_or_unknown_status,464,state_or_policy
2026-04-04T13:49:22Z,coverage_block::inactive_status,411,missing_input
2026-04-04T13:49:22Z,missing_market_truth,301,missing_input
2026-04-04T13:49:22Z,missing_suggested_market_price,301,missing_input
2026-04-04T13:49:22Z,coverage_block::missing_cost_and_demand,96,missing_input
2026-04-04T13:49:22Z,missing_supplier_name,54,missing_input
2026-04-04T13:49:22Z,coverage_block::inactive_or_unknown_status,53,missing_input
2026-04-04T13:49:22Z,coverage_block::missing_cost_only,48,missing_input
2026-04-04T13:49:22Z,missing_main_image,6,missing_input
2026-04-04T13:49:22Z,missing_title,6,missing_input
2026-04-04T13:49:22Z,snoozed,1,state_or_policy
