asof_utc,seller_sku,asin,title,main_image,supplier_code,supplier_name,supplier_sku,barcode,sale_status,queue_status,operational_status,status_reason,supplier_pack_size,amazon_pack_size,order_qty_mode,sell_pack_qty,supplier_case_qty,supplier_case_multiple,valid_order_step,pack_conversion_note,moq,supplier_catalog_price,last_purchase_price,vat_rate,stock_available,stock_total,ordered_open_qty,velocity_30d,days_cover,roi_snapshot_pct,data_issue_flags,target_margin,notes,recommendation_status,suggested_qty,suggested_unit_cost_gbp,suggested_market_price_gbp,expected_forward_roi_pct,days_cover_available_only,snooze_until_utc,current_token_cost_gbp,expected_refund_cost_per_unit_gbp,roi_at_buy_box_price_pct,roi_at_our_price_pct,live_listing_price,last_sold_price,pack_profile_label,source_product_db_asof,source_queue_asof,source_ordered_asof,source_velocity_asof,source_performance_asof
2026-05-01T19:14:43Z,04-FYSA-YCV0,B001JYLJB0,Blackspur BB-RLP102 Heavy Duty Revolving Leather Punch,https://m.media-amazon.com/images/I/71-FRvcDS4L.jpg,,,,,,,live,sale_status_live,1,1,raw_units,1,1,0,1,,1,,,,0,0,0,0,,,missing_supplier|missing_cost|missing_vat,,,,,,,,,,,,,,,,Unit,2026-03-12T14:46:09.544126+00:00,,,,
2026-05-01T19:14:43Z,04-PU0K-EVHU,B009NST7AY,GREEN SHIELD CONDITIONING LEATHER SURFACE WIPES 70 PACK - EXTRA LARGE WIPES,https://m.media-amazon.com/images/I/71dgKEsyBQL.jpg,,,,,,,live,sale_status_live,1,1,raw_units,1,1,0,1,,1,,,,0,0,0,0,,,missing_supplier|missing_cost|missing_vat,,,,,,,,,,,,,,,,Unit,2026-03-12T14:46:09.544126+00:00,,,,
2026-05-01T19:14:43Z,05-CH74-4EW3,B006R5Z7DC,Opies Red Marachino Cocktail Cherries with Stem 225g Jar - Marachino Cherries for Cocktails,https://m.media-amazon.com/images/I/418+WDPHi+L.jpg,,,,,,,live,sale_status_live,1,1,raw_units,1,1,0,1,,1,,,,0,0,0,0,,,missing_supplier|missing_cost|missing_vat,,,,,,,,,,,,,,,,Unit,2026-03-12T14:46:09.544126+00:00,,,,
2026-05-01T19:14:43Z,0A-HHXO-QF32,B0993N4XMC,"Goodyear Bumper and Trim Restorer 750ml-back to Black| Helps Bumper and Trim Plastic Look Like New| Restores, Protects and Shines| Long Lasting Gloss Finish| Suitable for All Exterior Plastics",https://m.media-amazon.com/images/I/31xKdKDFC1L.jpg,,,,,,,live,sale_status_live,1,1,raw_units,1,1,0,1,,1,,,,0,0,0,0,,,missing_supplier|missing_cost|missing_vat,,,,,,,,,,,,,,,,Unit,2026-03-12T14:46:09.544126+00:00,,,,
2026-05-01T19:14:43Z,0B-IC3D-6S96,B00ICS6JWK,"Idontix X-Floss Lite, Blue",https://m.media-amazon.com/images/I/61E7TRHWsuL.jpg,,,,,,,live,sale_status_live,1,1,raw_units,1,1,0,1,,1,,,,0,0,0,0,,,missing_supplier|missing_cost|missing_vat,,,,,,,,,,,,,,8.95,,Unit,2026-03-12T14:46:09.544126+00:00,,,,
2026-05-01T19:14:43Z,0B-KZD0-FZB1,B07Y5KYLQ8,"Silvine Cloakroom/Raffle Tickets, Numbered 1-1000 with Security Numbering. Ref CRT1000, Single",https://m.media-amazon.com/images/I/41iBh9y9haL.jpg,,,,,,,live,sale_status_live,1,1,raw_units,1,1,0,1,,1,,,,0,0,0,0,,,missing_supplier|missing_cost|missing_vat,,,,,,,,,,,,,,,,Unit,2026-03-12T14:46:09.544126+00:00,,,,
2026-05-01T19:14:43Z,0B-OUCV-UQE9,B01N4LH1PN,PETITFEE Gold Hydrogel Eye Patch,https://m.media-amazon.com/images/I/61pz8nfXpyL.jpg,,,,,,,live,sale_status_live,1,1,raw_units,1,1,0,1,,1,,,,0,0,0,0,,,missing_supplier|missing_cost|missing_vat,,,,,,,,,,,,,,,,Unit,2026-03-12T14:46:09.544126+00:00,,,,
2026-05-01T19:14:43Z,0D-0039-WEPJ,B09V8GFY8C,,,,,,,,,live,sale_status_live,1,1,raw_units,1,1,0,1,,1,,,,0,0,0,0,,,missing_supplier|missing_cost|missing_vat,,,,,,,,,,,,,,,,Unit,2026-03-12T14:46:09.544126+00:00,,,,
2026-05-01T19:14:43Z,0F-MLCO-206G,B00RO5R4JE,"Bettina Soap Pads, 12 Pcs – Plastic-Free, Biodegradable, 100% Recycled Material, Eco-Friendly Steel Wool Pads for Sparkling Cleaning, Animal-Free Ingredients",https://m.media-amazon.com/images/I/71tPAc+V4fL.jpg,,,,,,,live,sale_status_live,1,1,raw_units,1,1,0,1,,1,,,,0,0,0,0,,,missing_supplier|missing_cost|missing_vat,,,,,,,,,,,,,,,,Unit,2026-03-12T14:46:09.544126+00:00,,,,
2026-05-01T19:14:43Z,0Q-F5R3-333E,1848450486,The Darkest Surrender (Lords of the Underworld: Book 8),https://m.media-amazon.com/images/I/61FDxq9I0kL.jpg,,,,,,,live,sale_status_live,1,1,raw_units,1,1,0,1,,1,,,,0,0,0,0,,,missing_supplier|missing_cost|missing_vat,,,,,,,,,,,,,,,,Unit,2026-03-12T14:46:09.544126+00:00,,,,
