diagnostics_utc,seller_sku,asin,supplier_code,supplier_name,sale_status,sale_status_normalized,cost_mode,recommendation_basis,cost_source_type,cost_source_reference,current_cost_truth_type,current_cost_source,current_cost_confidence,current_cost_value_gbp,current_cost_class,current_supplier_cost_source,market_price_basis_used,velocity_30d,is_active_candidate,has_current_cost_input,has_current_market_price_input,has_demand_input,has_minimum_restock_inputs,coverage_block_reason,recommendation_status,reason_codes,recommended_qty_raw,recommended_qty_rounded,forward_roi_pct,confidence_note,blocked_note,missing_supplier_catalog_price,missing_last_purchase_price,missing_both_cost_fields,missing_market_price_context,zero_or_null_velocity_30d,zero_or_null_available_now,zero_or_null_inbound_working,zero_or_null_inbound_shipped,zero_or_null_inbound_receiving,reduced_confidence_row,fallback_cost_row,roi_below_10,roi_between_10_and_15,roi_above_15,roi_null,net_needed_qty_raw_le_0,test_spend_capped,moq_pack_rounding_applied,active_actionable_now,active_missing_cost_only,active_missing_market_only,active_missing_demand_only,active_missing_both_cost_and_market,active_missing_multiple_inputs,active_test_cost_truth,active_live_cost_truth,active_no_cost_truth,active_blocked_weak_demand_only,active_other_blocked
2026-04-04T13:58:53Z,N9-IOWG-NGD9,,333 SI568,ABGee,dropped,inactive,live,live_cost_inputs,live_product_inputs,out/product_db_preview.csv,live_cost_truth,last_purchase_price,medium,4.44,last_purchase_fallback,last_purchase_price,MISSING_MARKET_CONTEXT,0,False,True,False,False,False,inactive_status,wait,"LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,,inactive_sale_status,inactive_sale_status,True,False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-04T13:58:53Z,BF-KVJ0-RUA9,,DC,ABGee,dropped,inactive,live,live_mode_missing_cost,live_product_inputs,out/product_db_preview.csv,no_cost_truth,missing_cost,none,,no_cost,missing_cost,MISSING_MARKET_CONTEXT,0,False,False,False,False,False,inactive_status,wait,"LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,,inactive_sale_status,inactive_sale_status,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-04T13:58:53Z,12-749B-9EB5,B084HZRR8G,985 49830,ABGee,dropped,inactive,live,live_cost_inputs,live_product_inputs,out/product_db_preview.csv,live_cost_truth,last_purchase_price,medium,7.59,last_purchase_fallback,last_purchase_price,MISSING_MARKET_CONTEXT,0,False,True,False,False,False,inactive_status,wait,"LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,,inactive_sale_status,inactive_sale_status,True,False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-04T13:58:53Z,WT-LPJW-NOXR,,985 48186,ABGee,dropped,inactive,live,live_cost_inputs,live_product_inputs,out/product_db_preview.csv,live_cost_truth,last_purchase_price,medium,7.59,last_purchase_fallback,last_purchase_price,MISSING_MARKET_CONTEXT,0,False,True,False,False,False,inactive_status,wait,"LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,,inactive_sale_status,inactive_sale_status,True,False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-04T13:58:53Z,BF-EX14-XMNB,,985 72185,ABGee,dropped,inactive,live,live_mode_missing_cost,live_product_inputs,out/product_db_preview.csv,no_cost_truth,missing_cost,none,,no_cost,missing_cost,MISSING_MARKET_CONTEXT,0,False,False,False,False,False,inactive_status,wait,"LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,,inactive_sale_status,inactive_sale_status,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-04T13:58:53Z,WB-6YBC-16X8,,985 49695,ABGee,dropped,inactive,live,live_cost_inputs,live_product_inputs,out/product_db_preview.csv,live_cost_truth,last_purchase_price,medium,7.59,last_purchase_fallback,last_purchase_price,MISSING_MARKET_CONTEXT,0,False,True,False,False,False,inactive_status,wait,"LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,,inactive_sale_status,inactive_sale_status,True,False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-04T13:58:53Z,5B-DQES-2T3E,,,ABGee,dropped,inactive,live,live_mode_missing_cost,live_product_inputs,out/product_db_preview.csv,no_cost_truth,missing_cost,none,,no_cost,missing_cost,MISSING_MARKET_CONTEXT,0,False,False,False,False,False,inactive_status,wait,"LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,,inactive_sale_status,inactive_sale_status,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-04T13:58:53Z,BJ-1TEF-1BUZ,,,ABGee,dropped,inactive,live,live_mode_missing_cost,live_product_inputs,out/product_db_preview.csv,no_cost_truth,missing_cost,none,,no_cost,missing_cost,MISSING_MARKET_CONTEXT,0,False,False,False,False,False,inactive_status,wait,"LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,,inactive_sale_status,inactive_sale_status,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-04T13:58:53Z,2S-T29M-BDIZ,,985 28806,ABGee,dropped,inactive,live,live_cost_inputs,live_product_inputs,out/product_db_preview.csv,live_cost_truth,last_purchase_price,medium,7.59,last_purchase_fallback,last_purchase_price,MISSING_MARKET_CONTEXT,0,False,True,False,False,False,inactive_status,wait,"LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,,inactive_sale_status,inactive_sale_status,True,False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-04T13:58:53Z,DY-51D1-CSIX,,520 02224,ABGee,dropped,inactive,live,live_cost_inputs,live_product_inputs,out/product_db_preview.csv,live_cost_truth,last_purchase_price,medium,2.5,last_purchase_fallback,last_purchase_price,MISSING_MARKET_CONTEXT,0,False,True,False,False,False,inactive_status,wait,"LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,,inactive_sale_status,inactive_sale_status,True,False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-04T13:58:53Z,09-CZ59-Q6OR,B09BR88BPW,,DHB,dropped,inactive,live,live_mode_missing_cost,live_product_inputs,out/product_db_preview.csv,no_cost_truth,missing_cost,none,,no_cost,missing_cost,MISSING_MARKET_CONTEXT,0,False,False,False,False,False,inactive_status,wait,"LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,,inactive_sale_status,inactive_sale_status,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-04T13:58:53Z,B2-5FFM-153A,,,ABGee,dropped,inactive,live,live_mode_missing_cost,live_product_inputs,out/product_db_preview.csv,no_cost_truth,missing_cost,none,,no_cost,missing_cost,MISSING_MARKET_CONTEXT,0,False,False,False,False,False,inactive_status,wait,"LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,,inactive_sale_status,inactive_sale_status,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-04T13:58:53Z,XI-DUS3-PXC9,,413674,ABGee,dropped,inactive,live,live_mode_missing_cost,live_product_inputs,out/product_db_preview.csv,no_cost_truth,missing_cost,none,,no_cost,missing_cost,MISSING_MARKET_CONTEXT,0,False,False,False,False,False,inactive_status,wait,"LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,,inactive_sale_status,inactive_sale_status,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-04T13:58:53Z,0T-LQK2-KFCY,B0CBNNKLYJ,,ABGee,dropped,inactive,live,live_mode_missing_cost,live_product_inputs,out/product_db_preview.csv,no_cost_truth,missing_cost,none,,no_cost,missing_cost,MISSING_MARKET_CONTEXT,0,False,False,False,False,False,inactive_status,wait,"LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,,inactive_sale_status,inactive_sale_status,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-04T13:58:53Z,OL-F41R-EZEF,,,ABGee,dropped,inactive,live,live_mode_missing_cost,live_product_inputs,out/product_db_preview.csv,no_cost_truth,missing_cost,none,,no_cost,missing_cost,MISSING_MARKET_CONTEXT,0,False,False,False,False,False,inactive_status,wait,"LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,,inactive_sale_status,inactive_sale_status,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-04T13:58:53Z,NC-MA70-7OJ9,,,ABGee,dropped,inactive,live,live_mode_missing_cost,live_product_inputs,out/product_db_preview.csv,no_cost_truth,missing_cost,none,,no_cost,missing_cost,MISSING_MARKET_CONTEXT,0,False,False,False,False,False,inactive_status,wait,"LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,,inactive_sale_status,inactive_sale_status,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-04T13:58:53Z,T7-NZWY-R44R,,,ABGee,dropped,inactive,live,live_mode_missing_cost,live_product_inputs,out/product_db_preview.csv,no_cost_truth,missing_cost,none,,no_cost,missing_cost,MISSING_MARKET_CONTEXT,0,False,False,False,False,False,inactive_status,wait,"LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,,inactive_sale_status,inactive_sale_status,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
