hold_utc,hold_id,draft_id,candidate_id,seller_sku,asin,hold_reason_codes,hold_note,source_reference,supplier_code,supplier_sku,reconciliation_status
2026-05-01T13:36:33Z,product_db_promotion_hold_49f435d400c71d23,draft_3ba619917e858347,16f3b299f35ecda52195495d04d7888922d25ce5,NP-STO-E149D07A,B09FQCWKPW,missing_purchase_pack_size|missing_sold_pack_size|missing_supplier_case_qty|missing_valid_order_step|missing_moq|missing_vat_rate|missing_vat_confirmation,Product DB promotion blocked until all required profile and reconciliation gates pass.,O430_build_product_db_promotion_candidates.py,stocklist_supplier,1257989,confirmed_product_db_eligible
2026-05-01T13:36:33Z,product_db_promotion_hold_3a9600e8bf7f4e1b,draft_e7e9e5a062489d4b,284d98dde787713492771fdbc6675d138bdae587,NP-STO-B1FFE9D8,B084CTW7T8,parked_invoice_or_brand_risk|brand_approval_block|missing_purchase_pack_size|missing_sold_pack_size|missing_supplier_case_qty|missing_valid_order_step|missing_moq|missing_vat_rate|missing_vat_confirmation,Product DB promotion blocked until all required profile and reconciliation gates pass.,O430_build_product_db_promotion_candidates.py,stocklist_supplier,1174830,blocked
2026-05-01T13:36:33Z,product_db_promotion_hold_1412826af921e9a3,draft_c5655daf8ea8cc5f,666d094914c02daa0d34e8261aba3ff0d6ea47f7,NP-STO-3502B107,B082NMTZC2,missing_purchase_pack_size|missing_sold_pack_size|missing_supplier_case_qty|missing_valid_order_step|missing_moq|missing_vat_rate|missing_vat_confirmation,Product DB promotion blocked until all required profile and reconciliation gates pass.,O430_build_product_db_promotion_candidates.py,stocklist_supplier,1144846,confirmed_product_db_eligible
