check,status,value,notes,observed_utc,source_path
product_db_destination_schema,fail,0,missing_fields=supplier_sku|barcode|order_qty_mode|sell_pack_qty|supplier_case_qty|supplier_case_multiple|valid_order_step|repack_required|bundle_required;duplicate_columns=last_updated_A003,2026-05-01T13:36:33Z,C:\Users\Luke\Desktop\SellerOne 2.0\out\product_db_preview.csv
product_db_promotion_candidates,fail,0,ready_rows=0;held_rows=2;blocked_rows=1,2026-05-01T13:36:33Z,C:\Users\Luke\Desktop\SellerOne 2.0\out\systems\F\live\amazon_listing_reconciliation_live.csv
