asof_utc,seller_sku,asin,supplier_code,supplier_name,sale_status,available_now,total_quantity_now,amazon_inbound_working,amazon_inbound_shipped,amazon_inbound_receiving,velocity_7d,velocity_30d,velocity_90d,current_supplier_buy_cost_gbp,current_supplier_cost_source,market_price_gbp,market_price_basis_used,expected_refund_cost_per_unit_gbp,roi_at_market_price_pct,source_inventory_asof,source_velocity_asof,source_performance_asof,title,main_image,supplier_sku,barcode,amazon_pack_size,pack_conversion_note,order_qty_mode,order_qty_unit_label,sell_pack_qty,supplier_case_qty,supplier_case_multiple,valid_order_step,repack_required,bundle_required,display_qtys_label,source_offer_timestamp_utc,source_notes,sale_status_normalized,is_active_candidate,has_current_cost_input,has_current_market_price_input,has_demand_input,has_minimum_restock_inputs,coverage_block_reason,current_cost_value_gbp,current_cost_source,current_cost_confidence,current_cost_class,cost_mode,cost_source_type,cost_source_reference,current_cost_truth_type,backtest_policy_id,backtest_history_confidence,backtest_market_viability_score,backtest_exit_risk_score,backtest_estimated_total_profit_gbp,backtest_estimated_monthly_profit_gbp,backtest_capital_lockup_days,backtest_sellable_ceiling_zone,backtest_amazon_risk_level,backtest_compression_risk_level,backtest_recommendation,backtest_manual_review_reason,supplier_catalog_price,last_purchase_price,supplier_pack_size,moq,lead_time_days,bulk_long_lead_flag,out_of_stock_days,snooze_until_utc
2026-04-10T13:20:00Z,N9-IOWG-NGD9,,333 SI568,ABGee,dropped,0,0,0,0,0,0,0,0,4.44,last_purchase_price,,MISSING_MARKET_CONTEXT,0,0,,,,"Worlds Smallest 568 UNO ONE, Multicoloured, único",https://m.media-amazon.com/images/I/51+CVldiUZL.jpg,,,,,,,,,,,,,,,COST_FALLBACK_LAST_PURCHASE_PRICE|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT,inactive,0,1,0,0,0,inactive_status,4.44,last_purchase_price,medium,last_purchase_fallback,live,live_product_inputs,out/product_db_preview.csv,live_cost_truth,,,,,,,,,,,,,,4.44,1,1,0,0,0,
2026-04-10T13:20:00Z,BF-KVJ0-RUA9,,DC,ABGee,dropped,0,0,0,0,0,0,0,0,,missing_cost,,MISSING_MARKET_CONTEXT,0,0,,,,"Hey Duggee - 4 in Box (12, 16, 20, 24 piece) Jigsaw Puzzles for Kids age 3 years and up",https://m.media-amazon.com/images/I/91Sy359ZNHL.jpg,,,,,,,,,,,,,,,BLOCKED_MISSING_COST_INPUT|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT,inactive,0,0,0,0,0,inactive_status,,missing_cost,none,no_cost,live,live_product_inputs,out/product_db_preview.csv,no_cost_truth,,,,,,,,,,,,,,,1,1,0,0,0,
2026-04-10T13:20:00Z,12-749B-9EB5,B084HZRR8G,985 49830,ABGee,dropped,0,0,0,0,0,0,0,0,7.59,last_purchase_price,,MISSING_MARKET_CONTEXT,0,0,2025-02-02T17:50:14Z,,,Funko POP! Movies: TCM - Leatherface - Texas Chainsaw Massacre - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors,https://m.media-amazon.com/images/I/71iMqGn81SL.jpg,,,,,,,,,,,,,,,COST_FALLBACK_LAST_PURCHASE_PRICE|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT,inactive,0,1,0,0,0,inactive_status,7.59,last_purchase_price,medium,last_purchase_fallback,live,live_product_inputs,out/product_db_preview.csv,live_cost_truth,,,,,,,,,,,,,,7.59,1,1,0,0,0,
2026-04-10T13:20:00Z,WT-LPJW-NOXR,,985 48186,ABGee,dropped,0,0,0,0,0,0,0,0,7.59,last_purchase_price,,MISSING_MARKET_CONTEXT,0,0,,,,Funko POP! TV: the Boys-Homelander Levitating - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,https://m.media-amazon.com/images/I/71D9gnXS2AL.jpg,,,,,,,,,,,,,,,COST_FALLBACK_LAST_PURCHASE_PRICE|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT,inactive,0,1,0,0,0,inactive_status,7.59,last_purchase_price,medium,last_purchase_fallback,live,live_product_inputs,out/product_db_preview.csv,live_cost_truth,,,,,,,,,,,,,,7.59,1,1,0,0,0,
2026-04-10T13:20:00Z,BF-EX14-XMNB,,985 72185,ABGee,dropped,0,0,0,0,0,0,0,0,,missing_cost,,MISSING_MARKET_CONTEXT,0,0,,,,Funko POP! TV: Peaky Blinders - Thomas Shelby - 1/6 Odds for Rare Chase Variant - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans,https://m.media-amazon.com/images/I/61+3xi12j7L.jpg,,,,,,,,,,,,,,,BLOCKED_MISSING_COST_INPUT|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT,inactive,0,0,0,0,0,inactive_status,,missing_cost,none,no_cost,live,live_product_inputs,out/product_db_preview.csv,no_cost_truth,,,,,,,,,,,,,,,1,1,0,0,0,
2026-04-10T13:20:00Z,WB-6YBC-16X8,,985 49695,ABGee,dropped,0,0,0,0,0,0,0,0,7.59,last_purchase_price,,MISSING_MARKET_CONTEXT,0,0,,,,Funko POP! Movies Edward Scissorhands - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors and Display,https://m.media-amazon.com/images/I/61nUMbNapPL.jpg,,,,,,,,,,,,,,,COST_FALLBACK_LAST_PURCHASE_PRICE|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT,inactive,0,1,0,0,0,inactive_status,7.59,last_purchase_price,medium,last_purchase_fallback,live,live_product_inputs,out/product_db_preview.csv,live_cost_truth,,,,,,,,,,,,,,7.59,1,1,0,0,0,
2026-04-10T13:20:00Z,5B-DQES-2T3E,,,ABGee,dropped,0,0,0,0,0,0,0,0,,missing_cost,,MISSING_MARKET_CONTEXT,0,0,,,,Ravensburger Super Mario Brothers Pencil Pot 3D Jigsaw Puzzles for Kids Age 6 Years Up - 54 Pieces - No Glue Required,https://m.media-amazon.com/images/I/91WRlFY-feS.jpg,,,,,,,,,,,,,,,BLOCKED_MISSING_COST_INPUT|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT,inactive,0,0,0,0,0,inactive_status,,missing_cost,none,no_cost,live,live_product_inputs,out/product_db_preview.csv,no_cost_truth,,,,,,,,,,,,,,,1,1,0,0,0,
2026-04-10T13:20:00Z,BJ-1TEF-1BUZ,,,ABGee,dropped,0,0,0,0,0,0,0,0,,missing_cost,,MISSING_MARKET_CONTEXT,0,0,,,,Ravensburger Marvel Avengers Mini Memory Game - Matching Picture Snap Pairs Game For Kids Age 3 Years and Up,https://m.media-amazon.com/images/I/71I9yTM9dhL.jpg,,,,,,,,,,,,,,,BLOCKED_MISSING_COST_INPUT|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT,inactive,0,0,0,0,0,inactive_status,,missing_cost,none,no_cost,live,live_product_inputs,out/product_db_preview.csv,no_cost_truth,,,,,,,,,,,,,,,1,1,0,0,0,
2026-04-10T13:20:00Z,2S-T29M-BDIZ,,985 28806,ABGee,dropped,0,0,0,0,0,0,0,0,7.59,last_purchase_price,,MISSING_MARKET_CONTEXT,0,0,,,,Funko POP! Books: Five Nights At Freddy's (FNAF) - Twisted Bonnie - FNAF the Twisted Ones - Collectable Vinyl Figure - Gift Idea - Official Merchandise,https://m.media-amazon.com/images/I/81sziQbC8sL.jpg,,,,,,,,,,,,,,,COST_FALLBACK_LAST_PURCHASE_PRICE|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT,inactive,0,1,0,0,0,inactive_status,7.59,last_purchase_price,medium,last_purchase_fallback,live,live_product_inputs,out/product_db_preview.csv,live_cost_truth,,,,,,,,,,,,,,7.59,1,1,0,0,0,
2026-04-10T13:20:00Z,DY-51D1-CSIX,,520 02224,ABGee,dropped,0,0,0,0,0,0,0,0,2.5,last_purchase_price,,MISSING_MARKET_CONTEXT,0,0,,,,"Basic Fun Lite-Brite | Peg & Template Refill Pack | Light Up Drawing Board, LED Board with Colours, Toys for Creative Play, Glow Art Neon Effect Drawing Board, Light Toys for Kids Ages 4 02224",https://m.media-amazon.com/images/I/71fM4VgovVL.jpg,,,,,,,,,,,,,,,COST_FALLBACK_LAST_PURCHASE_PRICE|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT,inactive,0,1,0,0,0,inactive_status,2.5,last_purchase_price,medium,last_purchase_fallback,live,live_product_inputs,out/product_db_preview.csv,live_cost_truth,,,,,,,,,,,,,,2.50,1,1,0,0,0,
