seller_sku,asin,supplier_code,supplier_name,supplier_sku,barcode,suggested_action,suggested_qty,suggested_unit_cost_gbp,line_value_gbp,suggested_market_price_gbp,expected_forward_roi_pct,max_target_roi_purchase_price_gbp,headroom_to_target_max_gbp,max_break_even_purchase_price_gbp,headroom_to_break_even_gbp,purchase_price_safety_status,supplier_cost_review_reason,price_list_unit_cost_gbp,purchase_reference_list_cost_gbp,actual_paid_unit_cost_gbp,expected_next_unit_cost_gbp,expected_cost_source,cost_confidence,review_reason,price_list_source_batch_id
LV-425G-BY4X,9188805646,FLFFLW01,Bliss Distribution,FLFFLW01,9789188805645,full_restock,15,16.38,245.7,26.86,63.980464,24.418182,8.038182000000003,26.86,10.48,within_target_roi_max,price_list_only_no_purchase_reference,16.38,16.38,,16.38,supplier_price_list,price_list_only,price_list_only_no_purchase_reference,bliss_distribution_source_20260518T094415Z_193729ee1063
RZ-6ZL9-CZ7J,B075XT2J8X,KIN2,CLF,KIN2,5016912212924,full_restock,15,2.55,38.25,6.15,141.176471,5.590909,3.040909,6.15,3.6000000000000005,within_target_roi_max,price_list_only_no_purchase_reference,2.55,2.55,,2.55,supplier_price_list,price_list_only,price_list_only_no_purchase_reference,clf_source_20260519T105542Z_8f9b91f4a9b2
YO-EKK2-FRCC,B00BWU7MNU,SPLT28,CLF,SPLT28,7640168930059,full_restock,60,2.38,142.79999999999998,5.75,141.596639,5.227273,2.8472730000000004,5.75,3.37,within_target_roi_max,price_list_only_no_purchase_reference,2.38,2.38,,2.38,supplier_price_list,price_list_only,price_list_only_no_purchase_reference,clf_source_20260519T105542Z_8f9b91f4a9b2
DC-K5WH-R7F5,B0073FT7FY,TEP068SP,DHB,TEP068SP,7317400004457,full_restock,185,0.64,118.4,2.99,367.1875,2.718182,2.078182,2.99,2.35,within_target_roi_max,price_list_only_no_purchase_reference,0.64,0.64,,0.64,supplier_price_list,price_list_only,price_list_only_no_purchase_reference,dhb_source_20260430T121200Z_c4b2b32cee41
XE-YPAI-HX9F,B086ZD7MG6,CUR120,DHB,CUR120,7612412427707,full_restock,83,4.79,397.57,9.99,108.559499,9.081818,4.291818,9.99,5.2,within_target_roi_max,price_list_only_no_purchase_reference,4.79,4.79,,4.79,supplier_price_list,price_list_only,price_list_only_no_purchase_reference,dhb_source_20260430T121200Z_c4b2b32cee41
6V-EEC1-2S9Z,B06WW79DX5,484651,Sika,484651,5029347900069,full_restock,167,1.45,242.15,6.98,381.37931,6.345455,4.895455,6.98,5.53,within_target_roi_max,price_list_only_no_purchase_reference,1.45,1.45,,1.45,supplier_price_list,price_list_only,price_list_only_no_purchase_reference,stax_source_20260430T174504Z_57033a49c502
