check,status,value,notes,alert_first_seen_utc,alert_last_seen_utc,alert_consecutive_runs,alert_age_hours
h_refund_adjustment_history_idempotent_today,ok,0,asof_date=2026-02-18,,,,
h_scope_non_parked_matches_targets,ok,0,processed=0; non_parked_scope=57; skipped_parked=0; invalid_processed_sample=,,,,
h_parked_sku_write_attempts,ok,0,date=2026-02-18; parked_skus=549; parked_rows_today=62; attempt_statuses=,,,,
h_no_cpt_calls_in_h_cycle,ok,0,date=2026-02-18; endpoint=products_pricing_post_competitive_summary_batch; sample=,,,,
h_floor_vat_policy_config,ok,ok,vat_registered=1;recover_input_vat_on_cogs=1;recover_input_vat_on_fees=1;formula_version=vat_registered_exvat_basis_v1;note=Official H floor policy: remove output VAT from sale first; use ex-VAT COGS and fees for floor math.,,,,
h_floor_phase1_cogs_basis_drift,ok,0,date=2026-02-18;latest_asof=2026-02-18T11:16:51Z;rows_in_run=606;compared=147;missing_expected=459;sample=,,,,
h_floor_legacy_cogs_basis_drift,ok,0,date=2026-02-18;rows_today=0;compared=0;sample=,,,,
h_floor_no_order_inputs,ok,0,date=2026-02-18;rows_today=37572;sample=,,,,
h_floor_referral_band_integrity,ok,0,date=2026-02-18;rows_today=37572;sample=,,,,
h_floor_referral_source_coverage,warn,11160,"date=2026-02-18;rows_today=37572;sample=UC-D1G4-MTYN,RJ-OVDC-R9JF,9G-57PS-EN16,S2-RZ4R-15M6,UE-BZE5-I0WM",2026-02-18T10:30:23.316812+00:00,2026-02-18T11:29:13.163543+00:00,4,0.98
h_floor_formula_consistency,ok,0,date=2026-02-18;rows_today=37572;comparable=37572;sample=,,,,
