asof_utc,seller_sku,asin,supplier_code,supplier_name,sale_status,available_now,total_quantity_now,amazon_inbound_working,amazon_inbound_shipped,amazon_inbound_receiving,velocity_7d,velocity_30d,velocity_90d,current_supplier_buy_cost_gbp,current_supplier_cost_source,market_price_gbp,market_price_basis_used,expected_refund_cost_per_unit_gbp,roi_at_market_price_pct,source_inventory_asof,source_velocity_asof,source_performance_asof,title,main_image,supplier_sku,barcode,amazon_pack_size,pack_conversion_note,order_qty_mode,order_qty_unit_label,sell_pack_qty,supplier_case_qty,supplier_case_multiple,valid_order_step,repack_required,bundle_required,display_qtys_label,source_offer_timestamp_utc,source_notes,sale_status_normalized,is_active_candidate,has_current_cost_input,has_current_market_price_input,has_demand_input,has_minimum_restock_inputs,coverage_block_reason,current_cost_value_gbp,current_cost_source,current_cost_confidence,current_cost_class,cost_mode,cost_source_type,cost_source_reference,current_cost_truth_type,price_list_unit_cost_gbp,price_list_currency,price_list_source_batch_id,price_list_source_received_at_utc,price_list_source_row_key,purchase_reference_list_cost_gbp,actual_paid_unit_cost_gbp,actual_paid_source,actual_vs_list_ratio,discount_assumption_pct,expected_next_unit_cost_gbp,expected_cost_source,user_price_check_required,supplier_cost_review_reason,max_break_even_purchase_price_gbp,max_target_roi_purchase_price_gbp,target_roi_pct,purchase_price_safety_status,backtest_policy_id,backtest_history_confidence,backtest_market_viability_score,backtest_exit_risk_score,backtest_estimated_total_profit_gbp,backtest_estimated_monthly_profit_gbp,backtest_capital_lockup_days,backtest_sellable_ceiling_zone,backtest_amazon_risk_level,backtest_compression_risk_level,backtest_recommendation,backtest_manual_review_reason,supplier_catalog_price,last_purchase_price,supplier_pack_size,moq,lead_time_days,bulk_long_lead_flag,out_of_stock_days,snooze_until_utc
2026-05-19T12:28:58Z,N9-IOWG-NGD9,,333 SI568,ABGee,dropped,0,0,0,0,0,0,0,0,4.44,supplier_buy_cost_truth,,MISSING_MARKET_CONTEXT,0,0,,,,"Worlds Smallest 568 UNO ONE, Multicoloured, único",https://m.media-amazon.com/images/I/51+CVldiUZL.jpg,333 SI568,,1,unconfirmed,raw_units,Units,1,1,0,1,0,0,Unit,,COST_FALLBACK_LAST_PURCHASE_PRICE|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT|SUPPLIER_BUY_COST_TRUTH_APPLIED|SUPPLIER_COST_USER_CHECK_REQUIRED,inactive,0,1,0,0,0,inactive_status,4.44,last_purchase_price,actual_paid_without_list_reference,expected_supplier_cost,live,supplier_buy_cost_truth,out/systems/O/live/supplier_buy_cost_truth.csv,live_cost_truth,,,,,,,4.44,product_db_last_purchase_price,,,4.44,last_purchase_price,1,missing_current_price_list_cost|actual_paid_without_list_reference,,,,,,,,,,,,,,,,,,4.44,1,1,0,0,0,
2026-05-19T12:28:58Z,BF-KVJ0-RUA9,,DC,ABGee,dropped,0,0,0,0,0,0,0,0,,missing_cost,,MISSING_MARKET_CONTEXT,0,0,,,,"Hey Duggee - 4 in Box (12, 16, 20, 24 piece) Jigsaw Puzzles for Kids age 3 years and up",https://m.media-amazon.com/images/I/91Sy359ZNHL.jpg,DC,,1,unconfirmed,raw_units,Units,1,1,0,1,0,0,Unit,,BLOCKED_MISSING_COST_INPUT|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT|SUPPLIER_BUY_COST_TRUTH_NO_USABLE_EXPECTED_COST,inactive,0,0,0,0,0,inactive_status,,missing_cost,none,no_cost,live,supplier_buy_cost_truth,out/systems/O/live/supplier_buy_cost_truth.csv,no_cost_truth,,,,,,,,,,,,missing_cost,1,missing_all_cost_inputs,,,,,,,,,,,,,,,,,,,1,1,0,0,0,
2026-05-19T12:28:58Z,12-749B-9EB5,B084HZRR8G,985 49830,ABGee,dropped,0,0,0,0,0,0,0,0,7.59,supplier_buy_cost_truth,,MISSING_MARKET_CONTEXT,0,0,2025-02-02T17:50:14Z,,,Funko POP! Movies: TCM - Leatherface - Texas Chainsaw Massacre - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors,https://m.media-amazon.com/images/I/71iMqGn81SL.jpg,985 49830,,1,unconfirmed,raw_units,Units,1,1,0,1,0,0,Unit,,COST_FALLBACK_LAST_PURCHASE_PRICE|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT|SUPPLIER_BUY_COST_TRUTH_APPLIED|SUPPLIER_COST_USER_CHECK_REQUIRED,inactive,0,1,0,0,0,inactive_status,7.59,last_purchase_price,actual_paid_without_list_reference,expected_supplier_cost,live,supplier_buy_cost_truth,out/systems/O/live/supplier_buy_cost_truth.csv,live_cost_truth,,,,,,,7.59,product_db_last_purchase_price,,,7.59,last_purchase_price,1,missing_current_price_list_cost|actual_paid_without_list_reference,,,,,,,,,,,,,,,,,,7.59,1,1,0,0,0,
2026-05-19T12:28:58Z,WT-LPJW-NOXR,,985 48186,ABGee,dropped,0,0,0,0,0,0,0,0,7.59,supplier_buy_cost_truth,,MISSING_MARKET_CONTEXT,0,0,,,,Funko POP! TV: the Boys-Homelander Levitating - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,https://m.media-amazon.com/images/I/71D9gnXS2AL.jpg,985 48186,,1,unconfirmed,raw_units,Units,1,1,0,1,0,0,Unit,,COST_FALLBACK_LAST_PURCHASE_PRICE|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT|SUPPLIER_BUY_COST_TRUTH_APPLIED|SUPPLIER_COST_USER_CHECK_REQUIRED,inactive,0,1,0,0,0,inactive_status,7.59,last_purchase_price,actual_paid_without_list_reference,expected_supplier_cost,live,supplier_buy_cost_truth,out/systems/O/live/supplier_buy_cost_truth.csv,live_cost_truth,,,,,,,7.59,product_db_last_purchase_price,,,7.59,last_purchase_price,1,missing_current_price_list_cost|actual_paid_without_list_reference,,,,,,,,,,,,,,,,,,7.59,1,1,0,0,0,
2026-05-19T12:28:58Z,BF-EX14-XMNB,,985 72185,ABGee,dropped,0,0,0,0,0,0,0,0,,missing_cost,,MISSING_MARKET_CONTEXT,0,0,,,,Funko POP! TV: Peaky Blinders - Thomas Shelby - 1/6 Odds for Rare Chase Variant - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans,https://m.media-amazon.com/images/I/61+3xi12j7L.jpg,985 72185,,1,unconfirmed,raw_units,Units,1,1,0,1,0,0,Unit,,BLOCKED_MISSING_COST_INPUT|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT|SUPPLIER_BUY_COST_TRUTH_NO_USABLE_EXPECTED_COST,inactive,0,0,0,0,0,inactive_status,,missing_cost,none,no_cost,live,supplier_buy_cost_truth,out/systems/O/live/supplier_buy_cost_truth.csv,no_cost_truth,,,,,,,,,,,,missing_cost,1,missing_all_cost_inputs,,,,,,,,,,,,,,,,,,,1,1,0,0,0,
2026-05-19T12:28:58Z,WB-6YBC-16X8,,985 49695,ABGee,dropped,0,0,0,0,0,0,0,0,7.59,supplier_buy_cost_truth,,MISSING_MARKET_CONTEXT,0,0,,,,Funko POP! Movies Edward Scissorhands - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors and Display,https://m.media-amazon.com/images/I/61nUMbNapPL.jpg,985 49695,,1,unconfirmed,raw_units,Units,1,1,0,1,0,0,Unit,,COST_FALLBACK_LAST_PURCHASE_PRICE|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT|SUPPLIER_BUY_COST_TRUTH_APPLIED|SUPPLIER_COST_USER_CHECK_REQUIRED,inactive,0,1,0,0,0,inactive_status,7.59,last_purchase_price,actual_paid_without_list_reference,expected_supplier_cost,live,supplier_buy_cost_truth,out/systems/O/live/supplier_buy_cost_truth.csv,live_cost_truth,,,,,,,7.59,product_db_last_purchase_price,,,7.59,last_purchase_price,1,missing_current_price_list_cost|actual_paid_without_list_reference,,,,,,,,,,,,,,,,,,7.59,1,1,0,0,0,
2026-05-19T12:28:58Z,5B-DQES-2T3E,,,ABGee,dropped,0,0,0,0,0,0,0,0,,missing_cost,,MISSING_MARKET_CONTEXT,0,0,,,,Ravensburger Super Mario Brothers Pencil Pot 3D Jigsaw Puzzles for Kids Age 6 Years Up - 54 Pieces - No Glue Required,https://m.media-amazon.com/images/I/91WRlFY-feS.jpg,,,1,unconfirmed,raw_units,Units,1,1,0,1,0,0,Unit,,BLOCKED_MISSING_COST_INPUT|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT|SUPPLIER_BUY_COST_TRUTH_NO_USABLE_EXPECTED_COST,inactive,0,0,0,0,0,inactive_status,,missing_cost,none,no_cost,live,supplier_buy_cost_truth,out/systems/O/live/supplier_buy_cost_truth.csv,no_cost_truth,,,,,,,,,,,,missing_cost,1,missing_all_cost_inputs,,,,,,,,,,,,,,,,,,,1,1,0,0,0,
2026-05-19T12:28:58Z,BJ-1TEF-1BUZ,,,ABGee,dropped,0,0,0,0,0,0,0,0,,missing_cost,,MISSING_MARKET_CONTEXT,0,0,,,,Ravensburger Marvel Avengers Mini Memory Game - Matching Picture Snap Pairs Game For Kids Age 3 Years and Up,https://m.media-amazon.com/images/I/71I9yTM9dhL.jpg,,,1,unconfirmed,raw_units,Units,1,1,0,1,0,0,Unit,,BLOCKED_MISSING_COST_INPUT|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT|SUPPLIER_BUY_COST_TRUTH_NO_USABLE_EXPECTED_COST,inactive,0,0,0,0,0,inactive_status,,missing_cost,none,no_cost,live,supplier_buy_cost_truth,out/systems/O/live/supplier_buy_cost_truth.csv,no_cost_truth,,,,,,,,,,,,missing_cost,1,missing_all_cost_inputs,,,,,,,,,,,,,,,,,,,1,1,0,0,0,
2026-05-19T12:28:58Z,2S-T29M-BDIZ,,985 28806,ABGee,dropped,0,0,0,0,0,0,0,0,7.59,supplier_buy_cost_truth,,MISSING_MARKET_CONTEXT,0,0,,,,Funko POP! Books: Five Nights At Freddy's (FNAF) - Twisted Bonnie - FNAF the Twisted Ones - Collectable Vinyl Figure - Gift Idea - Official Merchandise,https://m.media-amazon.com/images/I/81sziQbC8sL.jpg,985 28806,,1,unconfirmed,raw_units,Units,1,1,0,1,0,0,Unit,,COST_FALLBACK_LAST_PURCHASE_PRICE|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT|SUPPLIER_BUY_COST_TRUTH_APPLIED|SUPPLIER_COST_USER_CHECK_REQUIRED,inactive,0,1,0,0,0,inactive_status,7.59,last_purchase_price,actual_paid_without_list_reference,expected_supplier_cost,live,supplier_buy_cost_truth,out/systems/O/live/supplier_buy_cost_truth.csv,live_cost_truth,,,,,,,7.59,product_db_last_purchase_price,,,7.59,last_purchase_price,1,missing_current_price_list_cost|actual_paid_without_list_reference,,,,,,,,,,,,,,,,,,7.59,1,1,0,0,0,
2026-05-19T12:28:58Z,DY-51D1-CSIX,,520 02224,ABGee,dropped,0,0,0,0,0,0,0,0,2.5,supplier_buy_cost_truth,,MISSING_MARKET_CONTEXT,0,0,,,,"Basic Fun Lite-Brite | Peg & Template Refill Pack | Light Up Drawing Board, LED Board with Colours, Toys for Creative Play, Glow Art Neon Effect Drawing Board, Light Toys for Kids Ages 4 02224",https://m.media-amazon.com/images/I/71fM4VgovVL.jpg,520 02224,,1,unconfirmed,raw_units,Units,1,1,0,1,0,0,Unit,,COST_FALLBACK_LAST_PURCHASE_PRICE|MISSING_INVENTORY_CONTEXT|MISSING_PERFORMANCE_CONTEXT|MISSING_VELOCITY_CONTEXT|REDUCED_CONFIDENCE_MISSING_H_PRICE_CONTEXT|SUPPLIER_BUY_COST_TRUTH_APPLIED|SUPPLIER_COST_USER_CHECK_REQUIRED,inactive,0,1,0,0,0,inactive_status,2.5,last_purchase_price,actual_paid_without_list_reference,expected_supplier_cost,live,supplier_buy_cost_truth,out/systems/O/live/supplier_buy_cost_truth.csv,live_cost_truth,,,,,,,2.5,product_db_last_purchase_price,,,2.5,last_purchase_price,1,missing_current_price_list_cost|actual_paid_without_list_reference,,,,,,,,,,,,,,,,,,2.50,1,1,0,0,0,
