asof_utc,seller_sku,asin,supplier_code,supplier_name,recommendation_status,reason_codes,recommended_qty_raw,recommended_qty_rounded,target_days_cover,days_cover_available_only,days_cover_total_pipeline,current_supplier_buy_cost_gbp,current_supplier_cost_source,market_price_gbp,market_price_basis_used,forward_roi_pct,forward_profit_per_unit_gbp,title,main_image,confidence_score,policy_version,cost_mode,recommendation_basis,max_break_even_purchase_price_gbp,max_target_roi_purchase_price_gbp,target_roi_pct,purchase_price_safety_status,user_price_check_required,supplier_cost_review_reason,expected_next_unit_cost_gbp,price_list_unit_cost_gbp,purchase_reference_list_cost_gbp,actual_paid_unit_cost_gbp,confidence_note,blocked_note,snooze_until_utc
2026-05-19T12:38:56Z,N9-IOWG-NGD9,,333 SI568,ABGee,wait,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,,,4.44,supplier_buy_cost_truth,,MISSING_MARKET_CONTEXT,,,"Worlds Smallest 568 UNO ONE, Multicoloured, único",https://m.media-amazon.com/images/I/51+CVldiUZL.jpg,40,o_phase1_v1,live,live_cost_inputs,,,10,missing_market_price,1,missing_current_price_list_cost|actual_paid_without_list_reference,4.44,,,4.44,inactive_sale_status,inactive_sale_status,
2026-05-19T12:38:56Z,BF-KVJ0-RUA9,,DC,ABGee,wait,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,,,,missing_cost,,MISSING_MARKET_CONTEXT,,,"Hey Duggee - 4 in Box (12, 16, 20, 24 piece) Jigsaw Puzzles for Kids age 3 years and up",https://m.media-amazon.com/images/I/91Sy359ZNHL.jpg,40,o_phase1_v1,live,live_mode_missing_cost,,,10,missing_market_price,1,missing_all_cost_inputs,,,,,inactive_sale_status,inactive_sale_status,
2026-05-19T12:38:56Z,12-749B-9EB5,B084HZRR8G,985 49830,ABGee,wait,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,,,7.59,supplier_buy_cost_truth,,MISSING_MARKET_CONTEXT,,,Funko POP! Movies: TCM - Leatherface - Texas Chainsaw Massacre - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors,https://m.media-amazon.com/images/I/71iMqGn81SL.jpg,40,o_phase1_v1,live,live_cost_inputs,,,10,missing_market_price,1,missing_current_price_list_cost|actual_paid_without_list_reference,7.59,,,7.59,inactive_sale_status,inactive_sale_status,
2026-05-19T12:38:56Z,WT-LPJW-NOXR,,985 48186,ABGee,wait,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,,,7.59,supplier_buy_cost_truth,,MISSING_MARKET_CONTEXT,,,Funko POP! TV: the Boys-Homelander Levitating - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,https://m.media-amazon.com/images/I/71D9gnXS2AL.jpg,40,o_phase1_v1,live,live_cost_inputs,,,10,missing_market_price,1,missing_current_price_list_cost|actual_paid_without_list_reference,7.59,,,7.59,inactive_sale_status,inactive_sale_status,
2026-05-19T12:38:56Z,BF-EX14-XMNB,,985 72185,ABGee,wait,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,,,,missing_cost,,MISSING_MARKET_CONTEXT,,,Funko POP! TV: Peaky Blinders - Thomas Shelby - 1/6 Odds for Rare Chase Variant - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans,https://m.media-amazon.com/images/I/61+3xi12j7L.jpg,40,o_phase1_v1,live,live_mode_missing_cost,,,10,missing_market_price,1,missing_all_cost_inputs,,,,,inactive_sale_status,inactive_sale_status,
2026-05-19T12:38:56Z,WB-6YBC-16X8,,985 49695,ABGee,wait,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,,,7.59,supplier_buy_cost_truth,,MISSING_MARKET_CONTEXT,,,Funko POP! Movies Edward Scissorhands - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors and Display,https://m.media-amazon.com/images/I/61nUMbNapPL.jpg,40,o_phase1_v1,live,live_cost_inputs,,,10,missing_market_price,1,missing_current_price_list_cost|actual_paid_without_list_reference,7.59,,,7.59,inactive_sale_status,inactive_sale_status,
2026-05-19T12:38:56Z,5B-DQES-2T3E,,,ABGee,wait,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,,,,missing_cost,,MISSING_MARKET_CONTEXT,,,Ravensburger Super Mario Brothers Pencil Pot 3D Jigsaw Puzzles for Kids Age 6 Years Up - 54 Pieces - No Glue Required,https://m.media-amazon.com/images/I/91WRlFY-feS.jpg,40,o_phase1_v1,live,live_mode_missing_cost,,,10,missing_market_price,1,missing_all_cost_inputs,,,,,inactive_sale_status,inactive_sale_status,
2026-05-19T12:38:56Z,BJ-1TEF-1BUZ,,,ABGee,wait,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,,,,missing_cost,,MISSING_MARKET_CONTEXT,,,Ravensburger Marvel Avengers Mini Memory Game - Matching Picture Snap Pairs Game For Kids Age 3 Years and Up,https://m.media-amazon.com/images/I/71I9yTM9dhL.jpg,40,o_phase1_v1,live,live_mode_missing_cost,,,10,missing_market_price,1,missing_all_cost_inputs,,,,,inactive_sale_status,inactive_sale_status,
2026-05-19T12:38:56Z,2S-T29M-BDIZ,,985 28806,ABGee,wait,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,,,7.59,supplier_buy_cost_truth,,MISSING_MARKET_CONTEXT,,,Funko POP! Books: Five Nights At Freddy's (FNAF) - Twisted Bonnie - FNAF the Twisted Ones - Collectable Vinyl Figure - Gift Idea - Official Merchandise,https://m.media-amazon.com/images/I/81sziQbC8sL.jpg,40,o_phase1_v1,live,live_cost_inputs,,,10,missing_market_price,1,missing_current_price_list_cost|actual_paid_without_list_reference,7.59,,,7.59,inactive_sale_status,inactive_sale_status,
2026-05-19T12:38:56Z,DY-51D1-CSIX,,520 02224,ABGee,wait,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,,,2.5,supplier_buy_cost_truth,,MISSING_MARKET_CONTEXT,,,"Basic Fun Lite-Brite | Peg & Template Refill Pack | Light Up Drawing Board, LED Board with Colours, Toys for Creative Play, Glow Art Neon Effect Drawing Board, Light Toys for Kids Ages 4 02224",https://m.media-amazon.com/images/I/71fM4VgovVL.jpg,40,o_phase1_v1,live,live_cost_inputs,,,10,missing_market_price,1,missing_current_price_list_cost|actual_paid_without_list_reference,2.5,,,2.5,inactive_sale_status,inactive_sale_status,
