asof_utc,seller_sku,asin,supplier_code,supplier_name,supplier_sku,barcode,price_list_unit_cost_gbp,price_list_currency,price_list_source_batch_id,price_list_source_received_at_utc,price_list_source_row_key,purchase_reference_list_cost_gbp,actual_paid_unit_cost_gbp,actual_paid_source,actual_vs_list_ratio,discount_assumption_pct,expected_next_unit_cost_gbp,expected_cost_source,cost_confidence,user_price_check_required,review_reason,source_lineage,title,price_list_supplier_id,price_list_supplier_sku,price_list_barcode,product_catalog_cost_gbp,cost_match_method,price_list_changed_since_purchase
2026-05-19T12:36:09Z,N9-IOWG-NGD9,,333 SI568,ABGee,,,,,,,,,4.44,product_db_last_purchase_price,,,4.44,last_purchase_price,actual_paid_without_list_reference,1,missing_current_price_list_cost|actual_paid_without_list_reference,product_db_preview,"Worlds Smallest 568 UNO ONE, Multicoloured, único",,,,,,0
2026-05-19T12:36:09Z,BF-KVJ0-RUA9,,DC,ABGee,,,,,,,,,,,,,,missing_cost,none,1,missing_all_cost_inputs,product_db_preview,"Hey Duggee - 4 in Box (12, 16, 20, 24 piece) Jigsaw Puzzles for Kids age 3 years and up",,,,,,0
2026-05-19T12:36:09Z,12-749B-9EB5,,985 49830,ABGee,,,,,,,,,7.59,product_db_last_purchase_price,,,7.59,last_purchase_price,actual_paid_without_list_reference,1,missing_current_price_list_cost|actual_paid_without_list_reference,product_db_preview,Funko POP! Movies: TCM - Leatherface - Texas Chainsaw Massacre - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors,,,,,,0
2026-05-19T12:36:09Z,WT-LPJW-NOXR,,985 48186,ABGee,,,,,,,,,7.59,product_db_last_purchase_price,,,7.59,last_purchase_price,actual_paid_without_list_reference,1,missing_current_price_list_cost|actual_paid_without_list_reference,product_db_preview,Funko POP! TV: the Boys-Homelander Levitating - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,,,,,0
2026-05-19T12:36:09Z,BF-EX14-XMNB,,985 72185,ABGee,,,,,,,,,,,,,,missing_cost,none,1,missing_all_cost_inputs,product_db_preview,Funko POP! TV: Peaky Blinders - Thomas Shelby - 1/6 Odds for Rare Chase Variant - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans,,,,,,0
2026-05-19T12:36:09Z,WB-6YBC-16X8,,985 49695,ABGee,,,,,,,,,7.59,product_db_last_purchase_price,,,7.59,last_purchase_price,actual_paid_without_list_reference,1,missing_current_price_list_cost|actual_paid_without_list_reference,product_db_preview,Funko POP! Movies Edward Scissorhands - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors and Display,,,,,,0
2026-05-19T12:36:09Z,5B-DQES-2T3E,,,ABGee,,,,,,,,,,,,,,missing_cost,none,1,missing_all_cost_inputs,product_db_preview,Ravensburger Super Mario Brothers Pencil Pot 3D Jigsaw Puzzles for Kids Age 6 Years Up - 54 Pieces - No Glue Required,,,,,,0
2026-05-19T12:36:09Z,BJ-1TEF-1BUZ,,,ABGee,,,,,,,,,,,,,,missing_cost,none,1,missing_all_cost_inputs,product_db_preview,Ravensburger Marvel Avengers Mini Memory Game - Matching Picture Snap Pairs Game For Kids Age 3 Years and Up,,,,,,0
2026-05-19T12:36:09Z,2S-T29M-BDIZ,,985 28806,ABGee,,,,,,,,,7.59,product_db_last_purchase_price,,,7.59,last_purchase_price,actual_paid_without_list_reference,1,missing_current_price_list_cost|actual_paid_without_list_reference,product_db_preview,Funko POP! Books: Five Nights At Freddy's (FNAF) - Twisted Bonnie - FNAF the Twisted Ones - Collectable Vinyl Figure - Gift Idea - Official Merchandise,,,,,,0
2026-05-19T12:36:09Z,DY-51D1-CSIX,,520 02224,ABGee,,,,,,,,,2.5,product_db_last_purchase_price,,,2.5,last_purchase_price,actual_paid_without_list_reference,1,missing_current_price_list_cost|actual_paid_without_list_reference,product_db_preview,"Basic Fun Lite-Brite | Peg & Template Refill Pack | Light Up Drawing Board, LED Board with Colours, Toys for Creative Play, Glow Art Neon Effect Drawing Board, Light Toys for Kids Ages 4 02224",,,,,,0
