report_utc,supplier_name,supplier_code,rows_total,rows_action_candidate,rows_action_ready,rows_blocked,rows_missing_cost_truth,rows_missing_market_truth,rows_missing_demand_truth,rows_wait_suggested,rows_snoozed,rows_missing_qty_prefill,rows_missing_cost_prefill,rows_missing_image
2026-05-19T12:39:03Z,Bliss Distribution,WP2022,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Bliss Distribution,WZK90035,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,CLF,,10,0,0,10,10,9,10,10,0,10,10,0
2026-05-19T12:39:03Z,CLF,ATE71,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,CLF,ATE72,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,ATE74,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,CLF,AVA-9110,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,CLF,BBW53,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,BDG11,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,BDH8,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,BEAN10,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,CLF,CGC39,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,COE12,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,CYA21,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,EAN1,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,FIN159,1,0,0,1,1,1,1,1,0,1,1,0
2026-05-19T12:39:03Z,CLF,FIN178,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,FSP3,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,HBH30,3,0,0,3,0,1,3,3,0,3,0,0
2026-05-19T12:39:03Z,CLF,HIM30,2,0,0,2,0,2,2,2,0,2,0,0
2026-05-19T12:39:03Z,CLF,HIM57,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,HRI-GM,1,0,0,1,1,1,1,1,0,1,1,0
2026-05-19T12:39:03Z,CLF,HTP41,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,CLF,JNJ35,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,KIN2,1,1,1,0,0,0,0,0,0,0,0,0
2026-05-19T12:39:03Z,CLF,LAV78,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,MAL4,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,MAU2,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,MER-15579050,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,MOO55,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,MOO62,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,NOJ6,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,CLF,OCN6,1,0,0,1,0,0,1,1,0,1,0,0
