report_utc,seller_sku,asin,supplier_code,supplier_name,suggested_action,suggested_qty,suggested_unit_cost_gbp,suggested_market_price_gbp,expected_forward_roi_pct,queue_status,cost_mode,recommendation_basis,is_active_candidate,has_current_cost_input,has_current_market_price_input,has_demand_input,has_minimum_restock_inputs,action_candidate,action_ready_now,block_reason_codes,field_missing_count,recommendation_reason,missing_supplier_name,missing_seller_sku,missing_title,missing_main_image,missing_suggested_action,missing_suggested_qty,missing_suggested_unit_cost_gbp,missing_suggested_market_price_gbp,missing_expected_forward_roi_pct,missing_recommendation_reason,product_db_row_present,velocity_row_present,performance_row_present,offer_row_present,source_queue_present,source_recommendation_present,source_view_present,coverage_block_reason,user_price_check_required,supplier_cost_review_reason,max_break_even_purchase_price_gbp,max_target_roi_purchase_price_gbp,target_roi_pct,purchase_price_safety_status
2026-05-19T12:39:03Z,1C-WYGV-IW8O,B00YPA854Y,,Shure Cosmetics,wait,0,,,,watch_or_wait,live,live_mode_missing_cost,0,0,0,0,0,0,0,wait_or_non_action_suggestion|missing_suggested_qty|missing_suggested_unit_cost|missing_suggested_market_price|missing_expected_forward_roi|inactive_or_unknown_status|missing_cost_truth|missing_market_truth|missing_demand_truth|coverage_block::inactive_status|supplier_cost_confirmation_required,4,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,inactive_status,1,missing_all_cost_inputs,,,10,missing_market_price
2026-05-19T12:39:03Z,1D-E3I8-TUK8,B00O3XUG5E,,TD Synnex,wait,0,,,,watch_or_wait,live,live_mode_missing_cost,0,0,0,0,0,0,0,wait_or_non_action_suggestion|missing_suggested_qty|missing_suggested_unit_cost|missing_suggested_market_price|missing_expected_forward_roi|inactive_or_unknown_status|missing_cost_truth|missing_market_truth|missing_demand_truth|coverage_block::inactive_status|supplier_cost_confirmation_required,4,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,inactive_status,1,missing_all_cost_inputs,,,10,missing_market_price
2026-05-19T12:39:03Z,1I-68NK-QBN0,B095ZY4PCG,,(Unknown supplier),wait,0,,,,watch_or_wait,live,live_mode_missing_cost,0,0,0,0,0,0,0,wait_or_non_action_suggestion|missing_supplier_name|missing_suggested_qty|missing_suggested_unit_cost|missing_suggested_market_price|missing_expected_forward_roi|inactive_or_unknown_status|missing_cost_truth|missing_market_truth|missing_demand_truth|coverage_block::inactive_or_unknown_status|supplier_cost_confirmation_required,5,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,inactive_or_unknown_status,1,missing_all_cost_inputs,,,10,missing_market_price
2026-05-19T12:39:03Z,1L-X5VM-8E2W,B09S5RXYKR,,(Unknown supplier),wait,0,,,,watch_or_wait,live,live_mode_missing_cost,0,0,0,0,0,0,0,wait_or_non_action_suggestion|missing_supplier_name|missing_suggested_qty|missing_suggested_unit_cost|missing_suggested_market_price|missing_expected_forward_roi|inactive_or_unknown_status|missing_cost_truth|missing_market_truth|missing_demand_truth|coverage_block::inactive_or_unknown_status|supplier_cost_confirmation_required,5,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,inactive_or_unknown_status,1,missing_all_cost_inputs,,,10,missing_market_price
2026-05-19T12:39:03Z,1P-BRGG-P0N6,B07QGGFKYK,WST568,Heo,wait,0,4.44,,,watch_or_wait,live,live_cost_inputs,0,1,0,0,0,0,0,wait_or_non_action_suggestion|missing_suggested_qty|missing_suggested_market_price|missing_expected_forward_roi|inactive_or_unknown_status|missing_market_truth|missing_demand_truth|coverage_block::inactive_status|supplier_cost_confirmation_required,3,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,inactive_status,1,missing_current_price_list_cost|actual_paid_without_list_reference,,,10,missing_market_price
2026-05-19T12:39:03Z,1Q-OTO8-JG8E,B01G263L1K,AT-11009,Bliss Distribution,wait,0,4.32,,,watch_or_wait,live,live_cost_inputs,0,1,0,0,0,0,0,wait_or_non_action_suggestion|missing_suggested_qty|missing_suggested_market_price|missing_expected_forward_roi|inactive_or_unknown_status|missing_market_truth|missing_demand_truth|coverage_block::inactive_status|supplier_cost_confirmation_required,3,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,inactive_status,1,missing_current_price_list_cost|actual_paid_without_list_reference,,,10,missing_market_price
2026-05-19T12:39:03Z,1S-ZFUI-RE1A,B0032NGZII,484651,Sika,wait,0,0.69,,,watch_or_wait,live,live_cost_inputs,0,1,0,0,0,0,0,wait_or_non_action_suggestion|missing_suggested_qty|missing_suggested_market_price|missing_expected_forward_roi|inactive_or_unknown_status|missing_market_truth|missing_demand_truth|coverage_block::inactive_status|supplier_cost_confirmation_required,3,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,inactive_status,1,discount_assumption_needs_confirmation,,,10,missing_market_price
2026-05-19T12:39:03Z,1U-1W76-M840,B07V9CRX7Y,,(Unknown supplier),wait,0,,4.02,,watch_or_wait,live,live_mode_missing_cost,0,0,1,0,0,0,0,wait_or_non_action_suggestion|missing_supplier_name|missing_suggested_qty|missing_suggested_unit_cost|missing_expected_forward_roi|inactive_or_unknown_status|missing_cost_truth|missing_demand_truth|coverage_block::inactive_or_unknown_status|supplier_cost_confirmation_required,4,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,inactive_or_unknown_status,1,missing_all_cost_inputs,4.02,3.654545,10,missing_expected_cost
2026-05-19T12:39:03Z,1U-YF3T-TR74,B082BVCQMQ,FLFALE005,Bliss Distribution,wait,0,,19.93,,watch_or_wait,live,live_mode_missing_cost,1,0,1,0,0,0,0,wait_or_non_action_suggestion|missing_suggested_qty|missing_suggested_unit_cost|missing_expected_forward_roi|missing_cost_truth|missing_demand_truth|coverage_block::missing_cost_and_demand|supplier_cost_confirmation_required,3,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,WEAK_DEMAND_SIGNAL",0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,missing_cost_and_demand,1,missing_all_cost_inputs,19.93,18.118182,10,missing_expected_cost
2026-05-19T12:39:03Z,1W-8WI9-7AUU,B0BLQRDTLL,FK72333,Heo,wait,0,,9.49,,watch_or_wait,live,live_mode_missing_cost,0,0,1,0,0,0,0,wait_or_non_action_suggestion|missing_suggested_qty|missing_suggested_unit_cost|missing_expected_forward_roi|inactive_or_unknown_status|missing_cost_truth|missing_demand_truth|coverage_block::inactive_status|supplier_cost_confirmation_required,3,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,inactive_status,1,missing_all_cost_inputs,9.49,8.627273,10,missing_expected_cost
2026-05-19T12:39:03Z,26-E5TZ-WU0I,,AT-15052,Bliss Distribution,wait,0,,,,watch_or_wait,live,live_mode_missing_cost,0,0,0,0,0,0,0,wait_or_non_action_suggestion|missing_suggested_qty|missing_suggested_unit_cost|missing_suggested_market_price|missing_expected_forward_roi|inactive_or_unknown_status|missing_cost_truth|missing_market_truth|missing_demand_truth|coverage_block::inactive_status|supplier_cost_confirmation_required,4,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,inactive_status,1,missing_all_cost_inputs,,,10,missing_market_price
2026-05-19T12:39:03Z,27-VH0D-TKGK,,,CLF,wait,0,,,,watch_or_wait,live,live_mode_missing_cost,0,0,0,0,0,0,0,wait_or_non_action_suggestion|missing_suggested_qty|missing_suggested_unit_cost|missing_suggested_market_price|missing_expected_forward_roi|inactive_or_unknown_status|missing_cost_truth|missing_market_truth|missing_demand_truth|coverage_block::inactive_status|supplier_cost_confirmation_required,4,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,inactive_status,1,missing_all_cost_inputs,,,10,missing_market_price
2026-05-19T12:39:03Z,2C-S7N4-TU7U,,,Shure Cosmetics,wait,0,,,,watch_or_wait,live,live_mode_missing_cost,0,0,0,0,0,0,0,wait_or_non_action_suggestion|missing_suggested_qty|missing_suggested_unit_cost|missing_suggested_market_price|missing_expected_forward_roi|inactive_or_unknown_status|missing_cost_truth|missing_market_truth|missing_demand_truth|coverage_block::inactive_status|supplier_cost_confirmation_required,4,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,inactive_status,1,missing_all_cost_inputs,,,10,missing_market_price
2026-05-19T12:39:03Z,2G-AYBQ-TUQG,B002KFZKZ8,416645,Jones Wholesale,wait,0,,11.09,,watch_or_wait,live,live_mode_missing_cost,1,0,1,0,0,0,0,wait_or_non_action_suggestion|missing_suggested_qty|missing_suggested_unit_cost|missing_expected_forward_roi|missing_cost_truth|missing_demand_truth|coverage_block::missing_cost_and_demand|supplier_cost_confirmation_required,3,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,WEAK_DEMAND_SIGNAL",0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,missing_cost_and_demand,1,missing_all_cost_inputs,11.09,10.081818,10,missing_expected_cost
2026-05-19T12:39:03Z,2I-R2RY-BZ85,,,Entertainment Trading,wait,0,,,,watch_or_wait,live,live_mode_missing_cost,0,0,0,0,0,0,0,wait_or_non_action_suggestion|missing_suggested_qty|missing_suggested_unit_cost|missing_suggested_market_price|missing_expected_forward_roi|inactive_or_unknown_status|missing_cost_truth|missing_market_truth|missing_demand_truth|coverage_block::inactive_status|supplier_cost_confirmation_required,4,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,inactive_status,1,missing_all_cost_inputs,,,10,missing_market_price
2026-05-19T12:39:03Z,2K-6X85-CXUL,,,ABGee,wait,0,,,,watch_or_wait,live,live_mode_missing_cost,0,0,0,0,0,0,0,wait_or_non_action_suggestion|missing_suggested_qty|missing_suggested_unit_cost|missing_suggested_market_price|missing_expected_forward_roi|inactive_or_unknown_status|missing_cost_truth|missing_market_truth|missing_demand_truth|coverage_block::inactive_status|supplier_cost_confirmation_required,4,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,inactive_status,1,missing_all_cost_inputs,,,10,missing_market_price
2026-05-19T12:39:03Z,2L-4Y1Q-E6OA,,674 05288,ABGee,wait,0,6.2,,,watch_or_wait,live,live_cost_inputs,0,1,0,0,0,0,0,wait_or_non_action_suggestion|missing_suggested_qty|missing_suggested_market_price|missing_expected_forward_roi|inactive_or_unknown_status|missing_market_truth|missing_demand_truth|coverage_block::inactive_status|supplier_cost_confirmation_required,3,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,inactive_status,1,missing_current_price_list_cost|actual_paid_without_list_reference,,,10,missing_market_price
2026-05-19T12:39:03Z,2L-M26G-560I,B075WYWJ5L,USN026,Tropicana Wholesale,wait,0,,25.04,,watch_or_wait,live,live_mode_missing_cost,0,0,1,0,0,0,0,wait_or_non_action_suggestion|missing_suggested_qty|missing_suggested_unit_cost|missing_expected_forward_roi|inactive_or_unknown_status|missing_cost_truth|missing_demand_truth|coverage_block::inactive_status|supplier_cost_confirmation_required,3,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,inactive_status,1,missing_all_cost_inputs,25.04,22.763636,10,missing_expected_cost
2026-05-19T12:39:03Z,2S-T29M-BDIZ,,985 28806,ABGee,wait,0,7.59,,,watch_or_wait,live,live_cost_inputs,0,1,0,0,0,0,0,wait_or_non_action_suggestion|missing_suggested_qty|missing_suggested_market_price|missing_expected_forward_roi|inactive_or_unknown_status|missing_market_truth|missing_demand_truth|coverage_block::inactive_status|supplier_cost_confirmation_required,3,"SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,LOW_CONFIDENCE_MARKET_CONTEXT,SALE_STATUS_NOT_ACTIVE",0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,inactive_status,1,missing_current_price_list_cost|actual_paid_without_list_reference,,,10,missing_market_price
