copied_utc,legacy_rel,live_path,legacy_path,copied,reason
2026-02-18T12:57:08Z,out/api_run_log.csv,out/systems/shared/live/api_run_log.csv,out/api_run_log.csv,1,copied_legacy_to_live
2026-02-18T12:57:08Z,out/h_worker_probe_event_log.csv,out/systems/H/live/h_worker_probe_event_log.csv,out/h_worker_probe_event_log.csv,1,copied_legacy_to_live
2026-02-18T12:57:08Z,out/h_worker_probe_response_log.csv,out/systems/H/live/h_worker_probe_response_log.csv,out/h_worker_probe_response_log.csv,1,copied_legacy_to_live
2026-02-18T12:57:08Z,out/inbound_history.csv,out/systems/shared/live/inbound_history.csv,out/inbound_history.csv,1,copied_legacy_to_live
2026-02-18T12:57:08Z,out/inventory_history.csv,out/systems/shared/live/inventory_history.csv,out/inventory_history.csv,1,copied_legacy_to_live
2026-02-18T12:57:08Z,out/listing_offer_history.csv,out/systems/H/live/listing_offer_history.csv,out/listing_offer_history.csv,1,copied_legacy_to_live
2026-02-18T12:57:08Z,out/listing_offer_seller_observation_history.csv,out/systems/H/live/listing_offer_seller_observation_history.csv,out/listing_offer_seller_observation_history.csv,1,copied_legacy_to_live
2026-02-18T12:57:08Z,out/refund_adjustment_history.csv,out/systems/shared/live/refund_adjustment_history.csv,out/refund_adjustment_history.csv,1,copied_legacy_to_live
2026-02-18T12:57:08Z,out/token_allocations_live.csv,out/systems/B/live/token_allocations_live.csv,out/token_allocations_live.csv,0,live_exists
2026-02-18T12:57:08Z,out/token_ledger_live.csv,out/systems/B/live/token_ledger_live.csv,out/token_ledger_live.csv,0,live_exists
2026-02-18T12:57:08Z,out/token_shortages_by_sku.csv,out/systems/B/live/token_shortages_by_sku.csv,out/token_shortages_by_sku.csv,0,live_exists
