asof_date,sku,asin,buy_box_channel,our_price,buy_box_price,our_minus_bb,win_rate_pct,outcome_known_flag,available,inbound_total
2026-02-17,4W-VS57-BV6A,B0C9LJNJWZ,FBA,35.91,35.0,0.9099999999999966,0.0,1,16,0
2026-02-17,6V-EEC1-2S9Z,B06WW79DX5,FBA,7.88,7.88,0.0,100.0,1,38,250
2026-02-17,AX-NKNU-29C1,B08M52B4M5,Unknown,3.99,,,0.0,0,134,0
2026-02-17,JB-RGB6-LZOJ,B0001P0DLU,FBA,9.98,5.95,4.03,0.0,1,71,0
2026-02-17,L1-54EX-56YC,B09445GL1C,FBM,13.64,12.96,0.6799999999999997,25.4,1,5,0
2026-02-17,RZ-6ZL9-CZ7J,B075XT2J8X,FBA,6.97,6.35,0.6200000000000001,0.0,1,47,0
2026-02-17,TJ-6LOP-OPEU,B08P63MSS9,Unknown,8.96,,,0.0,0,16,0
2026-02-17,VF-3T0K-DR5O,B08KFFY86W,FBA,5.35,4.79,0.5599999999999996,0.0,1,483,0
2026-02-17,XE-YPAI-HX9F,B086ZD7MG6,FBA,9.0,8.09,0.9100000000000001,0.0,1,79,0
2026-02-17,XH-0LAE-FQO5,B00AOES9GE,FBA,6.9,6.13,0.7700000000000005,0.0,1,24,0
2026-02-17,XY-UM2X-TPS3,B003VTZAM0,FBM,11.47,9.99,1.4800000000000004,0.0,1,36,0
2026-02-17,YC-3L3M-BV48,B0CTD6Q6KY,FBA,79.0,79.0,0.0,1.56,1,10,0
