OrderKey,Sent to FBA
bdd5db56-d454-47d2-97f8-268dbe9ecd02,6
7a7bb2c3-faae-46a5-bdd1-245fe7385489,6
0a92c293-40dd-49fe-b470-7afa3fb987b8,20
dfbf19c4-d1f4-49de-930f-154d35fcd9f2,45
cd42aebd-ed1b-4e8c-84a8-fb8cee536d8a,360
f8d5c63f-b470-49f6-8768-e39c3cd882a2,18
bd01671f-a72e-4576-b51f-e40937085f2b,24
32e2ec4a-1d67-492b-be70-2c92972cb0de,23
e9871510-a82b-4d14-bf46-b73b63ecb818,800
25f48b38-38a1-4f6c-93f8-045f0894eba5,180
dabc72df-82c7-4a29-a529-ae55e9779e2a,60
8235e55b-f6e2-4bb3-9059-4cd61bd97c49,600
2514713a-e77a-4533-a5b7-c7054bd90457,25
3fbb5427-f61e-4fe2-a7d2-8c0c37599083,35
21e53f64-338b-405f-a26b-b513dcb4bec5,0
d1d564fb-9de6-4f98-96b1-bbfa6afcb5f3,6
87b49634-3ac9-4ee0-b76b-573c58fc47b6,4
2b6d13b4-63b1-445b-be7b-414761674b62,7
ed9ebae7-a5f6-41eb-a5a7-5f7dd89febdd,0
18496b06-3011-45b2-94e2-313a3cfa2bb3,6
449748ab-7494-400d-9e1c-ae0250cdbd4b,6
64c4f215-4047-4bc2-bc26-4e48fad41390,7
4b9920f7-59b0-44be-8e43-c59666d1dd07,44
6c037ec6-b953-4d2d-89ec-a8cc2c84d52d,12
cb9c24cd-cd70-4cb5-82c6-65218f12a4b2,40
8feb3479-e8e6-4617-8680-4061c52e8f80,48
f430b3ef-d183-414f-b2d8-75764f51f8cb,15
d584176c-779a-492b-be33-563c916c81cb,100
b586d1b2-209d-42f3-8e96-5cd02c8eeb37,20
4e6db41c-db06-4694-ac41-f8902694e536,200
f5174c72-039f-433d-bd92-c9cac66b9a3c,60
e5420b31-2e6e-4741-81ca-292a235f4d90,30
453dc021-8adc-46b5-9377-ae28ae282cf8,30
95a49e30-7abd-49c5-94a5-947d7e078bd0,200
9536b00a-9370-4449-bbb8-a2a443330bbb,40
85fd2d88-25ad-44b6-b8b0-db72c26f869a,10
65a66ebd-4deb-4c1d-8a83-f2ec34533b15,40
964276c0-f1ae-4acd-b3ad-cee3f2e3598b,40
a6ebef1e-21a7-4b6b-969d-ca6cfdb881e2,100
d7d454a6-87d2-4d35-9cf7-f4bf6ccc9f83,30
e508b839-2b45-4edf-a71b-572a4d159099,84
04e1c501-0718-4b58-8960-98212f944ce4,90
98e67114-8e8f-40fa-ba85-665ae98f6635,36
e6ec31cb-a8e1-49c5-ad8f-65475ed57fd3,0
a6bc9acd-a86a-40f5-bcba-f1108df0ba44,0
ce768cae-2d33-465a-bb79-99d8663adaec,0
60184fec-fd98-4de5-8b46-8355ea0fd71f,0
e0ed9c5f-7e55-4345-a567-53fba8bf7370,0
b6710d01-f022-405b-b74a-8b16bb5667cc,0
c4d7305f-a386-4d8e-9110-a292c0c21017,170
9ab1a1a3-73f9-453d-98a5-f9becc8f025f,60
07925b3a-08f2-4634-a606-9b2d9aece2b3,50
78aef331-4ea2-44fc-9b56-c03a8529cc33,50
920c26a8-4982-4b5b-b9d4-a0b4ac440ce2,0
41832c8c-9055-4ef2-b9dc-79fc37af84c9,0
ef070f2d-4a7a-4d5d-9038-e710f845795f,20
423e8b0b-5425-4fc4-9745-1d50770da762,10
e01f5868-87e6-45b1-9e67-273fbccc9e40,12
40b5778f-2936-4f02-a4a8-dea6356e1003,40
aea8f975-c00c-47e7-948e-7531178ebfcd,8
b4aef4cb-6825-4c0f-809a-1514ea1871ae,8
fc2b487a-f929-4a8f-beac-809b71dd2585,36
ffc28db5-8bdc-4071-9775-856fda6c2a1d,22
28322a95-cd01-4d2a-b468-4ac52fb10a2b,12
5de495c4-7cad-4fdf-b2b5-9f5d8ef2cd21,384
7073d240-feec-44a3-8b08-631df4401eda,12
0e9d99cc-b5a4-46cb-beca-bc5c1951d220,8
34cc5ea1-a736-4338-8091-cdcf084a6406,360
6a4b9a45-38a6-46d4-866d-1cc2a6020b78,25
bd1b1ce8-4de3-4558-9e0b-95d26d566185,15
fa505d4c-e2ec-46d1-8f67-f1b143976bb0,0
79fd26de-7e85-4697-a672-ddb1f52ff001,20
a58aab6d-6350-4548-b883-2e9eac2bbfcd,200
d51c1cfc-7e8d-4205-b4fd-3020e1d6e6f5,100
78e933cb-97d9-488c-85c2-582fb80271a4,132
3b4348f6-9520-4013-ab19-4d9d85536735,100
b49639cf-5528-4c2f-94d9-aa5620463f52,30
08c8c9d7-c24c-496e-ae72-d2191a58eeb4,60
4dd99981-ff18-4928-bce4-009da5e80077,50
1b697d66-4595-433c-a553-c4cd1235a655,35
a98f4145-8598-4f82-a033-bdfcd6fac0f8,0
6b1750d9-5a06-49ff-b03d-a4e44e511924,12
cd716ab9-abb8-491a-a8c6-370320be0922,0
4aecd5ef-7a38-4728-86b4-8b4cbacb67b2,50
25c35286-4bb0-462c-9041-45e685a7fa01,0
4a46fbfb-56bf-4138-81a7-c2a7ce44b8ba,30
9d463beb-9c7f-42e0-9a19-5fb888d1175d,12
e6434327-f4e3-4eaf-9ae9-235e48625ae7,36
f6cbcd66-6e4e-4898-aeaf-2d0df6a2d119,11
ce11fa67-7c81-4a22-93a5-b21374bae4d8,18
82a98d10-53c2-4c8a-b0c4-722b26cd5beb,6
d67ce16e-4b01-4540-9478-fa21e7eb1c9d,12
b2394628-f22a-4df2-bdea-2d03b7686e86,12
08166667-f6e7-4825-8cc9-23e8ced6e17e,50
7502f99b-bd74-4724-8d5d-a5483c043087,6
