Data,,,,,,,,DC,X,,,,,,,,,,,
SKU,Name,Asin,Supplier,Qtys,Barcode,Supply Code,CPU,Discontinued,Drop,ROI,Sales VElocity,Ordered,At Unit,Sent,Delviery Recognised,Processing,In Stock,Restock,Snze,Advice
6L-LO0H-2WGF,"Make It Real – Fashion Design Sketchbook: Blooming Creativity. Inspirational Fashion Design Coloring Book for Girls. includes Sketchbook, Stencils, Puffy Stickers, Foil Stickers, and Design Guide",B06XG8519L,ABGee,1,695929032029,198 3202,£3.33,FALSE,FALSE,0.00%,0,10,0,0,0,0,0,0,,No Data
7C-XI7G-FMUU,Funko POP! Vinyl: Disney: the Lion King: Mufasa - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors and Display,B07HB4VNVV,ABGee,1,889698363914,985 36391,£7.59,FALSE,FALSE,0.00%,0,15,0,0,0,0,0,0,,No Data
W7-F06R-CW3C,Giga Pets AR Virtual Animal Pet Toy (Unicorn),B088BD4ZRQ,ABGee,,4897073710693,,,FALSE,TRUE,0.00%,0,0,0,0,0,0,0,0,,No Data
D6-Y4EX-C9HL,Ravensburger Hey Duggee Mini Memory Game - Matching Picture Snap Pairs Game For Kids Age 3 Years and Up,B08C5LLPF2,ABGee,,,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
NB-UWOU-68PW,Funko Mystery Mini: Marvel Deadpool 30th - 1 Of 12 to Collect - Styles Vary - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Comic Books Fans and Display,B08FMRRD53,ABGee,,889698552103,,,TRUE,FALSE,11.00%,0.59,0,0,0,0,0,0,0,,Restock
QG-6O1N-7HTR,Pokemon Piplup 8 inch Plush,B08H8B19KW,ABGee,1,889933978712,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
E7-LAKI-9FEO,"Ravensburger Disney Princess - 4 in Box (12, 16, 20, 24 Piece) Jigsaw Puzzles for Kids Age 3 Years Up",B08PM2N9H6,ABGee,1,,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
FQ-DRSZ-XVJI,"Purse Pets, Glamicorn Unicorn Interactive Purse Pet with Over 25 Sounds and Reactions, Kids Toys for Girls Ages 5 and up",B08SR72PMM,ABGee,1,778988375402,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
WY-Z6LP-JOMV,Ravensburger Super Mario - 100 Piece Jigsaw Puzzles for Kids Age 6 Years Up - Extra Large Pieces,B08T9KT6WR,ABGee,1,,542 12001074,,FALSE,TRUE,0.00%,0,0,0,0,0,0,0,0,,No Data
IX-E0R5-6P6G,Ravensburger Super Mario Toys - 3x 49 Piece Jigsaw Puzzles for Kids Age 5 Years Up,B08WKT6B6G,ABGee,1,4005556051861,,,FALSE,TRUE,0.00%,0,0,0,0,0,0,0,0,,No Data
J7-QL4P-4SOM,Thinkfun Cold Case Files - A Pinch of Murder - Murder Mystery Game for Adults and Kids Age 14 Years Up,B0937P8DBF,ABGee,1,4005556764457,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
UF-8XYI-JUTX,Thinkfun Cold Case Files - A Pinch of Murder - Murder Mystery Game for Adults and Kids Age 14 Years Up,B0937P8DBF,ABGee,1,4005556764457,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
LG-AZOP-KOUU,Thinkfun Cold Case Files - A Pinch of Murder - Murder Mystery Game for Adults and Kids Age 14 Years Up,B0937P8DBF,ABGee,1,4005556764457,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
0K-6BX5-D5AH,"SUPERTHINGS Balloon Boxer – Large vehicle plus two attachable vehicles, 3 SuperThings and 1 exclusive Kazoom Kid",B093WHTJL7,ABGee,1,8431618016626,856 PSTSP414IN0,£7.51,FALSE,FALSE,0.00%,0,10,0,0,0,0,0,0,,No Data
XH-OMMJ-C7MT,"Ravensburger Bluey 35 Piece Jigsaw Puzzle for Kids Age 3 Years Up - Educational Toddler Toys, 26,4 x 18,1 x 0,2 cm",B096BPSDRZ,ABGee,1,4005556052240,542 5224,£2.45,FALSE,TRUE,61.00%,0.17,0,0,0,0,0,0,0,2025-07-06,Restock
Z3-HICR-CPBW,Funko Action Figure: Five Nights At Freddy's (FNAF) - Toxic Springtrap - Glow In the Dark - Collectable Toy - Gift Idea - Official Merchandise,B09DL7M3NJ,ABGee,1,889698596862,985 59686,£7.76,TRUE,FALSE,19.00%,2.48,0,0,0,0,0,0,0,,Restock
OO-KLJU-ZBO9,Funko POP! Vinyl: Formula One - Valtteri Bottas - Mercedes-Benz - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Sports Fans - Model Figure for Collectors,B09LHXLGKD,ABGee,,889698622219,985 62221,£7.59,TRUE,FALSE,18.00%,0.87,0,0,0,0,0,0,0,,Restock
UL-6G4Z-72JE,Make It Real Love and Daisy Inspired Fashion Design Sketchbook with Stencils and Stickers for Creativity - Kids Arts and Crafts Colouring Book - Girls Gifts,B09NCKDG86,ABGee,1,695929032098,198 3209,£3.33,FALSE,TRUE,0.00%,0,0,0,0,0,0,0,0,,No Data
2K-6X85-CXUL,Ravensburger Happy Days Royal Residences 4X 500 Piece Jigsaw Puzzle for Adults & Kids Age 10 Years Up,B09P1WWG17,ABGee,1,4005556171408,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
MF-MNIN-FGXW,Squishville Squad 4 pack - Puppy Love Squad,B09S12NTWM,ABGee,1,,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
FQ-MTRD-YPII,"Learning Resources LER9125 Carlos The Pop & Count Cactus, Top Toddler, Preschool, Fine Motor Skills, Educational Toys, 16 Pieces, Age 18 Months, Multi-Color",B09SQH37Y1,ABGee,1,765023091250,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
8N-T5OY-DSW9,Funko POP! Animation: Demon Slayer - Mitsuri Kanroji - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Anime Fans - Model Figure for Collectors and Display,B09V85SK3J,ABGee,1,889698573443,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
JE-NHAA-HEYR,Ravensburger Disney Encanto Jigsaw Puzzle for Kids Age 5 Years Up - The Magic Awaits - 3x 49 Pieces,B09YRX2HGZ,ABGee,,,,,FALSE,TRUE,0.00%,0,0,0,0,0,0,0,0,,No Data
6V-0L0T-OF72,Top Secret Toys Giga Pets Animal Toy (1108),B0B1P26Q8H,ABGee,1,,930 1108,£10.00,FALSE,TRUE,20.00%,0.04,0,0,0,0,0,0,0,,Restock
IQ-PR7Z-1RKG,Pokémon SCYTHER BATTLE FEATURE FIGURE - 4.5-Inch Scyther Battle Figure with Chop Attack Arms,B0B77CDN6J,ABGee,1,191726382164,888 PKW0167,£7.00,FALSE,FALSE,0.00%,0,8,0,0,0,0,0,0,,No Data
