SKU,Finished?,Done
AY-LA00-LUJD,Delete,TRUE
K5-QUBI-YTWD,Delete,FALSE
3L-LSBT-PRST,Delete,TRUE
PF-9T40-Q7YW,Delete,TRUE
PQ-SCCQ-7RCR,Delete,TRUE
YM-HLZL-A3XS,Delete,TRUE
HN-13OB-TAYD,Delete,TRUE
RF-3X39-FYXB,Delete,TRUE
CQ-GZA7-CZBW,Delete,TRUE
WN-BBR4-67NP,Delete,TRUE
7H-7G2P-ONWJ,,FALSE
6H-ZZN4-I77B,Delete,TRUE
V7-HT4G-K9QH,Delete,TRUE
C1-4N7O-1LWT,Delete,TRUE
AX-NKNU-29C1,,FALSE
2U-EUMC-7E5P,Delete,TRUE
9R-YGAK-KTA0,Delete,TRUE
A2-T2AC-TW3L,,FALSE
6L-SDA9-P13J,,FALSE
KG-GAQU-OLI0,Delete,TRUE
K2-VE7K-V9TU,Delete,FALSE
B7-9S5E-KOHG,Delete,TRUE
LH-LOUH-H54B,Delete,TRUE
ET-D23X-A5I2,Delete,TRUE
AF-KIHX-ANYY,,FALSE
BB-JN90-IUUP,Delete,TRUE
BM-1O5E-RW8I,Delete,FALSE
BU-H22U-ACK3,Delete,TRUE
3L-1I88-19GF,Delete,TRUE
CJ-DLBW-HKFS,Delete,TRUE
D1-LSS7-93U8,,FALSE
DT-SPI3-IK34,Delete,FALSE
0N-JV0B-5UNV,Delete,TRUE
EE-KTDC-KCFY,Delete,FALSE
8G-JH1T-98X4,Delete,TRUE
8T-HE78-3AQ3,Delete,FALSE
5Z-6Z0P-9TQQ,Delete,TRUE
7Y-B7S7-O5OZ,Delete,TRUE
3K-PWXF-IHKI,Delete,TRUE
PT-CVT8-NV21,Delete,TRUE
10-JQEP-V8I7,Delete,TRUE
YD-0TJL-WINU,Delete,TRUE
VY-FXRV-DEAT,Delete,TRUE
SA-T4GN-HUNR,Delete,TRUE
Z4-04O5-E86C,Delete,TRUE
FY-TQNI-4ZV5,Delete,TRUE
4V-OE5G-EJKM,Delete,TRUE
EV-CHU5-XU3G,,FALSE
FA-LRV6-YRFW,,FALSE
7U-508Y-MZAQ,Delete,TRUE
55-5RSU-1KG1,Delete,TRUE
FN-ZANK-PHQO,Delete,TRUE
WR-3V7D-BB7Z,Delete,FALSE
A1-KSU1-GZMS,,FALSE
OI-0483-CBVX,Delete,FALSE
FW-WGL2-H61I,Delete,TRUE
I5-DDJZ-N4EF,Delete,FALSE
HT-LVU9-4F5R,Delete,TRUE
94-7TOA-9ZBH,Delete,FALSE
XL-BFPF-CBW4,Delete,FALSE
YB-8YQ7-X1X8,Delete,TRUE
TX-7TYN-NVF4,Delete,TRUE
WI-QO7X-YZOL,Delete,TRUE
G0-25T9-9YZS,Delete,TRUE
2I-R2RY-BZ85,Delete,TRUE
RR-0TGC-U4IT,Delete,TRUE
1P-BRGG-P0N6,Delete,TRUE
OP-0TPO-SB3I,Delete,FALSE
HY-VZF3-EFS3,Delete,TRUE
4C-6VFW-JO2C,Delete,TRUE
3V-HQSI-8QRU,Delete,TRUE
KE-WQ91-B6JF,Delete,TRUE
JX-Q0XX-QBZ2,Delete,TRUE
SH-RGTH-QQM2,Delete,TRUE
FR-41MF-KWKU,Delete,TRUE
MF-FBAW-SRXY,Delete,TRUE
ZI-1MA2-8QGC,,FALSE
IO-9ZD2-3HDO,Delete,FALSE
J2-N9NA-57NA,Delete,FALSE
JY-781R-EYHZ,,FALSE
0X-VJWI-4OT8,Delete,FALSE
KR-H2ZK-DRS7,Delete,TRUE
M4-MV10-9TX7,Delete,TRUE
M5-71MK-T0DL,Delete,TRUE
M5-EOFN-2WPJ,Delete,TRUE
MF-TPXM-F8AF,Delete,FALSE
MN-LXY0-1MMT,Delete,FALSE
NO-N6RP-Y30Q,Delete,FALSE
8K-FX05-CCPX,Delete,TRUE
DK-9CZR-7SUV,Delete,TRUE
4Y-2V2S-KSTO,Delete,TRUE
CX-SMCH-4DYA,,FALSE
VF-WENE-0QSF,Delete,TRUE
10-KNVB-4BRI,Delete,FALSE
CC-9HJK-1XR3,Delete,TRUE
IX-BHAG-7688,Delete,TRUE
8Y-8UTW-YHVV,Delete,TRUE
IS-RZRJ-JMUQ,Delete,TRUE
4D-KUD8-5IQP,Delete,TRUE
6L-R2ZY-X2E0,Delete,TRUE
H4-EFUP-2ASL,Delete,TRUE
QZ-5ZK7-W02G,Delete,TRUE
9H-K7TV-V6NU,Delete,TRUE
OZ-3NKR-VLYG,Delete,FALSE
PI-JTWZ-8YNT,Delete,TRUE
UC-D1G4-MTYN,Delete,TRUE
RJ-OVDC-R9JF,Delete,TRUE
HO-7XV5-UD4D,Delete,TRUE
P4-XF7W-GMJA,Delete,TRUE
RY-2DTP-16YZ,Delete,FALSE
ZJ-9IR6-7M3A,Delete,FALSE
JH-97NP-GJDG,Delete,FALSE
02-7AZG-O0CV,Delete,FALSE
D8-QDS3-LH4T,Delete,TRUE
XN-OHVO-FXL6,Delete,TRUE
VU-YLRN-9V7D,Delete,FALSE
U1-M5BM-8F5W,,FALSE
MW-9K5M-VKW8,,FALSE
SU-JM8R-2U82,,FALSE
GW-1ECO-QZA7,,FALSE
MY-KL21-NMV5,,FALSE
QD-UWUI-6381,Delete,FALSE
QB-I6MR-7F61,Delete,TRUE
TH-JWYZ-LM0D,Delete,TRUE
OV-LVEL-DQL6,Delete,FALSE
GD-B8SW-1PCP,Delete,FALSE
J5-IJ6Y-64VG,Delete,TRUE
9Q-XGAX-ZGBT,Delete,TRUE
P5-KMQZ-JK8Y,Delete,TRUE
P7-91M2-092T,Delete,TRUE
BC-6AFY-0M24,Delete,TRUE
QD-2EAL-Z4J5,Delete,TRUE
R8-VELO-CPUA,Delete,TRUE
QM-QAGK-D2UQ,Delete,TRUE
RB-82FL-T88J,,FALSE
WO-75W6-980Q,Delete,TRUE
YF-KP66-IJY6,Delete,TRUE
1A-S381-J09C,Delete,TRUE
GQ-JASA-966U,Delete,TRUE
3Q-JJ0H-Y8K7,Delete,TRUE
1C-WYGV-IW8O,Delete,TRUE
2C-S7N4-TU7U,Delete,TRUE
EI-2WXL-O395,Delete,TRUE
KP-AMHW-L7J3,Delete,TRUE
B0-FSK3-1L88,Delete,TRUE
WR-IXBZ-8DOL,Delete,TRUE
BT-7DBY-VHSC,Delete,TRUE
AB-B7ZS-3CGI,Delete,TRUE
VE-1BJX-JY53,Delete,TRUE
AQ-4A75-UZQ4,Delete,TRUE
4A-DZKT-5L3H,Delete,TRUE
56-K5VJ-WKGX,Delete,TRUE
RR-A7OX-MCB4,Delete,TRUE
E8-4EWH-VI2G,Delete,TRUE
UE-IIJJ-P6EL,Delete,TRUE
DW-459L-AFIY,Delete,TRUE
0G-0234-E9NG,Delete,TRUE
3X-9BNK-4A9V,Delete,TRUE
ML-L9EE-YFAW,Delete,TRUE
RZ-QO7D-HPGQ,Delete,FALSE
SU-5LQH-2DVN,,FALSE
8G-5YVC-GJ6P,Delete,FALSE
9I-A0BY-EW0X,Delete,TRUE
PE-G94Y-4PYO,,FALSE
S8-7VIK-3VEL,Delete,FALSE
WX-L5UA-UB1Q,,FALSE
JB-RGB6-LZOJ,,FALSE
YV-2E21-62SB,Delete,TRUE
RX-E62R-OEMW,Delete,TRUE
7L-OT45-7LYB,,FALSE
SE-GMXY-FA0M,Delete,TRUE
MY-85FY-TSON,Delete,FALSE
JV-D1TI-6UF6,Delete,FALSE
TK-E7QE-T40G,,FALSE
EQ-EZL7-FAU3,Delete,TRUE
S8-3SXM-Y0JF,Delete,TRUE
R4-IXFX-2AQQ,Delete,TRUE
GK-YI4S-C158,,FALSE
U8-RDSV-JZ7U,Delete,TRUE
IB-PMXX-S0AE,Delete,FALSE
3M-SOO9-5R17,Delete,TRUE
K7-L390-M667,Delete,TRUE
UR-W905-8D8D,Delete,FALSE
50-U3CD-LWFE,Delete,TRUE
8M-LM6B-F2Q5,,FALSE
EA-FZ2V-D7II,Delete,FALSE
4V-19KJ-15J4,Delete,FALSE
T8-R745-DYOV,Delete,TRUE
F7-3B20-C9TW,Delete,TRUE
9G-57PS-EN16,Delete,TRUE
08-3ABG-PL11,Delete,TRUE
UG-OV2U-0MBJ,Delete,TRUE
D3-R4XE-XV0R,Delete,TRUE
X6-7E52-0VB3,Delete,TRUE
SY-KXX7-PDAL,Delete,TRUE
LW-0BSW-ZD88,Delete,TRUE
TE-PYY9-E5X8,Delete,TRUE
TK-2H97-E7UH,Delete,TRUE
US-AK96-YFSB,,FALSE
PH-M7S4-05R5,,FALSE
IB-U5FA-BO2Y,Delete,FALSE
DV-USYD-8WR2,,FALSE
ZU-VG38-OF3L,Delete,TRUE
1D-E3I8-TUK8,Delete,TRUE
V0-8QPG-0A04,Delete,TRUE
V5-VWRV-4S7K,Delete,TRUE
8N-DRTH-Z7K0,Delete,TRUE
JA-LKQX-7YEN,Delete,TRUE
VF-3T0K-DR5O,,FALSE
FY-HXC0-DSPO,Delete,TRUE
96-FPCV-82R1,Delete,TRUE
YB-QDA8-VS05,Delete,TRUE
L3-ZQ8U-A7LQ,,FALSE
YG-H850-FPEW,,FALSE
X4-FG91-H4MR,Delete,TRUE
XH-0LAE-FQO5,,FALSE
Y5-REMJ-CY7A,Delete,FALSE
YI-3CHP-LJOZ,Delete,TRUE
YP-C2ZB-ES8H,Delete,TRUE
Z3-ORV9-K8XD,Delete,FALSE
Z7-26PV-O9LR,,FALSE
Z7-VYUL-255V,Delete,FALSE
ZA-4RO9-GD8M,Delete,TRUE
ZB-SIAQ-2V7L,Delete,TRUE
1S-ZFUI-RE1A,Delete,TRUE
HL-B4VJ-L8FP,Delete,FALSE
0W-VJRK-9VCG,Delete,TRUE
QW-9XV0-Q3EH,,FALSE
E8-MXNZ-4UKU,Delete,TRUE
EL-1QQR-J77R,Delete,TRUE
SR-JF1N-II8S,Delete,FALSE
MR-727N-ZG8K,Delete,FALSE
AQ-QMA9-SLHK,Delete,TRUE
DC-K5WH-R7F5,,FALSE
C5-V0VF-ZQAV,Delete,TRUE
03-7TNF-U2A1,Delete,TRUE
VZ-MTBC-3AJ6,Delete,TRUE
N4-5C3G-RJS1,Delete,FALSE
D9-42IB-HEVC,Delete,FALSE
LX-K206-ENZX,Delete,TRUE
X1-68KO-184Y,Delete,FALSE
5M-QO6K-LNH0,Delete,FALSE
8L-INBX-OUTU,,FALSE
6Z-8POQ-K5XH,Delete,FALSE
D2-8SPY-Q095,Delete,FALSE
NX-YY01-TLFO,Delete,FALSE
3A-T942-KVZH,Delete,TRUE
7C-7V6B-QQZL,Delete,FALSE
G9-GAEI-FQI3,Delete,FALSE
RW-AZK6-O4M2,Delete,FALSE
HS-R5IP-7E1C,,FALSE
TA-HQMF-9SUB,Delete,FALSE
3C-5W5L-CT0T,Delete,FALSE
Y0-Q6YF-SIEG,Delete,TRUE
YO-EKK2-FRCC,,FALSE
LR-Q5V9-S4GK,Delete,FALSE
D3-QTSY-BCV5,Delete,FALSE
RS-NSGK-AN7M,Delete,FALSE
FY-L1AO-4YOT,Delete,FALSE
ZP-F5C8-7ZCG,Delete,TRUE
KJ-T17P-5CVS,Delete,TRUE
UR-Q7TM-1F3I,,FALSE
CA-JM6T-ZXP6,Delete,FALSE
H6-E7MP-EBPD,,FALSE
IZ-8NZ9-VXR2,,FALSE
Approval-1,Delete,FALSE
L7-ZGYU-IWOW,Delete,TRUE
XN-OF53-7WRU,Delete,FALSE
3E-62Y1-WPYU,,FALSE
YJ-WD59-WWA2,Delete,FALSE
XX-ISP6-LTOY,Delete,FALSE
QP-BCUW-E90M,,FALSE
2G-AYBQ-TUQG,,FALSE
8R-0UT9-SEOY,Delete,TRUE
8U-QPFH-3EKQ,,FALSE
7C-MBEY-QA37,Delete,FALSE
WJ-YHKC-EES5,,FALSE
5H-EJ59-AZPA,Delete,FALSE
DD-94AN-QL9L,Delete,FALSE
XJ-2FN3-M9FH,Delete,FALSE
0N-X5KF-213D,Delete,FALSE
GY-FO04-RDYL,Delete,FALSE
HL-03ZR-QPHH,,FALSE
NN-TSZ1-X2RD,,FALSE
XE-YPAI-HX9F,,FALSE
QS-V8XL-25CO,Delete,TRUE
SE-IQQJ-EOU3,Delete,FALSE
L3-OHWF-OL4P,Delete,FALSE
VA-7T3X-R64D,Delete,FALSE
D8-VDSF-LENN,Delete,FALSE
Y3-RYVT-A6Y8,Delete,TRUE
UR-UAT8-4JSI,Delete,FALSE
9X-HL62-83C7,,FALSE
X7-MY4W-H2I4,,FALSE
VL-48KZ-J3F2,,FALSE
XY-UM2X-TPS3,Delete,FALSE
A7-868U-HTPI,Delete,FALSE
T8-6UWL-I3E1,Delete,FALSE
ZU-RET1-5CSU,Delete,TRUE
62-2H0B-RRR3,Delete,TRUE
QV-VH06-EAV3,Delete,FALSE
R9-20LM-YJL9,Delete,TRUE
XY-SHVR-W7PG,Delete,FALSE
B7-D9X9-FWYR,Delete,TRUE
5R-LL8J-AP4S,Delete,TRUE
3C-HIAR-JEF0,Delete,TRUE
CX-1R85-163Z,Delete,FALSE
4D-BI2L-5PZ8,,FALSE
MW-1ILH-TLS4,Delete,FALSE
86-1VHQ-ABNK,Delete,FALSE
CLFAPPLY1,Delete,TRUE
VI-ICHI-WPB5,Delete,FALSE
RZ-6ZL9-CZ7J,,FALSE
---,Delete,TRUE
---,Delete,TRUE
TJ-6LOP-OPEU,,FALSE
C7-D8C6-UWDV,Delete,FALSE
RI-DHUT-XR75,,FALSE
PN-0NVI-R2WQ,Delete,FALSE
12-3VTE-5T3Z,Delete,FALSE
LV-425G-BY4X,,FALSE
1U-YF3T-TR74,,FALSE
79-CPJ6-DSG6,,FALSE
4J-IY7T-6LBS,,FALSE
QT-C0ZN-T4R7,Delete,FALSE
Y2-A0XO-9DCH,,FALSE
FBA15K3QTGNT_unexpected_item_01,Delete,FALSE
VA-V4J8-WHCT,Delete,FALSE
KI-CR51-18J3,Delete,FALSE
LR-7GM6-1RCH,Delete,FALSE
Q1-00D7-5IQF,,FALSE
MY-XMO2-EXY1,,FALSE
JL-VTP2-JF3Q,Delete,FALSE
4W-VS57-BV6A,Delete,FALSE
TA-7DAZ-18PU,Delete,FALSE
86-0EBH-JQX6,Delete,FALSE
ZT-QPY3-P24I,,FALSE
JP-9X4T-0CCC,Delete,TRUE
PK-9T59-FNWW,Delete,FALSE
3X-EXDD-TD2K,,FALSE
9Q-K2SI-Q5LI,Delete,FALSE
8R-E0Y9-0LAU,,FALSE
ZB-PV7O-TKUD,Delete,FALSE
DO-QDI1-K7R9,Delete,FALSE
2Z-WVXG-I7W1,Delete,TRUE
E1-W7LJ-CUKO,Delete,TRUE
U4-Z3VT-1WNS,Delete,TRUE
M7-TSI2-5W7I,,FALSE
7M-48OU-23X3,,FALSE
TE-Y18U-S2O1,,FALSE
JX-6USZ-SK7E,,FALSE
4B-HMJG-PHW4,Delete,FALSE
NX-0OE3-AD7U,Delete,FALSE
XE-27ZG-EZPZ,Delete,FALSE
AK-OB6V-HIYD,,FALSE
6S-TT0C-48SV,Delete,FALSE
N2-I82D-3I3Q,Delete,FALSE
