order_id,sku,refund_date,requested_qty,applied_qty,status,note,refund_event_id,event_ts
206-6134995-6129161,A2-T2AC-TW3L,2026-03-29T20:59:17Z,1,1,ok,,5911475259469068377,2026-04-28T05:04:06Z
202-7461177-1832368,8R-E0Y9-0LAU,2026-03-30T20:48:00Z,1,1,ok,,18251942134324566153,2026-04-28T05:04:06Z
205-0013868-4309141,6V-EEC1-2S9Z,2026-04-01T02:27:05Z,1,1,ok,,11354113917104800680,2026-04-28T05:04:06Z
202-7810125-6393146,AF-KIHX-ANYY,2026-04-03T19:09:50Z,1,1,ok,,7789112171914162040,2026-04-28T05:04:06Z
205-1265011-3133110,6V-EEC1-2S9Z,2026-04-05T20:33:02Z,1,1,ok,,1190797946546042783,2026-04-28T05:04:06Z
203-1733752-0216354,VU-8KRA-QP5M,2026-04-05T21:30:03Z,1,1,ok,,10226625267341322219,2026-04-28T05:04:06Z
202-6948082-6362769,6V-EEC1-2S9Z,2026-04-11T22:45:02Z,1,1,ok,controlled_b008_local_reproof,15918454351602451354,2026-04-28T05:04:06Z
026-5735808-2309908,SZ-UL4K-SE7W,2026-04-13T23:45:17Z,1,1,ok,,5246237694346427155,2026-04-28T05:04:06Z
206-8930009-8415538,SZ-UL4K-SE7W,2026-04-16T18:18:16Z,1,1,ok,,3222122892605545484,2026-04-28T05:04:06Z
202-8259826-5644332,6Q-9G2A-IKVV,2026-04-16T19:13:38Z,2,2,ok,controlled_b008_local_reproof,11919735333675207797,2026-04-28T05:04:06Z
205-7326458-1284367,L3-ZQ8U-A7LQ,2026-04-16T21:59:34Z,1,1,ok,controlled_b008_local_reproof,330714925693558336,2026-04-28T05:04:06Z
205-8343874-8984315,LV-425G-BY4X,2026-04-16T22:09:18Z,1,1,ok,,17352113416912714358,2026-04-28T05:04:06Z
202-3993535-0396311,JB-RGB6-LZOJ,2026-04-20T22:16:04Z,1,1,ok,,3965968902496119802,2026-04-28T05:04:06Z
204-3585690-7423558,VF-3T0K-DR5O,2026-04-25T19:40:47Z,1,1,ok,,14004154440331211508,2026-04-28T05:04:06Z
204-7309955-4006719,VF-3T0K-DR5O,2026-04-25T21:38:49Z,1,1,ok,,18109186596595951066,2026-04-28T05:04:06Z
204-2179861-7126756,VF-3T0K-DR5O,2026-04-25T22:34:38Z,1,1,ok,controlled_b008_local_reproof,2241249602327210836,2026-04-28T05:04:06Z
