asin,status,item_name,brand_name,product_type,main_image,upc,ean,gtin,parent_asin,color,size,manufacturer,part_number,model_number,package_weight_value,package_weight_unit,package_length,package_width,package_height,package_dimension_unit,item_length,item_width,item_height,item_dimension_unit,bullet_points,keywords,error
B07H2WXMDJ,200,"Skinny Food Co Sugar Free Maple Syrup 425ml - Zero Calorie Syrup For Breakfast, Snacks, Drinks & Desserts - Vegan, Gluten-free, Keto & Paleo Friendly Maple Syrup - Sugar Free Maple Syrup UK",,SYRUP,https://m.media-amazon.com/images/I/81Px1xJFiwL.jpg,680243951729,0680243951729,,,Colored,425 ml (Pack of 1),The Skinny Food Co,,,,,,,,,,,,,,,
B09NQD4S5N,200,"The Army Painter Speedpaint Zealot Yellow 2.0, Single Acrylic Paint 18ml One-coat Painting Soloution For Fantasy Tabletop Miniatures Like Warhammer 40k and Dungeons And Dragons Figures",,PAINT,https://m.media-amazon.com/images/I/61H9ZassLIL.jpg,,5713799201385,05713799201385,,Yellow,1 ml (1er Pack),The Army Painter,,,,,,,,,,,,,,,
B002KFZKZ8,200,"Zyliss E46145 Strongboy 2 Jar Opener, Plastic/Metal, White, Adjustable Grip to Open Opens Jar/Bottle Lids/Caps",,CAN_OPENER,https://m.media-amazon.com/images/I/31F7JfiGRlL.jpg,,5011268893742,05011268911323,,White,29.5cm/11.5in,DkbHouseholdUkLtd,,,,,,,,,,,,,,,
B0DN6KL887,200,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag (Cosy Camping Blue),,TOTE_BAG,https://m.media-amazon.com/images/I/61238UQYV9L.jpg,,5061017932987,,,Cosy Camping Blue,One Size,ECO CHIC,,,,,,,,,,,,,,,
B06XGSJS7N,200,"Ultimate Guard UGD010696 Boulder Deck Case, 100 Plus, standard size, malachite",,STORAGE_BOX,https://m.media-amazon.com/images/I/51qKt3O0w9L.jpg,,4056133006194,04056133006194,,Malachite,100+,Ultimate Guard,,,,,,,,,,,,,,,
B00WI8O0RG,200,100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm,,CARD_DOCUMENT_SLEEVE,https://m.media-amazon.com/images/I/41xo7bwm0xL.jpg,074427845155,0074427845155,00074427845155,,Black / Black,100ct,Ultra Pro,,,,,,,,,,,,,,,
B000Q351JG,200,Jojoba Blending Oil,,BODY_LUBRICANT,https://m.media-amazon.com/images/I/61mD8nKHQ0L.jpg,,5017402006801,05017402006801,,Jojoba,100 ml (Pack of 1),First Natural Brands Ltd,,,,,,,,,,,,,,,
B010E25DI2,200,100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm,,CARD_DOCUMENT_SLEEVE,https://m.media-amazon.com/images/I/51nvQiFduWL.jpg,074427845179,0074427845179,00074427845179,,Green,,Ultra Pro,,,,,,,,,,,,,,,
B0C9LJNJWZ,200,"LEXIBOOK, Barbie, Educational and Bilingual Laptop in English/French, Toy for children with 124 activities to learn, play games and music, Pink, JC598BBi1",,ELECTRONIC_LEARNING_TOY,https://m.media-amazon.com/images/I/81TJrqeG8JL.jpg,,3380743096117,,,Pink,M,Lexibook,,,,,,,,,,,,,,,
B00ANP09LM,200,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",,COOKING_POT,https://m.media-amazon.com/images/I/61PEfYuQXvL.jpg,,5060064096130,05060064096130,,Red,0.5 Litres,Pendeford,,,,,,,,,,,,,,,
B08MW8XMNQ,200,Piksters Eco Charcoal 30 Floss Picks - Pack of 1,,DENTAL_FLOSS,https://m.media-amazon.com/images/I/81rYMMDuXqL.jpg,,9336628005563,,,,30 count (Pack of 1),DHB,,,,,,,,,,,,,,,
B000PSB13C,200,Marshalltown The Premier Line GB692 12-Inch by 24-Inch Vinyl Grout Bag with Metal Tip,,SEALANT,https://m.media-amazon.com/images/I/21HbOZL5xjL.jpg,035965078184,0035965078184,00035965078184,,Multi,One Size,Marshalltown The Premier Line,,,,,,,,,,,,,,,
B06WW79DX5,200,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,,BONDING_ADHESIVES,https://m.media-amazon.com/images/I/81tysH80DZL.jpg,,5039164200648,,,Clear,20g,Everbuild,,,,,,,,,,,,,,,
B002BX8ZFG,200,"Fackelmann OPAL Pizza Wheel, Pizza Cutter & Slicer, Super Sharp Blade, Stainless Steel, 18.5x5x1.2cm, Silver",,WHEEL_CUTTER,https://m.media-amazon.com/images/I/414DudnlCbL.jpg,,4008033404372,04008033404372,,Silver,18.5x5 x1.2cm,Fackelmann,,,,,,,,,,,,,,,
