seller_sku,asin,cpt_gbp,cpt_status,cpt_last_refresh_utc,cpt_error_summary
4W-VS57-BV6A,B0C9LJNJWZ,35.00,OK,2026-02-14T14:21:27Z,
6V-EEC1-2S9Z,B06WW79DX5,21.41,OK,2026-02-14T14:21:59Z,
AX-NKNU-29C1,B08M52B4M5,1.15,OK,2026-02-14T14:22:31Z,
JB-RGB6-LZOJ,B0001P0DLU,6.15,OK,2026-02-14T14:23:03Z,
RZ-6ZL9-CZ7J,B075XT2J8X,7.47,OK,2026-02-14T14:23:35Z,
TJ-6LOP-OPEU,B08P63MSS9,6.49,OK,2026-02-14T14:24:07Z,
VF-3T0K-DR5O,B08KFFY86W,5.29,OK,2026-02-14T14:24:39Z,
XH-0LAE-FQO5,B00AOES9GE,,MISSING,2026-02-14T14:25:14Z,
XY-UM2X-TPS3,B003VTZAM0,10.85,OK,2026-02-14T14:25:46Z,
YC-3L3M-BV48,B0CTD6Q6KY,,MISSING,2026-02-14T14:26:18Z,
