seller_sku,inventory_available,inventory_available_effective,inventory_unsellable,inventory_researching,inventory_inbound_shipped,inventory_inbound_receiving,inventory_inbound_total,inventory_total,token_total,token_available,token_unsellable,token_research_pending,token_returned_pending,token_ordered,token_warehouse,token_allocated,sold_qty,refunded_qty,net_sold_qty,expected_token_total,token_total_effective,expected_token_total_effective,delta_available,delta_unsellable,delta_researching,delta_total,delta_total_effective,updated_at
MY-KL21-NMV5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,11,2,9,9,11,9,0,0,0,2,2,2026-01-30T13:09:49.217287+00:00
NN-TSZ1-X2RD,24,32,0,0,0,8,8,40,302,34,0,0,0,0,0,268,260,4,256,296,302,296,2,0,0,6,6,2026-01-30T13:09:49.217287+00:00
OZ-3NKR-VLYG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,-1,2026-01-30T13:09:49.217287+00:00
PY-XV78-3OG5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,7,1,6,6,7,6,0,0,0,1,1,2026-01-30T13:09:49.217287+00:00
R7-98IN-2PW8,45,45,1,3,0,0,0,45,92,45,0,3,0,0,0,44,44,11,33,78,92,82,0,-1,0,14,10,2026-01-30T13:09:49.217287+00:00
RB-82FL-T88J,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,14,14,1,13,13,14,14,0,-1,0,1,0,2026-01-30T13:09:49.217287+00:00
SR-6OBB-WC03,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,98,98,1,97,97,98,97,0,0,0,1,1,2026-01-30T13:09:49.217287+00:00
SU-5LQH-2DVN,16,16,0,0,0,0,0,16,76,16,0,0,0,0,0,60,60,1,59,75,76,75,0,0,0,1,1,2026-01-30T13:09:49.217287+00:00
SU-JM8R-2U82,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,1,4,4,5,4,0,0,0,1,1,2026-01-30T13:09:49.217287+00:00
TK-E7QE-T40G,17,17,2,0,0,0,0,17,22,17,0,0,0,0,0,5,5,0,5,22,22,24,0,-2,0,0,-2,2026-01-30T13:09:49.217287+00:00
TU-8I14-25ZR,9,9,0,2,0,0,0,9,115,9,0,2,0,0,0,104,104,2,102,111,115,113,0,0,0,4,2,2026-01-30T13:09:49.217287+00:00
U1-M5BM-8F5W,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,1,8,8,9,8,0,0,0,1,1,2026-01-30T13:09:49.217287+00:00
VF-3T0K-DR5O,487,489,0,0,0,0,0,489,800,489,0,0,0,0,0,311,311,3,308,797,800,797,0,0,0,3,3,2026-01-30T13:09:49.217287+00:00
W3-8FN7-FSP0,9,9,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,10,0,10,-9,0,0,-10,-10,2026-01-30T13:09:49.217287+00:00
WX-L5UA-UB1Q,166,175,0,0,0,0,0,175,813,174,0,0,0,0,0,639,639,12,627,802,813,802,-1,0,0,11,11,2026-01-30T13:09:49.217287+00:00
X7-MY4W-H2I4,1,1,0,0,0,0,0,1,13,0,0,0,0,0,0,12,12,0,12,13,12,13,-1,0,0,0,-1,2026-01-30T13:09:49.217287+00:00
XE-YPAI-HX9F,65,67,0,0,0,12,12,79,165,67,0,0,0,0,0,98,86,1,85,164,165,164,0,0,0,1,1,2026-01-30T13:09:49.217287+00:00
XH-0LAE-FQO5,22,23,0,0,0,0,0,23,324,0,0,0,0,0,0,301,301,4,297,320,301,320,-23,0,0,4,-19,2026-01-30T13:09:49.217287+00:00
XY-UM2X-TPS3,36,36,0,0,0,0,0,36,62,36,0,0,0,0,0,26,26,2,24,60,62,60,0,0,0,2,2,2026-01-30T13:09:49.217287+00:00
Z3-ORV9-K8XD,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,195,195,2,193,193,195,193,0,0,0,2,2,2026-01-30T13:09:49.217287+00:00
Z7-26PV-O9LR,49,51,0,2,0,11,11,62,213,50,0,2,0,0,0,161,150,2,148,210,213,212,-1,0,0,3,1,2026-01-30T13:09:49.217287+00:00
