Order ID,SKU,Date,l3_date,amazon_order_id,purchase_date,marketplace_id,order_status,order_date
203-6550625-2945929,AK-OB6V-HIYD,2025-11-01T19:42:33Z,2025-11-01 19:42:33+00:00,,,,,
205-0970894-7436306,2G-AYBQ-TUQG,2025-11-01T19:50:43Z,2025-11-01 19:50:43+00:00,,,,,
206-8874144-1822723,NN-TSZ1-X2RD,2025-11-01T20:13:21Z,2025-11-01 20:13:21+00:00,,,,,
026-4451415-9058768,0H-5V53-GPG4,2025-11-01T20:30:55Z,2025-11-01 20:30:55+00:00,,,,,
026-5635422-4547554,A2-T2AC-TW3L,2025-11-01T20:31:55Z,2025-11-01 20:31:55+00:00,,,,,
204-4794904-3454733,1U-1W76-M840,2025-11-01T20:38:31Z,2025-11-01 20:38:31+00:00,,,,,
202-5136732-1922754,49-4UKW-G81R,2025-11-01T20:42:01Z,2025-11-01 20:42:01+00:00,,,,,
205-8889961-2445147,6V-EEC1-2S9Z,2025-11-01T20:45:05Z,2025-11-01 20:45:05+00:00,,,,,
202-0230237-8662753,6V-EEC1-2S9Z,2025-11-01T20:48:27Z,2025-11-01 20:48:27+00:00,,,,,
204-1380354-6985117,A9-2Y9G-M2K7,2025-11-01T20:57:43Z,2025-11-01 20:57:43+00:00,,,,,
204-8852098-3448366,7L-OT45-7LYB,2025-11-01T20:58:13Z,2025-11-01 20:58:13+00:00,,,,,
203-1605155-0045921,7L-OT45-7LYB,2025-11-01T21:05:27Z,2025-11-01 21:05:27+00:00,,,,,
206-1114017-3323538,6V-EEC1-2S9Z,2025-11-01T21:12:04Z,2025-11-01 21:12:04+00:00,,,,,
206-7043512-7141930,6V-EEC1-2S9Z,2025-11-01T21:12:58Z,2025-11-01 21:12:58+00:00,,,,,
203-6736797-5829900,NN-TSZ1-X2RD,2025-11-01T21:24:20Z,2025-11-01 21:24:20+00:00,,,,,
203-5418151-4353919,NN-TSZ1-X2RD,2025-11-01T21:25:17Z,2025-11-01 21:25:17+00:00,,,,,
205-3158082-2277110,7L-OT45-7LYB,2025-11-01T21:27:15Z,2025-11-01 21:27:15+00:00,,,,,
026-2567139-7236368,6V-EEC1-2S9Z,2025-11-01T21:30:52Z,2025-11-01 21:30:52+00:00,,,,,
026-8201548-6925913,NN-TSZ1-X2RD,2025-11-01T21:32:28Z,2025-11-01 21:32:28+00:00,,,,,
204-6156174-3352330,6V-EEC1-2S9Z,2025-11-01T21:38:04Z,2025-11-01 21:38:04+00:00,,,,,
206-7483908-1932336,BB-ZT14-1QQA,2025-11-01T22:06:46Z,2025-11-01 22:06:46+00:00,,,,,
202-8792586-2632361,A9-2Y9G-M2K7,2025-11-01T22:09:56Z,2025-11-01 22:09:56+00:00,,,,,
203-9131005-2919569,XH-0LAE-FQO5,2025-11-01T22:11:56Z,2025-11-01 22:11:56+00:00,,,,,
203-5554036-1697145,0H-5V53-GPG4,2025-11-01T22:12:48Z,2025-11-01 22:12:48+00:00,,,,,
202-3300786-9745119,0H-5V53-GPG4,2025-11-01T22:18:14Z,2025-11-01 22:18:14+00:00,,,,,
205-5388930-1433161,6V-EEC1-2S9Z,2025-11-01T22:40:43Z,2025-11-01 22:40:43+00:00,,,,,
205-9088429-8728324,6V-EEC1-2S9Z,2025-11-01T22:44:28Z,2025-11-01 22:44:28+00:00,,,,,
206-7681598-0953162,A9-2Y9G-M2K7,2025-11-01T22:47:26Z,2025-11-01 22:47:26+00:00,,,,,
204-2557924-7233152,0H-5V53-GPG4,2025-11-01T22:47:33Z,2025-11-01 22:47:33+00:00,,,,,
206-1733049-1707532,NN-TSZ1-X2RD,2025-11-01T22:47:49Z,2025-11-01 22:47:49+00:00,,,,,
205-2054933-9257949,A2-T2AC-TW3L,2025-11-01T22:53:22Z,2025-11-01 22:53:22+00:00,,,,,
205-3872887-0325166,6V-EEC1-2S9Z,2025-11-01T22:56:38Z,2025-11-01 22:56:38+00:00,,,,,
203-1959409-1993929,7L-OT45-7LYB,2025-11-01T23:04:22Z,2025-11-01 23:04:22+00:00,,,,,
205-1498073-6320322,XJ-2FN3-M9FH,2025-11-01T23:09:11Z,2025-11-01 23:09:11+00:00,,,,,
204-8270828-8116315,0H-5V53-GPG4,2025-11-01T23:15:27Z,2025-11-01 23:15:27+00:00,,,,,
202-0559492-8019560,6V-EEC1-2S9Z,2025-11-01T23:16:55Z,2025-11-01 23:16:55+00:00,,,,,
026-9796125-9907531,6V-EEC1-2S9Z,2025-11-01T23:17:39Z,2025-11-01 23:17:39+00:00,,,,,
206-9362404-6100300,8M-NHB7-T8TR,2025-11-01T23:22:46Z,2025-11-01 23:22:46+00:00,,,,,
203-2548481-2281924,6V-EEC1-2S9Z,2025-11-01T23:38:13Z,2025-11-01 23:38:13+00:00,,,,,
205-0626891-9893130,FBA15K3QTGNT_unexpected_item_01,2025-11-01T23:46:17Z,2025-11-01 23:46:17+00:00,,,,,
