Order ID,SKU,manual_currency,fx_rate_to_gbp,manual_price_total,manual_price_vat,manual_price_exvat,manual_shipping_total,manual_shipping_vat,manual_shipping_exvat,manual_promotion_total,manual_promotion_vat,manual_promotion_exvat,manual_fba_fee_total,manual_fba_fee_vat,manual_fba_fee_exvat,manual_commission_total,manual_commission_vat,manual_commission_exvat,manual_digital_fee_total,manual_digital_fee_vat,manual_digital_fee_exvat,sys_price_total,sys_price_vat,sys_price_exvat,sys_shipping_total,sys_shipping_vat,sys_shipping_exvat,sys_promo_total,sys_promo_vat,sys_promo_exvat,sys_fba_total,sys_fba_vat,sys_fba_exvat,sys_comm_total,sys_comm_vat,sys_comm_exvat,sys_dsf_total,sys_dsf_vat,sys_dsf_exvat,delta_manual_price_total,delta_manual_price_vat,delta_manual_price_exvat,delta_manual_shipping_total,delta_manual_shipping_vat,delta_manual_shipping_exvat
202-3373455-3385164,SU-5LQH-2DVN,0.0,1.0,8.28,1.38,6.9,0.0,0.0,0.0,0.0,0.0,0.0,-3.02,-0.5,-2.52,-1.29,-0.21,-1.08,-0.08,-0.01,-0.07,8.28,1.38,6.9,0.0,0.0,0.0,0.0,0.0,0.0,-3.02,-0.5,-2.52,-1.29,-0.21,-1.08,-0.08,-0.01,-0.07,0.0,0.0,0.0,0.0,0.0,0.0
204-7473730-8647512,6V-EEC1-2S9Z,0.0,1.0,8.01,1.34,6.67,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.24,-0.2,-1.04,-0.06,-0.01,-0.05,8.01,1.34,6.67,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.24,-0.21,-1.03,-0.06,-0.01,-0.05,0.0,0.0,0.0,0.0,0.0,0.0
203-5895207-3495524,6V-EEC1-2S9Z,0.0,1.0,8.01,1.34,6.67,0.0,0.0,0.0,0.0,0.0,0.0,-1.95,-0.33,-1.62,-1.25,-0.21,-1.04,-0.07,-0.02,-0.05,8.01,1.34,6.67,0.0,0.0,0.0,0.0,0.0,0.0,-1.95,-0.33,-1.62,-1.25,-0.21,-1.04,-0.07,-0.01,-0.06,0.0,0.0,0.0,0.0,0.0,0.0
206-7207471-8289903,Z7-26PV-O9LR,0.0,1.0,8.99,1.5,7.49,0.0,0.0,0.0,0.0,0.0,0.0,-1.92,-0.32,-1.6,-0.86,-0.14,-0.72,-0.04,0.0,-0.04,8.99,1.5,7.49,0.0,0.0,0.0,0.0,0.0,0.0,-1.92,-0.32,-1.6,-0.86,-0.14,-0.72,-0.04,-0.01,-0.03,0.0,0.0,0.0,0.0,0.0,0.0
202-0316846-4033959,Z7-26PV-O9LR,0.0,1.0,8.99,1.5,7.49,0.0,0.0,0.0,0.0,0.0,0.0,-1.92,-0.32,-1.6,-0.87,-0.15,-0.72,-0.05,-0.01,-0.04,8.99,1.5,7.49,0.0,0.0,0.0,0.0,0.0,0.0,-1.92,-0.32,-1.6,-0.87,-0.15,-0.72,-0.05,-0.01,-0.04,0.0,0.0,0.0,0.0,0.0,0.0
202-7322617-9563537,TJ-6LOP-OPEU,0.0,1.0,7.08,1.18,5.9,0.0,0.0,0.0,0.0,0.0,0.0,-2.9,-0.48,-2.42,-0.68,-0.11,-0.57,-0.07,-0.01,-0.06,7.08,1.18,5.9,0.0,0.0,0.0,0.0,0.0,0.0,-2.9,-0.48,-2.42,-0.68,-0.11,-0.57,-0.07,-0.01,-0.06,0.0,0.0,0.0,0.0,0.0,0.0
026-0698469-9353960,6V-EEC1-2S9Z,0.0,1.0,8.01,1.34,6.67,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.25,-0.21,-1.04,-0.06,-0.01,-0.05,8.01,1.34,6.67,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.25,-0.21,-1.04,-0.06,-0.01,-0.05,0.0,0.0,0.0,0.0,0.0,0.0
026-9424504-4957967,3X-EXDD-TD2K,0.0,1.0,49.99,8.33,41.66,0.0,0.0,0.0,0.0,0.0,0.0,-2.59,-0.43,-2.16,-9.0,-1.5,-7.5,-0.23,-0.04,-0.19,49.99,8.33,41.66,0.0,0.0,0.0,0.0,0.0,0.0,-2.59,-0.43,-2.16,-9.0,-1.5,-7.5,-0.23,-0.04,-0.19,0.0,0.0,0.0,0.0,0.0,0.0
026-8563039-1840362,Z7-26PV-O9LR,0.0,1.0,8.99,1.5,7.49,0.0,0.0,0.0,0.0,0.0,0.0,-1.92,-0.32,-1.6,-0.87,-0.15,-0.72,-0.06,-0.02,-0.04,8.99,1.5,7.49,0.0,0.0,0.0,0.0,0.0,0.0,-1.92,-0.32,-1.6,-0.87,-0.15,-0.72,-0.06,-0.01,-0.05,0.0,0.0,0.0,0.0,0.0,0.0
204-8509333-1419566,WX-L5UA-UB1Q,0.0,1.0,5.87,0.98,4.89,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,-0.31,-1.52,-0.92,-0.16,-0.76,-0.07,-0.02,-0.05,5.87,0.98,4.89,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,-0.31,-1.52,-0.92,-0.15,-0.77,-0.07,-0.01,-0.06,0.0,0.0,0.0,0.0,0.0,0.0
205-7112528-8351519,WX-L5UA-UB1Q,0.0,1.0,5.87,0.98,4.89,0.0,0.0,0.0,0.0,0.0,0.0,-1.82,-0.3,-1.52,-0.92,-0.16,-0.76,-0.07,-0.02,-0.05,5.87,0.98,4.89,0.0,0.0,0.0,0.0,0.0,0.0,-1.82,-0.3,-1.52,-0.92,-0.15,-0.77,-0.07,-0.01,-0.06,0.0,0.0,0.0,0.0,0.0,0.0
205-7643303-3324362,6V-EEC1-2S9Z,0.0,1.0,8.03,1.34,6.69,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.24,-0.2,-1.04,-0.05,0.0,-0.05,8.03,1.34,6.69,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.24,-0.21,-1.03,-0.05,-0.01,-0.04,0.0,0.0,0.0,0.0,0.0,0.0
202-7815713-6541940,6V-EEC1-2S9Z,0.0,1.0,8.03,1.34,6.69,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.25,-0.21,-1.04,-0.07,-0.02,-0.05,8.03,1.34,6.69,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.25,-0.21,-1.04,-0.07,-0.01,-0.06,0.0,0.0,0.0,0.0,0.0,0.0
203-8381898-2659535,EV-CHU5-XU3G,0.0,1.0,6.73,1.12,5.61,0.0,0.0,0.0,0.0,0.0,0.0,-1.92,-0.32,-1.6,-1.05,-0.18,-0.87,-0.07,-0.02,-0.05,6.73,1.12,5.61,0.0,0.0,0.0,0.0,0.0,0.0,-1.92,-0.32,-1.6,-1.05,-0.17,-0.88,-0.07,-0.01,-0.06,0.0,0.0,0.0,0.0,0.0,0.0
204-6398425-2686723,WX-L5UA-UB1Q,0.0,1.0,5.87,0.98,4.89,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,-0.31,-1.52,-0.91,-0.15,-0.76,-0.06,-0.01,-0.05,5.87,0.98,4.89,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,-0.31,-1.52,-0.91,-0.15,-0.76,-0.06,-0.01,-0.05,0.0,0.0,0.0,0.0,0.0,0.0
026-2835431-4003514,DC-K5WH-R7F5,0.0,1.0,3.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.76,-0.3,-1.46,-0.3,-0.05,-0.25,-0.05,-0.01,-0.04,3.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.76,-0.29,-1.47,-0.3,-0.05,-0.25,-0.05,-0.01,-0.04,0.0,0.0,0.0,0.0,0.0,0.0
