amazon_order_id,seller_sku,asin,quantity_ordered,quantity_shipped,item_price_amount
202-2209473-4570710,TK-E7QE-T40G,B000FPU2SK,0,0,
202-2518511-1219539,XH-0LAE-FQO5,B00AOES9GE,0,0,
202-2605993-9194753,VF-3T0K-DR5O,B08KFFY86W,0,0,
202-2901376-8394700,EE-KTDC-KCFY,B08FSDMVNP,0,0,
202-2915903-8989920,6V-EEC1-2S9Z,B06WW79DX5,0,0,
202-3638795-8298704,D7-MGBX-RX2P,B001Q77TI2,0,0,
202-5083234-9271526,6V-EEC1-2S9Z,B06WW79DX5,0,0,
202-5727441-1921102,6V-EEC1-2S9Z,B06WW79DX5,0,0,
202-6247078-1931552,VU-8KRA-QP5M,B0BNLWBLMV,0,0,
202-6408339-5516335,6V-EEC1-2S9Z,B06WW79DX5,0,0,
202-6531725-3047515,SU-5LQH-2DVN,B07SLLYRSP,0,0,
202-7304187-7432303,IB-U5FA-BO2Y,B0D3JC45CK,0,0,
202-7493235-1184349,6V-EEC1-2S9Z,B06WW79DX5,0,0,
202-8807618-0658730,6V-EEC1-2S9Z,B06WW79DX5,0,0,
202-9114480-1089949,TU-8I14-25ZR,B0CN5KRVXB,0,0,
203-0020192-0846711,XH-0LAE-FQO5,B00AOES9GE,0,0,
203-0162186-6621145,6V-EEC1-2S9Z,B06WW79DX5,0,0,
203-1346615-6957968,EV-CHU5-XU3G,B07QQDMJ6M,0,0,
203-1443139-3957162,GK-YI4S-C158,B0009JJZ8A,0,0,
203-1468981-3079569,JV-D1TI-6UF6,B002HY4YSQ,0,0,
203-1858947-2269121,6V-EEC1-2S9Z,B06WW79DX5,0,0,
203-2193346-4327533,VF-3T0K-DR5O,B08KFFY86W,0,0,
203-2384847-4364350,6V-EEC1-2S9Z,B06WW79DX5,0,0,
203-2393069-0944315,6V-EEC1-2S9Z,B06WW79DX5,0,0,
203-2537495-1673121,JB-RGB6-LZOJ,B0001P0DLU,0,0,
203-2589859-2454759,VF-3T0K-DR5O,B08KFFY86W,0,0,
203-2682346-7943537,VF-3T0K-DR5O,B08KFFY86W,0,0,
203-4201531-9848365,XY-UM2X-TPS3,B003VTZAM0,0,0,
203-4989005-4907565,6V-EEC1-2S9Z,B06WW79DX5,0,0,
203-5143127-7918702,YC-3L3M-BV48,B0CTD6Q6KY,0,0,
203-5403367-3706742,VF-3T0K-DR5O,B08KFFY86W,0,0,
203-5431974-9827502,VF-3T0K-DR5O,B08KFFY86W,0,0,
203-5736875-9574718,TU-8I14-25ZR,B0CN5KRVXB,0,0,
203-5906364-7807512,6V-EEC1-2S9Z,B06WW79DX5,0,0,
203-7352744-9909145,F7-PMJ2-SG6A,B07RZBBG14,0,0,
203-7410913-8175509,WX-L5UA-UB1Q,B007R2ICTK,0,0,
203-7643425-4914744,F7-PMJ2-SG6A,B07RZBBG14,0,0,
203-8023810-3805906,7L-OT45-7LYB,B01NBDFDBC,0,0,
203-8507716-6189932,TU-8I14-25ZR,B0CN5KRVXB,0,0,
203-9002798-9849911,D7-MGBX-RX2P,B001Q77TI2,0,0,
203-9822550-8273932,ZV-RLOD-Q0JI,B0BS1WDHP7,0,0,
204-0520922-9581160,TU-8I14-25ZR,B0CN5KRVXB,0,0,
204-0718203-8947547,WX-L5UA-UB1Q,B007R2ICTK,0,0,
204-2063125-8212334,VF-3T0K-DR5O,B08KFFY86W,0,0,
204-2173258-9609117,AX-NKNU-29C1,B08M52B4M5,0,0,
204-2238681-9052342,6V-EEC1-2S9Z,B06WW79DX5,0,0,
204-3164602-8852359,VU-8KRA-QP5M,B0BNLWBLMV,0,0,
204-3736196-8336339,BQ-O3OI-FTJU,B01CKK8CU2,0,0,
204-4578654-8611553,EV-CHU5-XU3G,B07QQDMJ6M,0,0,
204-5035457-5217169,NN-TSZ1-X2RD,B093FQYQJH,0,0,
204-5039657-3047505,XH-0LAE-FQO5,B00AOES9GE,0,0,
204-5153873-1278708,A2-T2AC-TW3L,B006PFN3BW,0,0,
204-5296132-7901940,SQ-7QYT-5D5B,B0915M1DLF,0,0,
204-5500391-4642744,BL-WX51-KQOK,B0897VHKW6,0,0,
204-6365301-6892337,VF-3T0K-DR5O,B08KFFY86W,0,0,
204-6705130-1441930,TU-8I14-25ZR,B0CN5KRVXB,0,0,
204-7301402-6930707,DC-K5WH-R7F5,B0073FT7FY,0,0,
204-7413223-9099544,Z3-ORV9-K8XD,B000FGECAI,0,0,
204-7648734-3501931,WX-L5UA-UB1Q,B007R2ICTK,0,0,
204-9143575-8328365,VF-3T0K-DR5O,B08KFFY86W,0,0,
204-9745027-3943504,SQ-7QYT-5D5B,B0915M1DLF,0,0,
204-9984537-6294733,SR-6OBB-WC03,B06XXDNH1P,0,0,
205-1010925-6073930,VF-3T0K-DR5O,B08KFFY86W,0,0,
205-1303603-5339523,VF-3T0K-DR5O,B08KFFY86W,0,0,
205-1591266-3787553,Z7-26PV-O9LR,B07J9JGZZV,0,0,
205-1686243-7177131,6V-EEC1-2S9Z,B06WW79DX5,0,0,
205-1730417-8064364,8M-NHB7-T8TR,B0B2RBG672,0,0,
205-1735856-4320326,VF-3T0K-DR5O,B08KFFY86W,0,0,
205-2262976-8913150,A2-T2AC-TW3L,B006PFN3BW,0,0,
205-2300828-5095515,WX-L5UA-UB1Q,B007R2ICTK,0,0,
205-3014144-1420326,VF-3T0K-DR5O,B08KFFY86W,0,0,
205-3403693-9180328,VF-3T0K-DR5O,B08KFFY86W,0,0,
205-3445046-1453922,6V-EEC1-2S9Z,B06WW79DX5,0,0,
205-3465978-5603569,JV-D1TI-6UF6,B002HY4YSQ,0,0,
205-4167731-0495512,A2-T2AC-TW3L,B006PFN3BW,0,0,
205-4279621-1001118,JV-D1TI-6UF6,B002HY4YSQ,0,0,
205-4947673-1827564,NN-TSZ1-X2RD,B093FQYQJH,0,0,
205-6056509-7024333,JV-D1TI-6UF6,B002HY4YSQ,0,0,
205-6205408-9874729,XH-0LAE-FQO5,B00AOES9GE,0,0,
205-6461992-3025114,6V-EEC1-2S9Z,B06WW79DX5,0,0,
205-6584714-3435538,6V-EEC1-2S9Z,B06WW79DX5,0,0,
205-6869339-0545117,VF-3T0K-DR5O,B08KFFY86W,0,0,
205-7974599-7368333,6V-EEC1-2S9Z,B06WW79DX5,0,0,
