ProductInfo,BuyerInfo,ItemTax,QuantityShipped,ItemPrice,ASIN,SellerSKU,Title,IsGift,IsTransparency,QuantityOrdered,PromotionDiscountTax,PromotionDiscount,OrderItemId,AmazonOrderId,ShippingTax,ShippingPrice,ShippingDiscount,ShippingDiscountTax,AmazonPrograms,PromotionIds,TaxCollection,IossNumber,DeemedResellerCategory
{'NumberOfItems': '1'},{},"{'CurrencyCode': 'GBP', 'Amount': '1.13'}",1,"{'CurrencyCode': 'GBP', 'Amount': '6.80'}",B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,false,False,1,"{'CurrencyCode': 'GBP', 'Amount': '0.00'}","{'CurrencyCode': 'GBP', 'Amount': '0.00'}",56090767696482,026-0122370-1067508,,,,,,,,,
{'NumberOfItems': '1'},{},"{'CurrencyCode': 'GBP', 'Amount': '1.67'}",1,"{'CurrencyCode': 'GBP', 'Amount': '9.99'}",B0052VXJGO,D2-8SPY-Q095,"Fackelmann OPAL Skimmer, Straining Spoon, Frying Strainer, Fine Mesh, Medium Spider Ladle Stainless Steel, 37.5x12x5.5cm, Silver",false,False,1,"{'CurrencyCode': 'GBP', 'Amount': '0.00'}","{'CurrencyCode': 'GBP', 'Amount': '0.00'}",55958709154842,026-0281810-6031514,,,,,,,,,
{'NumberOfItems': '1'},{},"{'CurrencyCode': 'GBP', 'Amount': '0.83'}",1,"{'CurrencyCode': 'GBP', 'Amount': '4.97'}",B00IUKPVYM,AK-OB6V-HIYD,Price's Petali Brand Scented Tealights | 25 Pack Tealights 4 Hour Burn Time | Available in Multiple Scents (Rose),false,False,1,"{'CurrencyCode': 'GBP', 'Amount': '0.00'}","{'CurrencyCode': 'GBP', 'Amount': '0.00'}",55961162988682,026-0478929-0071512,"{'CurrencyCode': 'GBP', 'Amount': '0.00'}","{'CurrencyCode': 'GBP', 'Amount': '0.56'}","{'CurrencyCode': 'GBP', 'Amount': '0.56'}","{'CurrencyCode': 'GBP', 'Amount': '0.00'}",,,,,
{'NumberOfItems': '1'},{},"{'CurrencyCode': 'GBP', 'Amount': '1.98'}",1,"{'CurrencyCode': 'GBP', 'Amount': '11.88'}",B006PFN3BW,A2-T2AC-TW3L,Everbuild Industrial Grade Superglue GP 50 g Pack of 3,false,False,1,"{'CurrencyCode': 'GBP', 'Amount': '0.00'}","{'CurrencyCode': 'GBP', 'Amount': '0.00'}",55992862239202,026-0519298-8428357,,,,,,,,,
{'NumberOfItems': '1'},{},"{'CurrencyCode': 'GBP', 'Amount': '1.13'}",1,"{'CurrencyCode': 'GBP', 'Amount': '6.80'}",B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,false,False,1,"{'CurrencyCode': 'GBP', 'Amount': '0.00'}","{'CurrencyCode': 'GBP', 'Amount': '0.00'}",54875837119162,026-0550258-0223541,,,,,,,,,
{'NumberOfItems': '1'},{},"{'CurrencyCode': 'GBP', 'Amount': '1.13'}",1,"{'CurrencyCode': 'GBP', 'Amount': '6.80'}",B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,false,False,1,"{'CurrencyCode': 'GBP', 'Amount': '0.00'}","{'CurrencyCode': 'GBP', 'Amount': '0.00'}",56188501295802,026-0615048-8220319,,,,,,,,,
{'NumberOfItems': '1'},{},"{'CurrencyCode': 'GBP', 'Amount': '1.13'}",1,"{'CurrencyCode': 'GBP', 'Amount': '6.80'}",B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,false,False,1,"{'CurrencyCode': 'GBP', 'Amount': '0.00'}","{'CurrencyCode': 'GBP', 'Amount': '0.00'}",55954633259962,026-0845163-6922741,,,,,,,,,
{'NumberOfItems': '1'},{},"{'CurrencyCode': 'GBP', 'Amount': '1.67'}",1,"{'CurrencyCode': 'GBP', 'Amount': '9.99'}",B093FQYQJH,NN-TSZ1-X2RD,Curaprox CS 12460 Velvet Ultra-Soft Toothbrush; Extra Soft bristles for Sensitive Gums,false,False,1,"{'CurrencyCode': 'GBP', 'Amount': '0.00'}","{'CurrencyCode': 'GBP', 'Amount': '0.00'}",56180711146762,026-0984535-8642731,,,,,,,,,
{'NumberOfItems': '1'},{},"{'CurrencyCode': 'GBP', 'Amount': '1.13'}",1,"{'CurrencyCode': 'GBP', 'Amount': '6.80'}",B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,false,False,1,"{'CurrencyCode': 'GBP', 'Amount': '0.00'}","{'CurrencyCode': 'GBP', 'Amount': '0.00'}",56135994790282,026-1049302-6805142,,,,,,,,,
{'NumberOfItems': '1'},{},"{'CurrencyCode': 'GBP', 'Amount': '1.67'}",1,"{'CurrencyCode': 'GBP', 'Amount': '9.99'}",B093FQYQJH,NN-TSZ1-X2RD,Curaprox CS 12460 Velvet Ultra-Soft Toothbrush; Extra Soft bristles for Sensitive Gums,false,False,1,"{'CurrencyCode': 'GBP', 'Amount': '0.00'}","{'CurrencyCode': 'GBP', 'Amount': '0.00'}",56093466451122,026-1121144-6254724,,,,,,,,,
