event_day,sku,event_type,status,note,events_count,quantity_sum,applied_sum
2025-11-01,WX-L5UA-UB1Q,Receipts,partial,insufficient_returned_pending,1,80,0
2025-11-02,XH-0LAE-FQO5,Receipts,partial,insufficient_returned_pending,1,1,0
2025-11-10,RW-AZK6-O4M2,Adjustments,partial,insufficient_returned_pending,1,1,0
2025-11-11,714776,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-11,7L-OT45-7LYB,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-11,I2-6YKQ-CIBP,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-11,JV-D1TI-6UF6,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-11,VL-48KZ-J3F2,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-11,WX-L5UA-UB1Q,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-11,X7-MY4W-H2I4,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-11,ZU-PFDN-JSYV,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-12,714776,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-12,7L-OT45-7LYB,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-12,JV-D1TI-6UF6,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-12,VL-48KZ-J3F2,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-12,X7-MY4W-H2I4,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-12,XH-0LAE-FQO5,Adjustments,partial,insufficient_returned_pending,2,2,0
2025-11-12,XH-0LAE-FQO5,Adjustments,partial,insufficient_unsellable_to_remove,1,-1,0
2025-11-12,ZU-PFDN-JSYV,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-16,714776,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-16,7L-OT45-7LYB,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-16,I2-6YKQ-CIBP,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-16,JV-D1TI-6UF6,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-16,US-AK96-YFSB,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-16,VL-48KZ-J3F2,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-16,X7-MY4W-H2I4,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-16,ZT-QPY3-P24I,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-16,ZU-PFDN-JSYV,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-17,6V-EEC1-2S9Z,Receipts,partial,insufficient_returned_pending,1,250,0
2025-11-17,RW-AZK6-O4M2,Adjustments,partial,insufficient_unsellable_to_remove,1,-1,0
2025-11-18,XH-0LAE-FQO5,Adjustments,partial,insufficient_unsellable_to_remove,1,-1,0
2025-11-19,0G-JB6S-PN34,Receipts,partial,insufficient_returned_pending,2,116,0
2025-11-19,6V-EEC1-2S9Z,Receipts,partial,insufficient_returned_pending,1,250,0
2025-11-19,714776,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-19,7L-OT45-7LYB,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-19,8R-E0Y9-0LAU,Receipts,partial,insufficient_returned_pending,1,20,0
2025-11-19,EE-KTDC-KCFY,Receipts,partial,insufficient_returned_pending,1,20,0
2025-11-19,JV-D1TI-6UF6,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-19,L5-PF3B-WHU4,Receipts,partial,insufficient_returned_pending,1,20,0
2025-11-19,NN-TSZ1-X2RD,Receipts,partial,insufficient_returned_pending,1,20,0
2025-11-19,PY-XV78-3OG5,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-19,VL-48KZ-J3F2,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-19,WX-L5UA-UB1Q,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-19,X7-MY4W-H2I4,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-19,XH-0LAE-FQO5,Adjustments,partial,insufficient_returned_pending,2,2,0
2025-11-19,XH-0LAE-FQO5,Adjustments,partial,insufficient_unsellable_to_remove,2,-2,0
2025-11-19,ZU-PFDN-JSYV,Receipts,partial,insufficient_returned_pending,1,17,0
2025-11-20,0G-JB6S-PN34,Receipts,partial,insufficient_returned_pending,1,58,0
2025-11-20,A2-T2AC-TW3L,Receipts,partial,insufficient_returned_pending,1,116,0
2025-11-21,0G-JB6S-PN34,Receipts,partial,insufficient_returned_pending,1,58,0
2025-11-22,8R-E0Y9-0LAU,Receipts,partial,insufficient_returned_pending,1,20,0
2025-11-22,L5-PF3B-WHU4,Receipts,partial,insufficient_returned_pending,1,20,0
2025-11-22,NN-TSZ1-X2RD,Receipts,partial,insufficient_returned_pending,1,20,0
2025-11-23,714776,Receipts,partial,insufficient_tokens_to_remove,1,-17,0
2025-11-23,8R-E0Y9-0LAU,Receipts,partial,insufficient_returned_pending,1,20,0
2025-11-23,A2-T2AC-TW3L,Receipts,partial,insufficient_returned_pending,1,120,0
2025-11-23,L5-PF3B-WHU4,Receipts,partial,insufficient_returned_pending,1,20,0
2025-11-23,NN-TSZ1-X2RD,Receipts,partial,insufficient_returned_pending,1,20,0
2025-11-23,X7-MY4W-H2I4,Receipts,partial,insufficient_tokens_to_remove,1,-17,0
2025-11-24,6V-EEC1-2S9Z,Receipts,partial,insufficient_returned_pending,1,250,0
2025-11-26,8R-E0Y9-0LAU,Receipts,partial,insufficient_returned_pending,1,20,0
2025-11-26,8R-E0Y9-0LAU,Receipts,partial,insufficient_tokens_to_remove,1,-20,0
2025-11-26,NN-TSZ1-X2RD,Receipts,partial,insufficient_returned_pending,1,20,0
2025-11-29,8R-E0Y9-0LAU,Receipts,partial,insufficient_returned_pending,1,20,0
