date,currency,allocated_rows,allocated_total,unallocated_rows,unallocated_total,total_expenses,allocated_pct
2026-02-17,AED,0.0,0.0,2,241.45999999999998,241.45999999999998,0.0
2026-02-17,GBP,0.0,0.0,164,404.66,404.66,0.0
2026-02-18,GBP,0.0,0.0,22,71.79,71.79,0.0
