study_rank,sku,asof_date,reorder_flag,days_of_stock_left,suggested_reorder_qty,velocity_30d,units_sold_30d,units_sold_truth_30d,units_sold_velocity_30d,units_sold_source,revenue_exvat_gbp_30d,profit_exvat_gbp_30d,roi_exvat_30d,profit_per_unit_gbp_30d,value_velocity_gbp_per_day,missing_cogs_units,fx_missing_units,current_token_cost_gbp,break_even_price_gbp,expected_refund_cost_per_unit_gbp,roi_at_our_price_pct,roi_at_buy_box_price_pct,latest_price_confidence,b_money_confidence_state,b_bridge_values_safe_for_live_roi,profit_confidence,sales_truth_state,stock_signal,restock_business_ready,restock_decision_state,restock_readiness_confidence,restock_missing_proof,restock_evidence_role,missing_reason,missing_roi_reason,missing_roi_reason_detail,latest_daily_truth_date,latest_daily_truth_state,latest_daily_truth_units,latest_daily_truth_profit_gbp
82,D7-MGBX-RX2P,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,2.433297,8.070957,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
83,D8-1A3E-I37F,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,16.74,24.41,0.0,11.738351,28.365193,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
84,DC-K5WH-R7F5,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,0.6675,2.761848,0.043578,-41.725024,-40.476584,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
85,DO-QDI1-K7R9,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,20.07,23.787103,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
86,DT-SPI3-IK34,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,3.74,7.19,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
87,DV-USYD-8WR2,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,20.45,29.326667,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
88,EA-FZ2V-D7II,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,1.83,5.547103,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
89,EE-KTDC-KCFY,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,3.46,6.425279,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
90,FB-6FW0-Z82Q,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,1.62,5.337103,0.0,-0.232707,-72.249168,listing_price_current,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
91,FBA15K3QTGNT_unexpected_item_01,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,1.66,3.71,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
