study_rank,sku,asof_date,reorder_flag,days_of_stock_left,suggested_reorder_qty,velocity_30d,units_sold_30d,units_sold_truth_30d,units_sold_velocity_30d,units_sold_source,revenue_exvat_gbp_30d,profit_exvat_gbp_30d,roi_exvat_30d,profit_per_unit_gbp_30d,value_velocity_gbp_per_day,missing_cogs_units,fx_missing_units,current_token_cost_gbp,break_even_price_gbp,expected_refund_cost_per_unit_gbp,roi_at_our_price_pct,roi_at_buy_box_price_pct,latest_price_confidence,b_money_confidence_state,b_bridge_values_safe_for_live_roi,profit_confidence,sales_truth_state,stock_signal,restock_business_ready,restock_decision_state,restock_readiness_confidence,restock_missing_proof,restock_evidence_role,missing_reason,missing_roi_reason,missing_roi_reason_detail,latest_daily_truth_date,latest_daily_truth_state,latest_daily_truth_units,latest_daily_truth_profit_gbp
118,NX-0Q7A-XR6H,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,2.74,11.722,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
119,PE-G94Y-4PYO,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,2.86,7.671125,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
120,PY-XV78-3OG5,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,20.51,31.766667,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
121,Q1-00D7-5IQF,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,9.8,16.860911,0.400732,47.252613,47.252613,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
122,QM-QAGK-D2UQ,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,2.6,6.317103,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
123,R4-0AXZ-ZZ9D,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,4.85,9.18,0.0,18.62543,16.735395,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
124,R7-98IN-2PW8,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,2.5,4.878333,0.358333,-5.13332,-13.466653,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
125,RB-1O77-8969,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,2.6,5.712222,0.0,16.837607,17.478632,listing_price_current,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
126,RB-82FL-T88J,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,14.5,22.259835,0.0,12.288493,-38.74599,listing_price_current,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_refund_proof;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_refund_proof,,,,
127,RI-VSUS-0YTD,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,1.65,5.4675,0.0,-20.757576,21.666667,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
128,RW-AZK6-O4M2,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,0.52,3.478571,0.0,-124.084249,-108.058608,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_refund_proof;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_refund_proof,,,,
129,RZ-6ZL9-CZ7J,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,2.42,8.55,0.0,-118.112948,-141.528926,listing_price_current,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
130,SC-LYFM-ORXK,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,4.2,9.167333,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
131,SE-IQQJ-EOU3,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,10.38,14.097103,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
132,SQ-7QYT-5D5B,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,1.5,4.903216,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
133,SR-6OBB-WC03,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,2.86,8.157174,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
134,SU-5LQH-2DVN,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,2.187632,5.81402,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
135,SZ-UL4K-SE7W,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,3.109605,8.27953,0.240526,-4.969444,135.455668,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
136,TE-Y18U-S2O1,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,4.16,8.030333,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
137,TJ-6LOP-OPEU,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,2.19,5.195,0.0,9.741248,66.818874,listing_price_current,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
138,TU-8I14-25ZR,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,12.67,20.640882,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
139,U1-M5BM-8F5W,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,12.5,16.99,0.0,10.946667,12.013333,listing_price_current,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
140,UL-D0Y8-ZNI5,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,19.5,34.356667,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
141,UR-Q7TM-1F3I,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,7.59,12.9,0.0,16.029864,7.795345,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
142,UR-UAT8-4JSI,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,0.83,4.33,0.0,-19.678715,9.437751,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_refund_proof;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_refund_proof,,,,
143,US-AK96-YFSB,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,1.25,3.68,0.0,6.933333,232.266667,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
144,VL-48KZ-J3F2,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,1.19,4.37,0.0,15.826331,-17.787115,listing_price_current,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
145,VO-A6AR-18YS,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,1.97,4.39,0.0,157.445008,20.812183,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_refund_proof;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_refund_proof,,,,
146,VU-8KRA-QP5M,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,4.32,9.268543,0.4055,34.871679,35.257481,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
147,WE-1Z7L-SA2I,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,1.65,5.03,0.0,5.757576,5.757576,listing_price_current,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
148,XE-27ZG-EZPZ,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,1.23,8.677143,0.0,-164.130856,-502.884243,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_refund_proof;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_refund_proof,,,,
149,XG-Z9LW-Z27Q,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,1.956667,4.887778,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
150,XH-0LAE-FQO5,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,2.9,5.416092,0.216515,-7.738821,45.996812,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
151,XH-OMMJ-C7MT,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,2.45,6.295,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
152,XY-UM2X-TPS3,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,4.57,9.579723,0.0,6.096505,-34.749593,listing_price_current,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_refund_proof;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_refund_proof,,,,
153,YC-3L3M-BV48,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,39.61,55.920333,0.0,24.521585,25.026508,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
154,YO-EKK2-FRCC,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,2.38,6.205,0.0,-23.669468,-59.383754,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
155,Z3-ORV9-K8XD,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,6.56,11.875993,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
156,Z7-26PV-O9LR,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,4.2,10.496429,0.0,-77.295918,-77.295918,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window,stock_only_no_sales_window,stock_only_no_sales_window,,,,
157,Z9-FBUQ-EZN3,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,2.89,6.309167,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
158,ZI-1MA2-8QGC,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,8.48,14.458,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
159,ZT-QPY3-P24I,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,34.32,38.037103,0.0,83.395193,82.521067,listing_price_fallback,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_refund_proof;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_refund_proof,,,,
160,ZU-PFDN-JSYV,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,4.89,11.662143,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
161,ZV-RLOD-Q0JI,2026-06-10,no,,0,0.0,0.0,0.0,0.0,velocity,,,,,,,,7.55,13.851,0.0,,,listing_price_unproven,not_yet_proven,0,profit_missing,velocity_only,no,no,not_applicable_no_stock_signal,not_applicable,no_stock_signal;missing_roi;stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof;missing_current_price;weak_refund_proof;bridge_labelled_money,evidence_only_not_buy_instruction,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,stock_only_no_sales_window,stock_only_no_sales_window;missing_current_price_proof;missing_refund_proof,,,,
