order_id_norm,sb_cogs,sb_cogs_abs,Order ID,our_cogs_abs,diff
026-2349205-3699538,-3.99,3.99,026-2349205-3699538,3.49,-0.5
202-7413630-5241152,-3.99,3.99,202-7413630-5241152,3.49,-0.5
205-7197698-8681116,-3.99,3.99,205-7197698-8681116,3.49,-0.5
205-7015714-7217148,-9.16,9.16,205-7015714-7217148,9.58,0.42
205-0930141-1812360,-3.96,3.96,205-0930141-1812360,3.57,-0.39
204-0781194-2087538,-3.96,3.96,204-0781194-2087538,3.57,-0.39
026-8573775-4654734,-3.96,3.96,026-8573775-4654734,3.57,-0.39
026-3887505-8169937,-5.48,5.48,026-3887505-8169937,5.86,0.38
026-6021230-7917926,-4.23,4.23,026-6021230-7917926,4.57,0.34
026-1351865-0726754,-4.23,4.23,026-1351865-0726754,4.57,0.34
204-7160528-2225144,-4.23,4.23,204-7160528-2225144,4.57,0.34
204-7588108-3049168,-4.23,4.23,204-7588108-3049168,4.57,0.34
204-9174868-8287545,-4.23,4.23,204-9174868-8287545,4.57,0.34
026-5801182-9937111,-4.23,4.23,026-5801182-9937111,4.57,0.34
205-1863365-1711521,-4.23,4.23,205-1863365-1711521,4.57,0.34
203-6985665-0113148,-4.23,4.23,203-6985665-0113148,4.57,0.34
026-8111877-1058724,-4.23,4.23,026-8111877-1058724,4.57,0.34
204-9211586-5438724,-4.23,4.23,204-9211586-5438724,4.57,0.34
206-2374689-1604320,-4.23,4.23,206-2374689-1604320,4.57,0.34
203-2997516-3846715,-4.23,4.23,203-2997516-3846715,4.57,0.34
205-4814976-4671525,-4.23,4.23,205-4814976-4671525,4.57,0.34
206-1366191-7834714,-4.23,4.23,206-1366191-7834714,4.57,0.34
205-6349268-3011506,-4.23,4.23,205-6349268-3011506,4.57,0.34
205-5813541-0113152,-4.23,4.23,205-5813541-0113152,4.57,0.34
206-1583036-1301955,-4.23,4.23,206-1583036-1301955,4.57,0.34
202-5339655-5165145,-4.23,4.23,202-5339655-5165145,4.57,0.34
202-2802397-5500337,-4.23,4.23,202-2802397-5500337,4.57,0.34
204-3026155-4682717,-4.23,4.23,204-3026155-4682717,4.57,0.34
206-7499698-1273153,-4.23,4.23,206-7499698-1273153,4.57,0.34
206-9939113-4852351,-4.23,4.23,206-9939113-4852351,4.57,0.34
206-9625434-0929950,-3.7,3.7,206-9625434-0929950,3.4,-0.3
202-3178329-0503552,-3.7,3.7,202-3178329-0503552,3.4,-0.3
202-5665306-2754766,-3.7,3.7,202-5665306-2754766,3.4,-0.3
206-1939260-4817113,-3.7,3.7,206-1939260-4817113,3.4,-0.3
202-0065201-8042743,-3.7,3.7,202-0065201-8042743,3.4,-0.3
203-0022752-8740373,-3.7,3.7,203-0022752-8740373,3.4,-0.3
202-5970255-1872330,-3.7,3.7,202-5970255-1872330,3.4,-0.3
206-6581801-5123501,-3.7,3.7,206-6581801-5123501,3.4,-0.3
