order_id_norm,sb_cogs,sb_cogs_abs,Order ID,our_cogs_abs,diff
202-8345774-7357116,-2.19,2.19,202-8345774-7357116,2.01,-0.18
205-0011668-6953921,-20.51,20.51,205-0011668-6953921,20.33,-0.18
205-7976551-1560349,-3.95,3.95,205-7976551-1560349,3.8,-0.15
026-8919267-6927553,-3.95,3.95,026-8919267-6927553,3.8,-0.15
026-5192646-7621126,-2.25,2.25,026-5192646-7621126,2.1,-0.15
206-6059279-0567553,-2.25,2.25,206-6059279-0567553,2.1,-0.15
206-3358371-5761110,-2.25,2.25,206-3358371-5761110,2.1,-0.15
206-0948407-8449962,-2.25,2.25,206-0948407-8449962,2.1,-0.15
203-1160640-3130713,-2.25,2.25,203-1160640-3130713,2.1,-0.15
205-5682474-2268306,-2.25,2.25,205-5682474-2268306,2.1,-0.15
205-1721239-5317923,-3.95,3.95,205-1721239-5317923,3.8,-0.15
205-0779458-0519569,-2.25,2.25,205-0779458-0519569,2.1,-0.15
203-7661086-1918713,-2.25,2.25,203-7661086-1918713,2.1,-0.15
026-5711854-3197931,-3.95,3.95,026-5711854-3197931,3.8,-0.15
206-9041905-3925963,-4.35,4.35,206-9041905-3925963,4.2,-0.15
026-1703551-1367522,-3.95,3.95,026-1703551-1367522,3.8,-0.15
026-2127050-7929948,-4.3,4.3,026-2127050-7929948,4.44,0.14
026-2227847-5353934,-4.3,4.3,026-2227847-5353934,4.44,0.14
026-2529333-2134758,-4.3,4.3,026-2529333-2134758,4.44,0.14
026-2623304-4301159,-4.3,4.3,026-2623304-4301159,4.44,0.14
026-2780950-1717146,-2.19,2.19,026-2780950-1717146,2.05,-0.14
026-2836477-2882745,-4.3,4.3,026-2836477-2882745,4.44,0.14
206-8615539-3569945,-4.3,4.3,206-8615539-3569945,4.44,0.14
206-8681050-0364352,-4.3,4.3,206-8681050-0364352,4.44,0.14
206-8698586-1549143,-2.19,2.19,206-8698586-1549143,2.05,-0.14
206-8871769-2543514,-4.3,4.3,206-8871769-2543514,4.44,0.14
206-9082899-7176309,-4.3,4.3,206-9082899-7176309,4.44,0.14
206-9343434-7178767,-4.3,4.3,206-9343434-7178767,4.44,0.14
206-9600696-9756327,-2.19,2.19,206-9600696-9756327,2.05,-0.14
204-3611777-1974755,-4.3,4.3,204-3611777-1974755,4.44,0.14
026-5583513-6205109,-4.3,4.3,026-5583513-6205109,4.44,0.14
026-5715745-5253133,-4.3,4.3,026-5715745-5253133,4.44,0.14
026-3002970-9481927,-4.3,4.3,026-3002970-9481927,4.44,0.14
026-3908730-6312358,-4.3,4.3,026-3908730-6312358,4.44,0.14
026-3051641-6106768,-4.3,4.3,026-3051641-6106768,4.44,0.14
026-4815493-9055526,-4.3,4.3,026-4815493-9055526,4.44,0.14
203-8492404-5052331,-4.3,4.3,203-8492404-5052331,4.44,0.14
206-8291663-0993944,-4.3,4.3,206-8291663-0993944,4.44,0.14
206-7306672-1033117,-2.19,2.19,206-7306672-1033117,2.05,-0.14
204-8393161-0003542,-4.3,4.3,204-8393161-0003542,4.44,0.14
204-8528258-0785930,-4.3,4.3,204-8528258-0785930,4.44,0.14
204-8699343-1229957,-4.3,4.3,204-8699343-1229957,4.44,0.14
203-8958191-3368357,-2.19,2.19,203-8958191-3368357,2.05,-0.14
203-6448148-8927566,-4.3,4.3,203-6448148-8927566,4.44,0.14
203-6859867-3174732,-4.3,4.3,203-6859867-3174732,4.44,0.14
204-9395592-8498701,-4.3,4.3,204-9395592-8498701,4.44,0.14
204-9395241-6829920,-4.3,4.3,204-9395241-6829920,4.44,0.14
205-1079993-4183562,-4.3,4.3,205-1079993-4183562,4.44,0.14
205-1826411-8281955,-4.3,4.3,205-1826411-8281955,4.44,0.14
205-0438224-3444366,-4.3,4.3,205-0438224-3444366,4.44,0.14
203-7999234-6291518,-4.3,4.3,203-7999234-6291518,4.44,0.14
203-7598797-9154754,-4.3,4.3,203-7598797-9154754,4.44,0.14
205-0435169-3971507,-20.51,20.51,205-0435169-3971507,20.37,-0.14
205-0268677-8004312,-4.3,4.3,205-0268677-8004312,4.44,0.14
204-0174970-9641143,-4.3,4.3,204-0174970-9641143,4.44,0.14
203-2824140-1473168,-4.3,4.3,203-2824140-1473168,4.44,0.14
203-3109324-4178751,-4.3,4.3,203-3109324-4178751,4.44,0.14
203-1925905-4388300,-4.3,4.3,203-1925905-4388300,4.44,0.14
203-2779467-5158701,-4.3,4.3,203-2779467-5158701,4.44,0.14
203-1824253-7746738,-20.51,20.51,203-1824253-7746738,20.37,-0.14
203-5742761-8758754,-4.3,4.3,203-5742761-8758754,4.44,0.14
203-4685347-1865161,-4.3,4.3,203-4685347-1865161,4.44,0.14
203-4539642-4833120,-4.3,4.3,203-4539642-4833120,4.44,0.14
203-1411548-0033964,-4.3,4.3,203-1411548-0033964,4.44,0.14
203-1407692-9325956,-4.3,4.3,203-1407692-9325956,4.44,0.14
203-8213965-9869931,-4.3,4.3,203-8213965-9869931,4.44,0.14
203-8180835-1664306,-4.3,4.3,203-8180835-1664306,4.44,0.14
203-1271553-4146768,-2.19,2.19,203-1271553-4146768,2.05,-0.14
204-8062039-4423542,-4.3,4.3,204-8062039-4423542,4.44,0.14
203-8133131-1550749,-4.3,4.3,203-8133131-1550749,4.44,0.14
204-7580543-6837919,-4.3,4.3,204-7580543-6837919,4.44,0.14
204-7751227-8196313,-4.3,4.3,204-7751227-8196313,4.44,0.14
203-0736104-7556338,-4.3,4.3,203-0736104-7556338,4.44,0.14
205-2345923-6805115,-41.02,41.02,205-2345923-6805115,40.88,-0.14
205-2901731-8429115,-4.3,4.3,205-2901731-8429115,4.44,0.14
202-8225256-3133155,-4.3,4.3,202-8225256-3133155,4.44,0.14
202-8002427-3213959,-4.3,4.3,202-8002427-3213959,4.44,0.14
202-2916858-4009938,-4.3,4.3,202-2916858-4009938,4.44,0.14
202-2910600-7945941,-4.3,4.3,202-2910600-7945941,4.44,0.14
202-7520855-6560349,-4.3,4.3,202-7520855-6560349,4.44,0.14
202-7762806-2885118,-20.51,20.51,202-7762806-2885118,20.37,-0.14
205-5944499-2784332,-4.3,4.3,205-5944499-2784332,4.44,0.14
205-6185876-8305161,-4.3,4.3,205-6185876-8305161,4.44,0.14
205-5470382-1336329,-4.3,4.3,205-5470382-1336329,4.44,0.14
205-5213859-8187530,-4.3,4.3,205-5213859-8187530,4.44,0.14
203-0143770-6515565,-4.3,4.3,203-0143770-6515565,4.44,0.14
205-6148863-0573931,-4.3,4.3,205-6148863-0573931,4.44,0.14
202-9894096-6304319,-4.3,4.3,202-9894096-6304319,4.44,0.14
202-9354624-2423517,-4.3,4.3,202-9354624-2423517,4.44,0.14
202-8962887-0866713,-4.3,4.3,202-8962887-0866713,4.44,0.14
202-9173129-0888362,-4.3,4.3,202-9173129-0888362,4.44,0.14
205-5028901-8756344,-2.19,2.19,205-5028901-8756344,2.05,-0.14
205-4778103-0269159,-4.3,4.3,205-4778103-0269159,4.44,0.14
205-4518645-4596330,-4.3,4.3,205-4518645-4596330,4.44,0.14
203-1589861-2187504,-2.19,2.19,203-1589861-2187504,2.05,-0.14
407-5326569-3565907,-4.3,4.3,407-5326569-3565907,4.44,0.14
026-0607867-8161169,-4.3,4.3,026-0607867-8161169,4.44,0.14
026-5404995-9074712,-4.3,4.3,026-5404995-9074712,4.44,0.14
026-5401577-1990738,-4.3,4.3,026-5401577-1990738,4.44,0.14
404-5938399-5718742,-4.3,4.3,404-5938399-5718742,4.44,0.14
402-9697852-9834700,-4.3,4.3,402-9697852-9834700,4.44,0.14
402-5796917-2234757,-4.3,4.3,402-5796917-2234757,4.44,0.14
206-9678627-1879521,-4.3,4.3,206-9678627-1879521,4.44,0.14
026-0586688-4878737,-4.3,4.3,026-0586688-4878737,4.44,0.14
026-7635084-2013968,-4.3,4.3,026-7635084-2013968,4.44,0.14
204-1245321-3343567,-4.3,4.3,204-1245321-3343567,4.44,0.14
026-7517090-8134720,-4.3,4.3,026-7517090-8134720,4.44,0.14
206-6562908-4629902,-4.3,4.3,206-6562908-4629902,4.44,0.14
026-4987084-3724307,-4.3,4.3,026-4987084-3724307,4.44,0.14
206-7207471-8289903,-4.3,4.3,206-7207471-8289903,4.44,0.14
204-3957173-4296369,-4.3,4.3,204-3957173-4296369,4.44,0.14
204-4892612-4679539,-4.3,4.3,204-4892612-4679539,4.44,0.14
026-6798689-4050746,-4.3,4.3,026-6798689-4050746,4.44,0.14
204-3948804-7005104,-4.3,4.3,204-3948804-7005104,4.44,0.14
026-6511699-9926730,-4.3,4.3,026-6511699-9926730,4.44,0.14
202-8341429-7516310,-4.3,4.3,202-8341429-7516310,4.44,0.14
202-5960031-7458745,-4.3,4.3,202-5960031-7458745,4.44,0.14
205-7301099-0563539,-4.3,4.3,205-7301099-0563539,4.44,0.14
202-5295040-3339502,-4.3,4.3,202-5295040-3339502,4.44,0.14
202-2935626-8041913,-4.3,4.3,202-2935626-8041913,4.44,0.14
202-3140671-5056353,-4.3,4.3,202-3140671-5056353,4.44,0.14
205-7724552-0688301,-4.3,4.3,205-7724552-0688301,4.44,0.14
205-8146302-7957153,-4.3,4.3,205-8146302-7957153,4.44,0.14
205-8453660-3159526,-2.19,2.19,205-8453660-3159526,2.05,-0.14
202-3774763-3777104,-4.3,4.3,202-3774763-3777104,4.44,0.14
202-3410335-2246751,-4.3,4.3,202-3410335-2246751,4.44,0.14
202-3185870-4365921,-4.3,4.3,202-3185870-4365921,4.44,0.14
202-1712276-1581150,-4.3,4.3,202-1712276-1581150,4.44,0.14
202-1339192-0567568,-4.3,4.3,202-1339192-0567568,4.44,0.14
203-9480730-0753955,-2.19,2.19,203-9480730-0753955,2.05,-0.14
203-9423308-0034702,-4.3,4.3,203-9423308-0034702,4.44,0.14
205-8478635-1445919,-4.3,4.3,205-8478635-1445919,4.44,0.14
204-1934240-0377962,-4.3,4.3,204-1934240-0377962,4.44,0.14
205-9681095-4637136,-4.3,4.3,205-9681095-4637136,4.44,0.14
205-9007194-7276361,-4.3,4.3,205-9007194-7276361,4.44,0.14
204-1313507-6382706,-2.19,2.19,204-1313507-6382706,2.05,-0.14
206-0547829-4393934,-4.3,4.3,206-0547829-4393934,4.44,0.14
202-1242106-3713121,-4.3,4.3,202-1242106-3713121,4.44,0.14
204-2125610-6978723,-20.51,20.51,204-2125610-6978723,20.37,-0.14
203-9340376-2257152,-4.3,4.3,203-9340376-2257152,4.44,0.14
203-9397447-7373151,-4.3,4.3,203-9397447-7373151,4.44,0.14
204-6171405-9095523,-4.3,4.3,204-6171405-9095523,4.44,0.14
026-6632609-6218763,-4.3,4.3,026-6632609-6218763,4.44,0.14
026-8563039-1840362,-4.3,4.3,026-8563039-1840362,4.44,0.14
026-9046715-8227505,-4.3,4.3,026-9046715-8227505,4.44,0.14
026-9156499-9619560,-4.3,4.3,026-9156499-9619560,4.44,0.14
026-9984771-7643508,-4.3,4.3,026-9984771-7643508,4.44,0.14
206-4858638-6934747,-4.3,4.3,206-4858638-6934747,4.44,0.14
206-5153596-0317159,-4.3,4.3,206-5153596-0317159,4.44,0.14
206-2739180-0239538,-4.3,4.3,206-2739180-0239538,4.44,0.14
206-3545651-8169128,-4.3,4.3,206-3545651-8169128,4.44,0.14
202-0522451-9962705,-4.3,4.3,202-0522451-9962705,4.44,0.14
202-0594382-1057957,-4.3,4.3,202-0594382-1057957,4.44,0.14
202-0163562-6882721,-4.3,4.3,202-0163562-6882721,4.44,0.14
202-0316846-4033959,-4.3,4.3,202-0316846-4033959,4.44,0.14
206-1898254-4068355,-4.3,4.3,206-1898254-4068355,4.44,0.14
206-1387546-7275530,-4.3,4.3,206-1387546-7275530,4.44,0.14
202-2556675-1010749,-4.3,4.3,202-2556675-1010749,4.44,0.14
202-1857567-4401968,-4.3,4.3,202-1857567-4401968,4.44,0.14
204-4403422-8479527,-4.3,4.3,204-4403422-8479527,4.44,0.14
204-4880591-5392364,-4.3,4.3,204-4880591-5392364,4.44,0.14
204-4717547-9949109,-4.3,4.3,204-4717547-9949109,4.44,0.14
204-4523252-6925934,-4.3,4.3,204-4523252-6925934,4.44,0.14
206-5095451-2059542,-4.3,4.3,206-5095451-2059542,4.44,0.14
206-4927778-7202710,-4.3,4.3,206-4927778-7202710,4.44,0.14
204-5110114-7020348,-4.3,4.3,204-5110114-7020348,4.44,0.14
204-4986806-9874762,-4.3,4.3,204-4986806-9874762,4.44,0.14
204-4235820-9649934,-4.3,4.3,204-4235820-9649934,4.44,0.14
204-4257716-6115540,-4.3,4.3,204-4257716-6115540,4.44,0.14
026-1597246-2787535,-4.45,4.45,026-1597246-2787535,4.32,-0.13
204-2064200-1143515,-4.7,4.7,204-2064200-1143515,4.58,-0.12
026-5082233-6116347,-1.72,1.72,026-5082233-6116347,1.84,0.12
202-2033545-5220340,-1.72,1.72,202-2033545-5220340,1.84,0.12
206-6342589-2334722,-4.7,4.7,206-6342589-2334722,4.58,-0.12
203-1265858-9034747,-1.72,1.72,203-1265858-9034747,1.84,0.12
203-5922268-8812365,-1.72,1.72,203-5922268-8812365,1.84,0.12
203-5891042-5380350,-1.72,1.72,203-5891042-5380350,1.84,0.12
204-0631055-2283516,-4.7,4.7,204-0631055-2283516,4.58,-0.12
026-4393456-9685154,-4.7,4.7,026-4393456-9685154,4.58,-0.12
202-1854630-5117908,-4.7,4.7,202-1854630-5117908,4.58,-0.12
205-4170753-2655546,-1.72,1.72,205-4170753-2655546,1.84,0.12
202-4437580-7853135,-4.7,4.7,202-4437580-7853135,4.58,-0.12
204-1796881-4465913,-4.7,4.7,204-1796881-4465913,4.58,-0.12
204-7561096-8113911,-4.7,4.7,204-7561096-8113911,4.58,-0.12
204-7892083-7041118,-4.7,4.7,204-7892083-7041118,4.58,-0.12
203-0947673-0644355,-4.7,4.7,203-0947673-0644355,4.58,-0.12
203-5899986-2373957,-4.7,4.7,203-5899986-2373957,4.58,-0.12
202-4494647-4329102,-4.7,4.7,202-4494647-4329102,4.58,-0.12
205-9169838-1327501,-2.18,2.18,205-9169838-1327501,2.28,0.1
204-8993065-9365955,-2.18,2.18,204-8993065-9365955,2.28,0.1
026-5974971-5025914,-2.18,2.18,026-5974971-5025914,2.28,0.1
206-6632739-7323507,-3.89,3.89,206-6632739-7323507,3.79,-0.1
206-3649149-3008308,-2.18,2.18,206-3649149-3008308,2.28,0.1
206-3708947-4777151,-1.99,1.99,206-3708947-4777151,1.89,-0.1
202-0570674-8080338,-2.18,2.18,202-0570674-8080338,2.28,0.1
026-0684936-8761934,-2.18,2.18,026-0684936-8761934,2.28,0.1
203-9592568-9665965,-2.18,2.18,203-9592568-9665965,2.28,0.1
204-6699522-0095522,-1.99,1.99,204-6699522-0095522,1.89,-0.1
204-7022987-6481962,-2.18,2.18,204-7022987-6481962,2.28,0.1
204-6330672-9442759,-3.89,3.89,204-6330672-9442759,3.79,-0.1
202-3895053-8030727,-2.18,2.18,202-3895053-8030727,2.28,0.1
203-0032341-8993976,-2.18,2.18,203-0032341-8993976,2.28,0.1
206-2328433-6417153,-1.99,1.99,206-2328433-6417153,1.89,-0.1
204-7563546-4576349,-1.61,1.61,204-7563546-4576349,1.7,0.09
206-6877609-3240317,-18.63,18.63,206-6877609-3240317,18.54,-0.09
205-1362526-0507540,-3.22,3.22,205-1362526-0507540,3.14,-0.08
205-0896572-5571531,-0.68,0.68,205-0896572-5571531,0.63,-0.05
203-6654507-4133968,-0.68,0.68,203-6654507-4133968,0.63,-0.05
203-9141155-2925967,-1.78,1.78,203-9141155-2925967,1.83,0.05
204-7743205-1111504,-0.68,0.68,204-7743205-1111504,0.63,-0.05
203-1491329-5189105,-0.68,0.68,203-1491329-5189105,0.63,-0.05
202-1657202-2677966,-6.37,6.37,202-1657202-2677966,6.42,0.05
206-0360090-5969940,-0.68,0.68,206-0360090-5969940,0.63,-0.05
026-9668422-3436334,-1.61,1.61,026-9668422-3436334,1.57,-0.04
206-4853149-4504331,-1.61,1.61,206-4853149-4504331,1.57,-0.04
203-2795888-3654717,-2.55,2.55,203-2795888-3654717,2.58,0.03
026-5689717-4453901,-2.55,2.55,026-5689717-4453901,2.58,0.03
205-8801936-9730754,-2.55,2.55,205-8801936-9730754,2.58,0.03
202-3937777-2862725,-2.55,2.55,202-3937777-2862725,2.58,0.03
204-3640792-4137136,-2.55,2.55,204-3640792-4137136,2.58,0.03
206-3794350-9833168,-2.55,2.55,206-3794350-9833168,2.58,0.03
206-1755758-5527541,-2.55,2.55,206-1755758-5527541,2.58,0.03
204-1238177-6489108,-2.55,2.55,204-1238177-6489108,2.58,0.03
