sku,window_days,units_sold,days_in_stock_est,velocity_units_per_day,v7,v30,v90,v_blended,available,total_quantity,first_order_date,last_order_date,asof_date,window_days_roi,units_sold_roi,revenue_exvat_gbp,cogs_exvat_gbp,profit_exvat_gbp,roi_exvat,missing_cogs_units,fx_missing_units,asof_date_roi,velocity_30d,available_restock,total_quantity_restock,days_of_stock_left,reorder_flag,suggested_reorder_qty,asof_date_restock,current_token_cost_gbp,break_even_price_gbp,expected_refund_cost_per_unit_gbp,roi_at_our_price_pct,roi_at_buy_box_price_pct,profit_per_unit_gbp_30d,value_velocity_gbp_per_day
T8-6UWL-I3E1,30,68.0,22,3.090909,,3.090909,,,0,0,2026-01-19,2026-02-09,2026-02-17,30,68.0,0.0,-100.64,0.0,0.0,68,0,2026-02-17,3.090909,0,0,0.0,yes,93,2026-02-17,1.48,4.833019,0.0,,,0.0,0.0
TE-Y18U-S2O1,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,4.16,7.717,0.0,,,,
TJ-6LOP-OPEU,30,1.0,1,1.0,,1.0,,,16,16,2026-01-22,2026-01-22,2026-02-17,30,1.0,0.0,-2.19,0.0,0.0,1,0,2026-02-17,1.0,16,16,16.0,no,14,2026-02-17,2.19,5.24,0.0,103.196347,103.196347,0.0,0.0
TK-E7QE-T40G,30,0.0,0,0.0,,0.0,,,17,19,,,2026-02-17,,,,,,,,,,0.0,17,19,,no,0,2026-02-17,3.8,6.742,0.0,22.359649,-9.0,,
TU-8I14-25ZR,30,29.0,11,2.636364,,2.636364,,,0,0,2026-01-21,2026-01-31,2026-02-17,30,29.0,0.0,-367.43,0.0,0.0,29,0,2026-02-17,2.636364,0,0,0.0,yes,79,2026-02-17,12.67,21.691486,0.0,,,0.0,0.0
U1-M5BM-8F5W,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,13.0,17.554,0.0,,,,
UL-D0Y8-ZNI5,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,19.5,34.698571,0.0,,,,
UR-Q7TM-1F3I,30,0.0,0,0.0,,0.0,,,1,1,,,2026-02-17,,,,,,,,,,0.0,1,1,,no,0,2026-02-17,7.59,13.4,0.0,11.967501,1.207729,,
VF-3T0K-DR5O,30,2.0,3,0.666667,,0.666667,,,483,486,2026-02-12,2026-02-14,2026-02-17,30,2.0,0.0,-4.1,0.0,0.0,2,0,2026-02-17,0.666667,483,486,724.5,no,0,2026-02-17,2.05,4.4,0.0,2.845528,-19.918699,0.0,0.0
VL-48KZ-J3F2,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,1.06,4.948969,0.0,,,,
VO-A6AR-18YS,30,0.0,0,0.0,,0.0,,,1,1,,,2026-02-17,,,,,,,,,,0.0,1,1,,no,0,2026-02-17,1.97,4.88,0.0,132.571912,-4.060914,,
VU-8KRA-QP5M,30,12.0,27,0.444444,,0.444444,,,31,31,2026-01-22,2026-02-17,2026-02-17,30,12.0,0.0,-51.84,0.0,0.0,12,0,2026-02-17,0.444444,31,31,69.75,no,0,2026-02-17,4.32,8.9925,0.0,40.297068,40.297068,0.0,0.0
WJ-YHKC-EES5,30,1.0,1,1.0,,1.0,,,0,0,2026-01-31,2026-01-31,2026-02-17,30,1.0,0.0,-2.09,0.0,0.0,1,0,2026-02-17,1.0,0,0,0.0,yes,30,2026-02-17,2.09,4.44,0.0,,,0.0,0.0
WX-L5UA-UB1Q,30,254.0,29,8.758621,,8.758621,,,0,0,2026-01-19,2026-02-16,2026-02-17,30,254.0,0.0,-436.88,0.0,0.0,254,0,2026-02-17,8.758621,0,0,0.0,yes,263,2026-02-17,1.72,4.133957,0.0,,,0.0,0.0
X7-MY4W-H2I4,30,0.0,0,0.0,,0.0,,,1,1,,,2026-02-17,,,,,,,,,,0.0,1,1,,no,0,2026-02-17,2.28,5.98,0.0,12.938596,-8.260234,,
XE-27ZG-EZPZ,30,1.0,1,1.0,,1.0,,,16,16,2026-01-23,2026-01-23,2026-02-17,30,1.0,0.0,-1.23,0.0,0.0,1,0,2026-02-17,1.0,16,16,16.0,no,14,2026-02-17,1.23,3.62,0.0,1.084011,-91.734417,0.0,0.0
XE-YPAI-HX9F,30,1.0,1,1.0,,1.0,,,79,79,2026-01-28,2026-01-28,2026-02-17,30,1.0,0.0,-4.79,0.0,0.0,1,0,2026-02-17,1.0,79,79,79.0,no,0,2026-02-17,4.79,9.502,0.0,-41.795407,-57.627001,0.0,0.0
XG-Z9LW-Z27Q,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,1.99,4.8825,0.0,,,,
XH-0LAE-FQO5,30,2.0,11,0.181818,,0.181818,,,24,25,2026-01-23,2026-02-02,2026-02-17,30,2.0,0.0,-5.8,0.0,0.0,2,0,2026-02-17,0.181818,24,25,132.0,no,0,2026-02-17,2.9,5.093333,0.0,22.643678,0.517241,0.0,0.0
XH-OMMJ-C7MT,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,2.45,6.295,0.0,,,,
XY-UM2X-TPS3,30,1.0,1,1.0,,1.0,,,36,36,2026-01-21,2026-01-21,2026-02-17,30,1.0,0.0,-4.57,0.0,0.0,1,0,2026-02-17,1.0,36,36,36.0,no,0,2026-02-17,4.57,8.193333,0.0,29.868709,2.881109,0.0,0.0
YC-3L3M-BV48,30,1.0,1,1.0,,1.0,,,10,10,2026-02-04,2026-02-04,2026-02-17,30,1.0,0.0,-39.61,0.0,0.0,1,0,2026-02-17,1.0,10,10,10.0,yes,20,2026-02-17,39.61,81.995,0.0,-40.801986,-40.801986,0.0,0.0
YO-EKK2-FRCC,30,3.0,27,0.111111,,0.111111,,,5,5,2026-01-19,2026-02-14,2026-02-17,30,3.0,0.0,-7.14,0.0,0.0,3,0,2026-02-17,0.111111,5,5,45.0,no,0,2026-02-17,2.38,5.37,0.0,-0.840336,-16.246499,0.0,0.0
Z3-ORV9-K8XD,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,6.56,11.838833,0.0,,,,
Z7-26PV-O9LR,30,54.0,31,1.741935,,1.741935,,,22,23,2026-01-18,2026-02-17,2026-02-17,30,54.0,0.0,-234.48,0.0,0.0,54,0,2026-02-17,1.741935,22,23,12.63,yes,30,2026-02-17,4.347692,8.942064,0.0,-31.635101,-31.635101,0.0,0.0
Z9-FBUQ-EZN3,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,2.89,6.309167,0.0,,,,
ZI-1MA2-8QGC,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,8.48,14.458,0.0,,,,
ZU-PFDN-JSYV,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,4.89,11.664286,0.0,,,,
ZV-RLOD-Q0JI,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,7.55,13.853,0.0,,,,
