sku,window_days,units_sold,days_in_stock_est,velocity_units_per_day,v7,v30,v90,v_blended,available,total_quantity,first_order_date,last_order_date,asof_date,window_days_roi,units_sold_roi,revenue_exvat_gbp,cogs_exvat_gbp,profit_exvat_gbp,roi_exvat,missing_cogs_units,fx_missing_units,asof_date_roi,velocity_30d,available_restock,total_quantity_restock,days_of_stock_left,reorder_flag,suggested_reorder_qty,asof_date_restock,current_token_cost_gbp,break_even_price_gbp,expected_refund_cost_per_unit_gbp,roi_at_our_price_pct,roi_at_buy_box_price_pct,profit_per_unit_gbp_30d,value_velocity_gbp_per_day
7M-48OU-23X3,30,14.0,21,0.666667,,0.666667,,,1,1,2026-01-24,2026-02-13,2026-02-17,30,14.0,0.0,-106.26,0.0,0.0,14,0,2026-02-17,0.666667,1,1,1.5,yes,19,2026-02-17,7.59,24.056,0.0,-130.40404,-174.211682,0.0,0.0
81-3DY5-BFOR,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,7.64,13.385,0.0,,,,
8L-INBX-OUTU,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,2.49,6.57,0.0,,,,
8M-LM6B-F2Q5,30,2.0,3,0.666667,,0.666667,,,1,1,2026-02-14,2026-02-16,2026-02-17,30,2.0,0.0,-3.4,0.0,0.0,2,0,2026-02-17,0.666667,1,1,1.5,yes,19,2026-02-17,1.7,4.83,0.0,-50.294118,-50.294118,0.0,0.0
8M-NHB7-T8TR,30,4.0,22,0.181818,,0.181818,,,3,3,2026-01-23,2026-02-13,2026-02-17,30,4.0,0.0,-61.04,0.0,0.0,4,0,2026-02-17,0.181818,3,3,16.5,no,2,2026-02-17,15.26,22.926667,0.0,9.381826,9.381826,0.0,0.0
8R-E0Y9-0LAU,30,10.0,8,1.25,,1.25,,,0,0,2026-01-21,2026-01-28,2026-02-17,30,10.0,0.0,-381.0,0.0,0.0,10,0,2026-02-17,1.25,0,0,0.0,yes,38,2026-02-17,38.1,54.744444,0.0,,,0.0,0.0
8U-QPFH-3EKQ,30,0.0,0,0.0,,0.0,,,10,10,,,2026-02-17,,,,,,,,,,0.0,10,10,,no,0,2026-02-17,2.93,10.815,0.0,-185.381115,-216.666667,,
9X-7TBD-NA16,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,1.99,5.503636,0.0,,,,
A2-T2AC-TW3L,30,259.0,29,8.931034,,8.931034,,,89,89,2026-01-19,2026-02-16,2026-02-17,30,259.0,0.0,-1168.09,0.0,0.0,259,0,2026-02-17,8.931034,89,89,9.97,yes,179,2026-02-17,4.51,9.195469,0.0,1.948204,2.132978,0.0,0.0
A9-2Y9G-M2K7,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,1.52,5.358636,0.0,,,,
AF-KIHX-ANYY,30,0.0,0,0.0,,0.0,,,60,60,,,2026-02-17,,,,,,,,,,0.0,60,60,,no,0,2026-02-17,0.84,2.978056,0.0,140.509259,39.318783,,
AX-NKNU-29C1,30,2.0,2,1.0,,1.0,,,134,134,2026-01-25,2026-01-26,2026-02-17,30,2.0,0.0,-1.22,0.0,0.0,2,0,2026-02-17,1.0,134,134,134.0,no,0,2026-02-17,0.61,2.29,0.0,168.306011,169.672131,0.0,0.0
BB-ZT14-1QQA,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,3.19,6.061143,0.0,,,,
BL-WX51-KQOK,30,0.0,0,0.0,,0.0,,,6,6,,,2026-02-17,,,,,,,,,,0.0,6,6,,no,0,2026-02-17,3.4,6.7,0.0,96.764706,96.764706,,
BQ-O3OI-FTJU,30,2.0,8,0.25,,0.25,,,0,0,2026-01-19,2026-01-26,2026-02-17,30,2.0,0.0,-13.0,0.0,0.0,2,0,2026-02-17,0.25,0,0,0.0,yes,8,2026-02-17,6.5,13.143947,0.0,,,0.0,0.0
C6-XGZB-J6QA,30,30.0,17,1.764706,,1.764706,,,0,0,2026-01-29,2026-02-14,2026-02-17,30,30.0,0.0,-82.5,0.0,0.0,30,0,2026-02-17,1.764706,0,0,0.0,yes,53,2026-02-17,2.75,8.741429,0.0,,,0.0,0.0
CJ-X0SS-QOUW,30,0.0,0,0.0,,0.0,,,9,9,,,2026-02-17,,,,,,,,,,0.0,9,9,,no,0,2026-02-17,4.16,8.50782,0.0,80.340873,-4.394704,,
CX-SMCH-4DYA,30,0.0,0,0.0,,0.0,,,7,7,,,2026-02-17,,,,,,,,,,0.0,7,7,,no,0,2026-02-17,3.95,6.84,0.0,13.333333,3.628692,,
CY-5VNG-I5M8,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,2.22,5.31,0.0,,,,
D0-C7C0-H6LN,30,8.0,17,0.470588,,0.470588,,,11,11,2026-01-25,2026-02-10,2026-02-17,30,8.0,0.0,-21.92,0.0,0.0,8,0,2026-02-17,0.470588,11,11,23.38,no,3,2026-02-17,2.74,6.454524,0.0,-53.084811,-53.084811,0.0,0.0
D2-8SPY-Q095,30,2.0,12,0.166667,,0.166667,,,0,0,2026-01-26,2026-02-06,2026-02-17,30,2.0,0.0,-4.84,0.0,0.0,2,0,2026-02-17,0.166667,0,0,0.0,yes,5,2026-02-17,2.42,6.99,0.0,,,0.0,0.0
D7-MGBX-RX2P,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,2.43,8.112491,0.0,,,,
D8-1A3E-I37F,30,1.0,1,1.0,,1.0,,,7,7,2026-01-28,2026-01-28,2026-02-17,30,1.0,0.0,-16.74,0.0,0.0,1,0,2026-02-17,1.0,7,7,7.0,yes,23,2026-02-17,16.74,25.21,0.0,23.586221,23.586221,0.0,0.0
DC-K5WH-R7F5,30,90.0,29,3.103448,,3.103448,,,96,97,2026-01-18,2026-02-15,2026-02-17,30,90.0,0.0,-61.15,0.0,0.0,90,0,2026-02-17,3.103448,96,97,30.93,no,0,2026-02-17,0.679462,2.580489,0.0,-11.845921,-13.072381,0.0,0.0
DO-QDI1-K7R9,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,20.07,24.41782,0.0,,,,
DT-SPI3-IK34,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,3.74,7.2,0.0,,,,
DV-USYD-8WR2,30,1.0,1,1.0,,1.0,,,0,0,2026-01-20,2026-01-20,2026-02-17,30,1.0,0.0,-20.51,0.0,0.0,1,0,2026-02-17,1.0,0,0,0.0,yes,30,2026-02-17,20.51,29.215,0.0,,,0.0,0.0
EA-FZ2V-D7II,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,1.83,6.17782,0.0,,,,
EE-KTDC-KCFY,30,0.0,0,0.0,,0.0,,,0,1,,,2026-02-17,,,,,,,,,,0.0,0,1,,no,0,2026-02-17,3.46,6.425279,0.0,,,,
EV-CHU5-XU3G,30,61.0,26,2.346154,,2.346154,,,5,5,2026-01-19,2026-02-13,2026-02-17,30,61.0,0.0,-166.53,0.0,0.0,61,0,2026-02-17,2.346154,5,5,2.13,yes,65,2026-02-17,2.73,5.533896,0.0,102.238238,25.925662,0.0,0.0
F7-PMJ2-SG6A,30,65.0,14,4.642857,,4.642857,,,0,0,2026-01-18,2026-01-31,2026-02-17,30,65.0,0.0,-175.5,0.0,0.0,65,0,2026-02-17,4.642857,0,0,0.0,yes,139,2026-02-17,2.7,8.868177,0.0,,,0.0,0.0
FBA15K3QTGNT_unexpected_item_01,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,1.66,3.71,0.0,,,,
G8-L8EI-INMK,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,1.12,4.834,0.0,,,,
GA-9DTN-9O1E,30,0.0,0,0.0,,0.0,,,1,1,,,2026-02-17,,,,,,,,,,0.0,1,1,,no,0,2026-02-17,18.18,26.863333,0.0,21.791346,21.791346,,
GD-B8SW-1PCP,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,28.75,38.388333,0.0,,,,
GH-PONH-K4WQ,30,2.0,9,0.222222,,0.222222,,,0,1,2026-01-26,2026-02-03,2026-02-17,30,2.0,0.0,-7.56,0.0,0.0,2,0,2026-02-17,0.222222,0,1,0.0,yes,7,2026-02-17,3.78,7.275,0.0,,,0.0,0.0
GJ-2OZK-0GCA,30,14.0,27,0.518519,,0.518519,,,0,0,2026-01-22,2026-02-17,2026-02-17,30,14.0,0.0,-245.0,0.0,0.0,14,0,2026-02-17,0.518519,0,0,0.0,yes,16,2026-02-17,17.5,21.84782,0.0,,,0.0,0.0
GK-YI4S-C158,30,3.0,3,1.0,,1.0,,,0,0,2026-01-25,2026-01-27,2026-02-17,30,3.0,0.0,-7.74,0.0,0.0,3,0,2026-02-17,1.0,0,0,0.0,yes,30,2026-02-17,2.58,6.8175,0.0,,,0.0,0.0
H4-86XG-NLX6,30,1.0,1,1.0,,1.0,,,0,0,2026-02-12,2026-02-12,2026-02-17,30,1.0,0.0,-3.25,0.0,0.0,1,0,2026-02-17,1.0,0,0,0.0,yes,30,2026-02-17,3.25,7.793077,0.0,,,0.0,0.0
H6-E7MP-EBPD,30,0.0,0,0.0,,0.0,,,25,25,,,2026-02-17,,,,,,,,,,0.0,25,25,,no,0,2026-02-17,8.45,13.875,0.0,14.102564,13.21499,,
HL-03ZR-QPHH,30,0.0,0,0.0,,0.0,,,4,4,,,2026-02-17,,,,,,,,,,0.0,4,4,,no,0,2026-02-17,3.6,6.78,0.0,13.287037,-45.509259,,
HO-LSOY-8R05,30,3.0,22,0.136364,,0.136364,,,0,0,2026-01-25,2026-02-15,2026-02-17,30,3.0,0.0,-52.2,0.0,0.0,3,0,2026-02-17,0.136364,0,0,0.0,yes,4,2026-02-17,17.4,24.95,0.0,,,0.0,0.0
I2-6YKQ-CIBP,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,3.96,6.965,0.0,,,,
IB-U5FA-BO2Y,30,2.0,6,0.333333,,0.333333,,,0,0,2026-01-24,2026-01-29,2026-02-17,30,2.0,0.0,-41.42,0.0,0.0,2,0,2026-02-17,0.333333,0,0,0.0,yes,10,2026-02-17,20.71,29.95,0.0,,,0.0,0.0
IJ-V0PQ-4CZ4,30,0.0,0,0.0,,0.0,,,8,8,,,2026-02-17,,,,,,,,,,0.0,8,8,,no,0,2026-02-17,1.97,4.88,0.0,132.571912,-4.483926,,
IM-AYXV-79NJ,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,2.25,4.21,0.0,,,,
JB-RGB6-LZOJ,30,32.0,22,1.454545,,1.454545,,,71,71,2026-01-19,2026-02-09,2026-02-17,30,32.0,0.0,-79.04,0.0,0.0,32,0,2026-02-17,1.454545,71,71,48.81,no,0,2026-02-17,2.47,4.7775,0.0,143.2861,7.321188,0.0,0.0
JH-97NP-GJDG,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,0.78,2.73,0.0,,,,
JL-VTP2-JF3Q,30,1.0,1,1.0,,1.0,,,0,0,2026-01-27,2026-01-27,2026-02-17,30,1.0,0.0,-6.95,0.0,0.0,1,0,2026-02-17,1.0,0,0,0.0,yes,30,2026-02-17,6.95,11.92,0.0,,,0.0,0.0
JV-D1TI-6UF6,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,3.6,7.602857,0.0,,,,
K0-71JR-UNLF,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,2.44,5.58,0.0,,,,
KI-CR51-18J3,30,1.0,1,1.0,,1.0,,,0,0,2026-01-19,2026-01-19,2026-02-17,30,1.0,0.0,-28.2,0.0,0.0,1,0,2026-02-17,1.0,0,0,0.0,yes,30,2026-02-17,28.2,40.412,0.0,,,0.0,0.0
L1-54EX-56YC,30,17.0,24,0.708333,,0.708333,,,5,5,2026-01-21,2026-02-13,2026-02-17,30,17.0,0.0,-90.95,0.0,0.0,17,0,2026-02-17,0.708333,5,5,7.06,yes,16,2026-02-17,5.35,10.275,0.0,3.115265,3.115265,0.0,0.0
L3-ZQ8U-A7LQ,30,71.0,12,5.916667,,5.916667,,,0,0,2026-01-19,2026-01-30,2026-02-17,30,71.0,0.0,-259.1,0.0,0.0,71,0,2026-02-17,5.916667,0,0,0.0,yes,178,2026-02-17,3.645833,7.639398,0.0,,,0.0,0.0
L5-PF3B-WHU4,30,14.0,24,0.583333,,0.583333,,,1,1,2026-01-21,2026-02-13,2026-02-17,30,14.0,0.0,-245.0,0.0,0.0,14,0,2026-02-17,0.583333,1,1,1.71,yes,16,2026-02-17,17.5,29.16,0.0,23.8,23.8,0.0,0.0
