timestamp,check,value
2026-06-10T05:23:55.847924+00:00,tests_present,missing
2026-06-10T05:23:55.847924+00:00,events_last_24h,255
2026-06-10T05:23:55.847924+00:00,recon_mismatch_count,103
2026-06-10T05:23:55.847924+00:00,returned_pending_count,57
