amazon_order_id,purchase_date
406-1515262-6745944,2026-01-23T07:43:00Z
405-4689348-9081153,2026-01-23T10:05:25Z
171-4156688-4630732,2026-01-23T17:59:20Z
408-0036689-3441978,2026-01-25T13:03:34Z
204-8472871-3829923,2026-01-26T08:09:21Z
202-1153414-1961118,2026-01-26T09:10:28Z
203-2385137-7922760,2026-01-26T09:39:29Z
202-4156230-0113930,2026-01-26T10:22:43Z
204-4314462-6716360,2026-01-26T11:07:12Z
206-3150151-4430740,2026-01-26T11:18:06Z
206-8412735-8857155,2026-01-26T11:18:48Z
202-3367830-3229100,2026-01-26T11:20:31Z
206-6826858-6344368,2026-01-26T11:28:02Z
205-2088916-8931568,2026-01-26T11:29:27Z
202-3091508-9157963,2026-01-26T11:36:30Z
206-8845155-5957908,2026-01-26T11:49:46Z
202-8641252-0491547,2026-01-26T12:02:56Z
026-4130285-7181120,2026-01-26T12:42:16Z
026-1496496-3041144,2026-01-26T12:43:23Z
203-5393735-2724346,2026-01-26T12:54:41Z
203-1162146-0256302,2026-01-26T13:10:49Z
205-2988900-5194748,2026-01-26T13:17:24Z
204-1179554-8700342,2026-01-26T13:32:59Z
202-5864549-3611522,2026-01-26T13:40:57Z
204-8545033-7918730,2026-01-26T14:19:43Z
206-6740980-5162737,2026-01-26T14:30:49Z
204-9689045-0120306,2026-01-26T14:31:10Z
206-5563654-8182737,2026-01-26T14:50:23Z
202-3028900-8829912,2026-01-26T14:56:28Z
202-2158890-7960345,2026-01-26T15:03:04Z
203-6261421-8261167,2026-01-26T15:07:25Z
026-6453536-7489123,2026-01-26T15:13:38Z
204-9042035-1901106,2026-01-26T15:16:04Z
026-3464775-1201923,2026-01-26T15:17:26Z
026-4328920-4118732,2026-01-26T15:59:35Z
026-7736888-6961131,2026-01-26T16:10:50Z
026-6511699-9926730,2026-01-26T16:26:59Z
203-0793823-0859555,2026-01-26T16:44:09Z
026-0305232-7223513,2026-01-26T16:44:12Z
205-5408896-3698758,2026-01-26T17:01:06Z
205-9062693-1369167,2026-01-26T17:06:04Z
205-9291722-8729958,2026-01-26T17:08:14Z
202-3430778-0767507,2026-01-26T17:23:51Z
204-8041799-0871558,2026-01-26T17:41:17Z
