sku,lot_id,sent_to_fba,existing_tokens,tokens_created,cost_per_unit,order_date
JV-D1TI-6UF6,JV-D1TI-6UF6-201025-row928,34,0,34,3.6,20/10/25
XH-0LAE-FQO5,XH-0LAE-FQO5-201025-row927,306,0,306,2.9,20/10/25
XG-Z9LW-Z27Q,XG-Z9LW-Z27Q-201025-row925,6,0,6,1.99,20/10/25
79-CPJ6-DSG6,79-CPJ6-DSG6-201025-row924,11,0,11,13.65,20/10/25
4F-HT42-FD26,4F-HT42-FD26-201025-row923,30,0,30,3.33,20/10/25
D7-MGBX-RX2P,D7-MGBX-RX2P-201025-row922,90,0,90,2.43,20/10/25
CY-5VNG-I5M8,CY-5VNG-I5M8-071025-row920,7,0,7,2.22,07/10/25
G8-L8EI-INMK,G8-L8EI-INMK-071025-row919,9,0,9,1.12,07/10/25
XE-YPAI-HX9F,XE-YPAI-HX9F-071025-row918,52,0,52,4.58,07/10/25
NN-TSZ1-X2RD,NN-TSZ1-X2RD-071025-row917,150,0,150,3.79,07/10/25
0G-JB6S-PN34,0G-JB6S-PN34-061025-row916,60,0,60,2.74,06/10/25
2L-M26G-560I,2L-M26G-560I-061025-row915,17,0,17,13.52,06/10/25
D0-C7C0-H6LN,D0-C7C0-H6LN-061025-row914,24,0,24,2.74,06/10/25
I2-6YKQ-CIBP,I2-6YKQ-CIBP-061025-row913,28,0,28,3.96,06/10/25
PY-XV78-3OG5,PY-XV78-3OG5-061025-row912,8,0,8,20.51,06/10/25
3X-EXDD-TD2K,3X-EXDD-TD2K-061025-row911,16,0,16,20.51,06/10/25
ZT-QPY3-P24I,ZT-QPY3-P24I-061025-row910,3,0,3,34.32,06/10/25
L3-ZQ8U-A7LQ,L3-ZQ8U-A7LQ-061025-row909,60,0,60,3.7,06/10/25
DV-USYD-8WR2,DV-USYD-8WR2-061025-row908,2,0,2,20.51,06/10/25
IB-U5FA-BO2Y,IB-U5FA-BO2Y-061025-row907,6,0,6,20.51,06/10/25
714776,714776-061025-row903,6,0,6,1.21,06/10/25
