asin,status,item_name,brand_name,product_type,main_image,upc,ean,gtin,parent_asin,color,size,manufacturer,part_number,model_number,package_weight_value,package_weight_unit,package_length,package_width,package_height,package_dimension_unit,item_length,item_width,item_height,item_dimension_unit,bullet_points,keywords,error
B0012B80HG,200,K/D L.S KITCHEN KNIFE 1000759,,KITCHEN_KNIFE,https://m.media-amazon.com/images/I/412V6V3BO5L.jpg,,5010624437224,05010624437224,,Black,30x8.5x2 cm,Kitchen Devils,,,0.05,kilograms,1.8,7.3,27.8,centimeters,30.0,8.5,2.0,centimeters,,,
B07QQDMJ6M,200,The Army Painter | Hobby: Super Glue,,BONDING_ADHESIVES,https://m.media-amazon.com/images/I/41q1bQa3UxL.jpg,,5713799201408,05713799201408,,White,,The Army Painter,,,0.018,kilograms,2.6924,3.302,9.7028,centimeters,1.3,0.9,3.8,inches,,,
B07RZBBG14,200,"Dragon Shield AT-13201 Standard Size Perfect Fit Sealable (100 Sleeves), clear",,CARD_DOCUMENT_SLEEVE,https://m.media-amazon.com/images/I/71AdFFvfBIL.jpg,,5706569132019,05706569132019,,Cream,Standard Card Size,Dragon Shield,,,0.05,kilograms,1.0922,8.4074,24.4094,centimeters,1.0,1.0,1.0,centimeters,,,
B00BUY54DI,200,Funko POP! Vinyl Alien,,FIGURINE,https://m.media-amazon.com/images/I/810pSZzGBOL.jpg,772223027316,0772223027316,00830395031439,,Multi Color,3.75 inches,Funko,,,0.141,kilograms,9.0932,12.2936,16.3068,centimeters,2.5,2.5,3.75,inches,,,
B005F5TRBI,200,"Croydex White Button Shower Curtain Rings 12pk, 75g, 34F",,CURTAIN_FASTENER,https://m.media-amazon.com/images/I/51nE7RNL3zL.jpg,,5012044060198,05012044060198,,White,75g,Croydex,,,0.04,kilograms,4.5,8.2,18.0,centimeters,5.7,2.8,0.8,inches,,,
B0009JJZ8A,200,"Fackelmann Sieve 15cm⌀, Strainer, Fine Mesh, Stainless Steel, 15x20x32.5cm, Silver",,FOOD_STRAINER,https://m.media-amazon.com/images/I/61+NWXEsooL.jpg,,4008033424400,04008033424400,,Silver,15cm,Fackelmann,,,0.13,kilograms,6.6,15.3,32.6,centimeters,13.6,5.9,2.66,inches,,,
B00LXM3PGK,200,SupaDec Sugar Soap 500ml,,SKIN_CLEANING_AGENT,https://m.media-amazon.com/images/I/51hRuV83wwL.jpg,,5017193008565,,,,500 ml (Pack of 1),Supadec,,,0.56,kilograms,4.6,8.8,20.8,centimeters,211.0,92.0,46.0,millimeters,,,
B0001P0DLU,200,Loctite 319 Rear View Mirror Bonder 0.5ml,,BONDING_ADHESIVES,https://m.media-amazon.com/images/I/41tr8w9s-uL.jpg,,5010266168227,05010266168227,,Clear,1 - Pack,Henkel,,,0.01,kilograms,1.0,9.8,16.3,centimeters,5.0,2.0,3.0,centimeters,,,
B0CL5DHG37,200,CoComelon Children's Toothpaste 75ml | Strawberry Flavour | 1000ppm Fluoride Toothpaste for Kids | Sugar Free | Suitable for Ages 3+ | Award-Winning,,TOOTH_CLEANING_AGENT,https://m.media-amazon.com/images/I/71KGOVc14aL.jpg,,5060228458170,,,,74 ml (Pack of 1),Kokomo Studio,,,0.11,kilograms,3.3,5.1,14.1,centimeters,,,,,,,
B0073TTHBY,200,Casio Gents 43.00mm Quartz Watch with Black Analogue dial and Black Rubber Strap Strap MRW-200H-1BVES,,WATCH,https://m.media-amazon.com/images/I/51csnj1sKhL.jpg,,4971850965022,04971850965022,,Black/Red,47.9 x 44.6 x11.6 mm,Casio,,,0.141,kilograms,7.1882,8.6106,10.8966,centimeters,3.54,3.35,2.56,inches,,,
B0913SVFD3,200,"LEXIBOOK Paw Patrol - Educational and Bilingual Laptop Spanish/English - Toy for Child Kid (Boys & Girls), 124 Activities, Learn Play Games and Music with Chase Marshall - Red/Blue, JC598PAi2",,ELECTRONIC_LEARNING_TOY,https://m.media-amazon.com/images/I/71F0QLGRvxL.jpg,,3380743085647,03380743088884,,Red / Blue,24 x 18 x 3.6 inches,Lexibook,,,0.812,kilograms,4.8006,25.7048,33.782,centimeters,24.0,18.0,3.6,inches,,,
B093FQYQJH,200,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",,TOOTHBRUSH,https://m.media-amazon.com/images/I/71yrMGjLEcL.jpg,,7612412428964,07612412428964,,Random,1 count (Pack of 1),Curaprox,,,0.03,kilograms,2.4,5.8,22.4,centimeters,224.0,60.0,23.0,millimeters,,,
B000X2F4II,200,"Tacwise 0283 Type 91 / 15 mm Galvanised Narrow Crown Staples, Pack of 1",,HARDWARE_STAPLE,https://m.media-amazon.com/images/I/71vMdhSu9QL.jpg,616268318032,0616268318032,05018505103084,,Silver,15mm,0283,,,0.205,kilograms,2.5,6.8,11.4,centimeters,13.0,6.6,2.1,centimeters,,,
B0CJ8TNZ67,200,"LEXIBOOK, Disney Stitch, Nightlight alarm clock, Sounds and Melodies, LCD Backlit screen, Luminous, Snooze, Blue, RL800D",,CLOCK,https://m.media-amazon.com/images/I/71q5c0llSXL.jpg,,3380743102139,03380743102139,,Blue,One Size,Lexibook,,,0.44,kilograms,10.8,30.9,33.7,centimeters,13.5,1.5,18.2,centimeters,,,
B075XT2J8X,200,Kingfisher Natural Toothpaste Charcoal Mint Fluoride-Free | Vegetarian & Vegan | Oral Health Foundation Approved | Gluten-Free & GM-Free | Ethical Consumer Best Buy | 1x100ml Tube,,TOOTH_CLEANING_AGENT,https://m.media-amazon.com/images/I/41t3WZE2qgL.jpg,,5016912212924,,,,56 g (Pack of 1),Kingfisher,,,0.17,kilograms,3.9,7.7,19.0,centimeters,11.0,11.0,11.0,centimeters,,,
B08P63MSS9,200,The Cheeky Panda Bamboo Facial Make Up Remover Wipes | Sustainable Face Wipes Eye Makeup Remover | Rose Scented Pack of 25 Face Wipes | 99% Purified Water,,SKIN_CLEANING_WIPE,https://m.media-amazon.com/images/I/61PcNhdtKxL.jpg,,5060561630790,05060561630790,,White,25 count (Pack of 1),The Cheeky Panda Limited,,,0.19,kilograms,3.9,8.5,13.8,centimeters,8.0,4.0,12.0,centimeters,,,
B0C9J86XCZ,200,Groov-e Geneva Rechargeable DAB & FM Digital Radio - Built-In Alarm Clock & Bluetooth Connectivity - LCD Display - USB or Battery Operated - Portable Radio - 80 Preset Stations - Black,,RADIO,https://m.media-amazon.com/images/I/61aNB0JOklL.jpg,,5060108297486,,,Black,,Groov-e,,,0.198,kilograms,3.4,7.6,16.0,centimeters,16.0,16.0,3.0,centimeters,,,
B08KFFY86W,200,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between the Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",,TOOTHBRUSH,https://m.media-amazon.com/images/I/71ZzMuWswEL.jpg,,7317400024011,07317400024011,,3. Purple - XL,36 count (Pack of 1),TePe,,,0.03,kilograms,1.4,7.1,15.4,centimeters,14.0,79.0,164.0,millimeters,,,
B07L8N2TC1,200,"Masterplug Heavy Duty Single Socket Trailing Socket, without Plug and Cable, White",,POWER_STRIP,https://m.media-amazon.com/images/I/61ZO8Mqg75L.jpg,,5015056351704,05015056351704,,White,Single Socket - Trailing Socket,Masterplug,,,0.07,kilograms,3.2,5.8,9.1,centimeters,3.3,6.0,9.0,centimeters,,,
B004J71OSC,200,"Curaprox CS 5460 Ortho (Sortiert), Pack of 1 Unit",,TOOTHBRUSH,https://m.media-amazon.com/images/I/61riqi4-RbL.jpg,,4150077507738,07612412700077,,"Blue, Yellow",1 count (Pack of 1),Curaprox,,,0.02,kilograms,1.4,4.1,22.3,centimeters,224.0,41.0,16.0,millimeters,,,
