asof_utc,sku,order_id,order_date_utc,candidate_price_gbp,vat_rate_market,cogs_total_gbp,fba_total_gbp,commission_total_gbp,digital_fee_total_gbp,fixed_total_gbp,break_even_total_gbp,temp_floor_10roi_gbp,source_script
2026-02-16T11:44:50Z,HO-LSOY-8R05,205-6841374-8633101,2026-02-15T10:30:33Z,34.99,0.199931,20.88,3.29,6.30,0.13,0.00,30.60,32.69,H110_run_phase1_h_pilot
2026-02-16T11:44:50Z,JB-RGB6-LZOJ,206-0030846-7429913,2026-02-09T15:27:04Z,6.15,0.201172,2.96,1.75,0.96,0.06,0.00,5.73,6.03,H110_run_phase1_h_pilot
2026-02-16T11:44:50Z,L1-54EX-56YC,202-0761583-5266767,2026-02-13T15:46:45Z,14.30,0.199664,6.42,3.66,2.58,0.12,0.00,12.78,13.42,H110_run_phase1_h_pilot
2026-02-16T11:44:50Z,L3-ZQ8U-A7LQ,205-8867423-2615509,2026-01-29T15:17:05Z,9.98,0.199519,4.44,1.75,1.80,0.07,0.00,8.06,8.51,H110_run_phase1_h_pilot
2026-02-16T11:44:50Z,L5-PF3B-WHU4,204-3804007-8321930,2026-02-13T17:09:31Z,39.99,0.200180,21.00,3.86,7.20,0.22,0.00,32.28,34.38,H110_run_phase1_h_pilot
2026-02-16T11:44:50Z,NN-TSZ1-X2RD,202-4041842-1879543,2026-02-07T22:39:28Z,7.28,0.199341,4.55,1.80,0.70,0.05,0.00,7.10,7.56,H110_run_phase1_h_pilot
2026-02-16T11:44:50Z,PE-G94Y-4PYO,203-3035643-7261133,2026-02-11T09:35:17Z,8.36,0.199426,3.43,3.30,1.31,0.09,0.00,8.13,8.47,H110_run_phase1_h_pilot
2026-02-16T11:44:50Z,R7-98IN-2PW8,026-8732822-1329903,2026-02-02T21:36:02Z,5.83,0.199588,3.00,1.80,0.56,0.05,0.00,5.41,5.71,H110_run_phase1_h_pilot
2026-02-16T11:44:50Z,RI-VSUS-0YTD,204-8762095-7047554,2026-02-04T10:33:01Z,7.25,0.200331,1.98,3.30,0.70,0.08,0.00,6.06,6.26,H110_run_phase1_h_pilot
2026-02-16T11:44:50Z,SU-5LQH-2DVN,205-8574322-9764308,2026-02-12T12:44:33Z,8.02,0.200599,2.63,3.03,1.25,0.09,0.00,7.00,7.26,H110_run_phase1_h_pilot
2026-02-16T11:44:50Z,T8-6UWL-I3E1,203-1049844-4620351,2026-02-09T15:32:16Z,4.21,0.199430,1.78,2.88,0.66,0.07,0.00,5.39,5.57,H110_run_phase1_h_pilot
2026-02-16T11:44:50Z,VF-3T0K-DR5O,205-9765439-0745140,2026-02-14T13:38:38Z,5.35,0.199552,2.46,1.80,0.52,0.05,0.00,4.83,5.08,H110_run_phase1_h_pilot
2026-02-16T11:44:50Z,VU-8KRA-QP5M,205-0025833-3273113,2026-02-12T20:15:00Z,12.88,0.200373,5.18,3.18,2.32,0.11,0.00,10.79,11.31,H110_run_phase1_h_pilot
2026-02-16T11:44:50Z,WX-L5UA-UB1Q,202-9337824-8445123,2026-02-15T22:06:47Z,5.55,0.201299,2.06,1.83,0.86,0.05,0.00,4.80,5.01,H110_run_phase1_h_pilot
2026-02-16T11:44:50Z,YO-EKK2-FRCC,205-0112456-6755516,2026-02-14T12:02:56Z,6.42,0.200000,2.86,2.90,0.61,0.07,0.00,6.44,6.73,H110_run_phase1_h_pilot
2026-02-16T11:44:50Z,Z7-26PV-O9LR,204-5619412-2478742,2026-02-13T22:24:28Z,8.79,0.200820,5.04,1.92,0.84,0.06,0.00,7.86,8.36,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,2G-AYBQ-TUQG,203-2042822-3609910,2026-02-07T22:49:41Z,17.80,0.200000,11.90,3.32,3.20,0.13,0.00,18.55,19.74,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,4U-9ZL6-9G0Y,204-7060285-7600304,2026-02-08T01:11:13Z,7.00,0.200686,1.81,3.29,1.13,0.08,0.00,6.31,6.49,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,6V-EEC1-2S9Z,205-2544929-8705952,2026-02-15T19:01:42Z,7.99,0.200000,3.24,1.94,1.25,0.06,0.00,6.49,6.81,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,714810,203-5888264-1984365,2026-02-15T19:31:23Z,9.99,0.200721,1.93,3.24,1.80,0.07,0.00,7.04,7.23,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,7M-48OU-23X3,202-0536081-2855504,2026-02-13T14:05:04Z,17.99,0.200133,10.93,3.24,3.24,0.06,0.00,17.47,18.56,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,8M-LM6B-F2Q5,204-1899094-4794737,2026-02-14T15:51:13Z,4.89,0.200000,2.45,1.80,0.77,0.05,0.00,5.07,5.31,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,8M-NHB7-T8TR,204-8108407-0881108,2026-02-13T16:16:23Z,29.99,0.000000,18.31,3.13,5.40,0.18,0.00,27.02,28.85,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,A2-T2AC-TW3L,202-7753002-8341166,2026-02-15T16:54:41Z,11.18,0.200000,6.49,3.02,1.74,0.10,0.00,11.35,12.00,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,BQ-O3OI-FTJU,204-8041799-0871558,2026-01-26T17:41:17Z,24.99,0.000000,7.80,2.16,4.50,0.14,0.00,14.60,15.38,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,C6-XGZB-J6QA,205-5214464-4604314,2026-02-10T20:07:08Z,6.60,0.000000,3.30,3.29,0.64,0.01,0.00,7.24,7.57,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,D0-C7C0-H6LN,202-3559192-7032342,2026-02-10T16:27:22Z,9.85,0.200000,3.95,3.18,0.95,0.08,0.00,8.16,8.56,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,D2-8SPY-Q095,205-8486802-7255544,2026-02-06T19:28:02Z,9.70,0.000000,2.90,3.10,1.74,0.11,0.00,7.85,8.14,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,DC-K5WH-R7F5,206-0387914-5853126,2026-02-15T09:26:37Z,3.00,0.000000,0.82,1.46,0.30,0.04,0.00,2.62,2.70,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,EV-CHU5-XU3G,204-2298444-3148303,2026-02-13T21:21:57Z,7.49,0.200000,3.94,1.92,1.16,0.06,0.00,7.08,7.47,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,GH-PONH-K4WQ,202-4526104-8757133,2026-02-03T20:06:07Z,11.64,0.200000,5.45,2.04,2.10,0.10,0.00,9.69,10.24,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,GJ-2OZK-0GCA,204-8738350-3781937,2026-02-08T23:04:20Z,39.99,0.200000,25.20,3.77,7.20,0.22,0.00,36.39,38.91,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,H4-86XG-NLX6,205-0913546-8200312,2026-02-12T11:53:59Z,19.99,0.200000,4.68,3.71,3.60,0.14,0.00,12.13,12.60,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,HO-LSOY-8R05,205-6841374-8633101,2026-02-15T10:30:33Z,34.99,0.199931,25.05,3.29,6.30,0.13,0.00,34.77,37.28,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,JB-RGB6-LZOJ,206-0030846-7429913,2026-02-09T15:27:04Z,6.15,0.200000,3.55,1.75,0.96,0.06,0.00,6.32,6.67,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,L1-54EX-56YC,202-0761583-5266767,2026-02-13T15:46:45Z,14.30,0.000000,6.42,3.05,2.58,0.12,0.00,12.17,12.81,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,L3-ZQ8U-A7LQ,205-8867423-2615509,2026-01-29T15:17:05Z,9.98,0.000000,4.44,1.46,1.80,0.07,0.00,7.77,8.22,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,L5-PF3B-WHU4,204-3804007-8321930,2026-02-13T17:09:31Z,39.99,0.200000,25.20,3.86,7.20,0.22,0.00,36.48,39.00,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,NN-TSZ1-X2RD,202-4041842-1879543,2026-02-07T22:39:28Z,7.28,0.000000,4.55,1.50,0.70,0.05,0.00,6.80,7.26,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,PE-G94Y-4PYO,203-3035643-7261133,2026-02-11T09:35:17Z,8.36,0.200000,4.12,3.30,1.31,0.09,0.00,8.82,9.23,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,R7-98IN-2PW8,026-8732822-1329903,2026-02-02T21:36:02Z,5.83,0.000000,3.00,1.50,0.56,0.05,0.00,5.11,5.41,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,RI-VSUS-0YTD,204-8762095-7047554,2026-02-04T10:33:01Z,7.25,0.200000,2.38,3.30,0.70,0.08,0.00,6.46,6.70,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,SU-5LQH-2DVN,205-8574322-9764308,2026-02-12T12:44:33Z,8.02,0.200000,3.16,3.02,1.25,0.09,0.00,7.52,7.83,H110_run_phase1_h_pilot
2026-02-16T11:58:32Z,T8-6UWL-I3E1,203-1049844-4620351,2026-02-09T15:32:16Z,4.21,0.200000,2.14,2.88,0.66,0.07,0.00,5.75,5.96,H110_run_phase1_h_pilot
