Unnamed: 0,Unnamed: 1,SKU,Name,Asin,Supplier,Supply Code,Cost PU,Order Date,Ordered,Delivered,Sent to FBA,Due,31/10/2025,0,Test,Input,To ship,Unnamed: 18,OrderKey
,,L5-PF3B-WHU4,"Promixx Pro Shaker Bottle - Refillable, Powerful for Smooth Protein Shakes - Includes Extra Storage - BPA Free, Tumbler 600ml (Silver White/Grey)",B09LDDFK4R,Tropicana Wholesale,MIX025,,04/08/25,11,11,11,0,11/08/2025,0,FALSE,,,,19e83787-a6bd-433f-9ec8-63a4a4a8a40b
,,GJ-2OZK-0GCA,Promixx PRO Electric Protein Shaker Bottle,B0CS3VF4GK,Tropicana Wholesale,MIX024,,04/08/25,9,9,9,0,,,FALSE,,,,f8d44965-8bda-43ef-bf43-cfa6ac42f87b
,,EE-KTDC-KCFY,Crucial USB Adapter USB-C to USB-A CTUSBCFUSBAMAD,B08FSDMVNP,TD Synnex,6302977,,10/11/25,30,30,30,0,14/11/2025,0,FALSE,,,,e1a3bd5d-98de-499c-9bca-861c403d7d0d
