asin,fnsku,product_name,fulfillment_center,country_code,longest_side,median_side,shortest_side,measurement_units,weight,weight_units,item_volume,volume_units,product_size_tier,average_quantity_on_hand,average_quantity_pending_removal,estimated_total_item_volume,month_of_charge,storage_utilization_ratio,storage_utilization_ratio_units,base_rate,utilization_surcharge_rate,avg_qty_for_sus,est_vol_for_sus,est_base_msf,est_sus,currency,estimated_monthly_storage_fee,category,eligible_for_inventory_discount,qualifies_for_inventory_discount,total_incentive_fee_amount,breakdown_incentive_fee_amount,average_quantity_customer_orders
B08W25WKTN,X0024EBXZJ,LEXIBOOK - Paw Patrol - Cordless Mini Bedside Lamp and Nightlight Paw Patrol - Blue - MLT10PA,'MAN1',GB,19.1,10.2,10.0,centimeters,0.16,kilograms,0.0688,cubic feet,Standard-Size,1.0,0.0,0.0688,2025-12,8.5,weeks,1.37,0.0,1.0,0.0688,0.0943,0.0,GBP,0.0943,Others,N,N,0.0,--,0.0
B00F4LA0K0,X0028A4KS1,"Chef Aid Cocktail Sticks, Pack of 200 Stick perfect for Buffets and Cocktails use, The Skewer design helps hold sweet and savoury foods, Each cocktails stick measures 8 cm",'MAN1',GB,14.6,8.9,1.4,centimeters,0.04,kilograms,0.0064,cubic feet,Standard-Size,1.0,0.0,0.0064,2025-12,8.5,weeks,1.37,0.0,1.0,0.0064,0.0088,0.0,GBP,0.0088,Others,N,N,0.0,--,0.0
B093FQYQJH,X00293I5FB,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",'MAN1',GB,22.4,5.9,2.4,centimeters,0.03,kilograms,0.0112,cubic feet,Standard-Size,0.13,0.0,0.0011,2025-12,8.5,weeks,1.37,0.0,0.03,4.0E-4,0.0015,0.0,GBP,0.0015,Others,N,N,0.0,--,0.03
B08WPCW7TH,X0029FM4IN,"Moo Free White Chocolate Bars - Dairy Free, Gluten Free & Vegan (20g)",'MAN1',GB,14.0,4.0,0.5,centimeters,0.02,kilograms,0.001,cubic feet,Standard-Size,4.0,0.0,0.004,2025-12,8.5,weeks,1.37,0.0,4.0,0.004,0.0054,0.0,GBP,0.0054,Others,N,N,0.0,--,0.0
9188805646,X0029FM6EP,"Free League Publishing MÖRK Borg (Fantasy OSR RPG, Hardback, Full Color",'MAN1',GB,21.7,15.6,1.4,centimeters,0.39,kilograms,0.0167,cubic feet,Standard-Size,0.94,0.0,0.0146,2025-12,8.5,weeks,1.37,0.0,0.45,0.0076,0.02,0.0,GBP,0.02,Others,N,N,0.0,--,0.06
B005F5TRBI,X002AFJNZT,"Croydex White Button Shower Curtain Rings 12pk, 75g, 34F",'MAN1',GB,18.0,8.2,4.5,centimeters,0.04,kilograms,0.0235,cubic feet,Standard-Size,1.0,0.0,0.0235,2025-12,8.5,weeks,1.37,0.0,1.0,0.0235,0.0321,0.0,GBP,0.0321,Others,N,N,0.0,--,0.0
B09445GL1C,X002BA017H,"Price's - Time for You Large Jar Candle - Sweet, Delicious Fragrance - Long Lasting Scent - Up to 100 Hour Burn Time - Ideal for All Occasions",'MAN1',GB,23.2,16.6,11.9,centimeters,1.01,kilograms,0.1618,cubic feet,Standard-Size,7.58,0.0,1.2217,2025-12,8.5,weeks,1.37,0.0,7.55,1.2217,1.6695,0.0,GBP,1.6695,Others,N,N,0.0,--,0.03
B002BX8ZFG,X002DZYN47,"Fackelmann OPAL Pizza Wheel, Pizza Cutter & Slicer, Super Sharp Blade, Stainless Steel, 18.5x5x1.2cm, Silver",'MAN1',GB,17.2,11.9,1.5,centimeters,0.07,kilograms,0.0108,cubic feet,Standard-Size,3.0,0.0,0.0325,2025-12,8.5,weeks,1.37,0.0,3.0,0.0325,0.0446,0.0,GBP,0.0446,Others,N,N,0.0,--,0.0
B07RZBBG14,X002F5VV0T,"Dragon Shield AT-13201 Standard Size Perfect Fit Sealable (100 Sleeves), clear",'MAN1',GB,24.7,8.5,1.2,centimeters,0.08,kilograms,0.0089,cubic feet,Standard-Size,1.84,0.0,0.0164,2025-12,8.5,weeks,0.75,0.0,1.84,0.0164,0.01,0.0,GBP,0.01,shoes & bags,N,N,0.0,--,0.0
B007R2ICTK,X002057DE7,"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106)",'MAN2',GB,14.0,4.2,2.4,centimeters,0.06,kilograms,0.005,cubic feet,Standard-Size,4.39,0.0,0.0217,2025-12,--,--,1.18,0.0,0.0,0.0,0.0,0.0,GBP,0.03,Others,N,N,0.0,--,0.03
B07BC1CMDK,X00218D0YF,"Amtech V4075 P240 Hook and Loop Orbital Sanding Sheets, 10 Piece Set, 115mm Diameter Sanding Paper",'MAN2',GB,15.9,12.0,1.0,centimeters,0.06,kilograms,0.0067,cubic feet,Standard-Size,1.0,0.0,0.0067,2025-12,8.5,weeks,1.37,0.0,1.0,0.0067,0.0093,0.0,GBP,0.0093,Others,N,N,0.0,--,0.0
B001Q77TI2,X0021O4AW5,"Ultra Pro 81181 3"" x 4"" Clear Thick 55PT Toploaders (25ct)",'MAN2',GB,10.8,8.2,5.5,centimeters,0.2,kilograms,0.0172,cubic feet,Standard-Size,0.52,0.0,0.0083,2025-12,8.5,weeks,1.37,0.0,0.23,0.0039,0.0115,0.0,GBP,0.0115,Others,N,N,0.0,--,0.03
B07J9JGZZV,X0022RICEN,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical),'MAN2',GB,18.0,5.0,2.4,centimeters,0.04,kilograms,0.0076,cubic feet,Standard-Size,1.1,0.0,0.0084,2025-12,8.5,weeks,1.37,0.0,1.1,0.0084,0.0115,0.0,GBP,0.0115,Others,N,N,0.0,--,0.0
B08MW8XMNQ,X0022RQT3T,Piksters Eco Charcoal 30 Floss Picks - Pack of 1,'MAN2',GB,9.6,6.6,1.9,centimeters,0.04,kilograms,0.0043,cubic feet,Standard-Size,1.0,0.0,0.0043,2025-12,8.5,weeks,1.37,0.0,1.0,0.0043,0.0059,0.0,GBP,0.0059,Others,N,N,0.0,--,0.0
B0073TTHBY,X0022WK51L,Casio Gents 43.00mm Quartz Watch with Black Analogue dial and Black Rubber Strap Strap MRW-200H-1BVES,'MAN2',GB,9.4,9.2,6.4,centimeters,0.1,kilograms,0.0195,cubic feet,Standard-Size,1.0,0.0,0.0195,2025-12,8.5,weeks,1.37,0.0,1.0,0.0195,0.027,0.0,GBP,0.027,Others,N,N,0.0,--,0.0
B002HY4YSQ,X0023ISNDV,Kitchen Devils Lifestyle Peeler Parer Knife 602001,'MAN2',GB,27.2,8.4,1.7,centimeters,0.06,kilograms,0.0137,cubic feet,Standard-Size,0.26,0.0,0.0035,2025-12,8.5,weeks,1.37,0.0,0.0,0.0,0.0049,0.0,GBP,0.0049,Others,N,N,0.0,--,0.0
B00F4LA0K0,X0028A4KS1,"Chef Aid Cocktail Sticks, Pack of 200 Stick perfect for Buffets and Cocktails use, The Skewer design helps hold sweet and savoury foods, Each cocktails stick measures 8 cm",'MAN2',GB,14.6,8.9,1.4,centimeters,0.04,kilograms,0.0064,cubic feet,Standard-Size,1.0,0.0,0.0064,2025-12,8.5,weeks,1.37,0.0,1.0,0.0064,0.0089,0.0,GBP,0.0089,Others,N,N,0.0,--,0.0
B002KFZKZ8,X0028QJ2XX,"Zyliss E46145 Strongboy 2 Jar Opener, Plastic/Metal, White, Adjustable Grip to Open Opens Jar/Bottle Lids/Caps",'MAN2',GB,30.1,8.8,4.1,centimeters,0.17,kilograms,0.0384,cubic feet,Standard-Size,12.0,0.0,0.4602,2025-12,8.5,weeks,1.37,0.0,12.0,0.4602,0.6325,0.0,GBP,0.6325,Others,N,N,0.0,--,0.0
B093FQYQJH,X00293I5FB,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",'MAN2',GB,22.4,5.9,2.4,centimeters,0.03,kilograms,0.0112,cubic feet,Standard-Size,0.1,0.0,0.0011,2025-12,8.5,weeks,1.37,0.0,0.0,0.0,0.0015,0.0,GBP,0.0015,Others,N,N,0.0,--,0.0
B005F5TRBI,X002AFJNZT,"Croydex White Button Shower Curtain Rings 12pk, 75g, 34F",'MAN2',GB,18.0,8.2,4.5,centimeters,0.04,kilograms,0.0235,cubic feet,Standard-Size,1.0,0.0,0.0235,2025-12,8.5,weeks,1.37,0.0,1.0,0.0235,0.0324,0.0,GBP,0.0324,Others,N,N,0.0,--,0.0
B07F1MFWV1,X002BG3AK1,"Skinny Food Co Salted Caramel Zero Calorie Syrup 425ml - Sugar Free Salted Caramel Syrup For Snacks, Drinks & Desserts - Vegan, Gluten-free, Keto & Paleo Friendly Caramel Syrup - Salted Caramel Syrup",'MAN2',GB,16.4,9.0,5.4,centimeters,0.47,kilograms,0.0281,cubic feet,Standard-Size,1.0,0.0,0.0281,2025-12,8.5,weeks,1.37,0.0,1.0,0.0281,0.0388,0.0,GBP,0.0388,Others,N,N,0.0,--,0.0
B07H2WXMDJ,X002C5IRB3,"Skinny Food Co Sugar Free Maple Syrup 425ml - Zero Calorie Syrup For Breakfast, Snacks, Drinks & Desserts - Vegan, Gluten-free, Keto & Paleo Friendly Maple Syrup - Sugar Free Maple Syrup UK",'MAN2',GB,16.3,9.0,5.4,centimeters,0.47,kilograms,0.028,cubic feet,Standard-Size,1.0,0.0,0.028,2025-12,8.5,weeks,1.37,0.0,0.35,0.0099,0.0386,0.0,GBP,0.0386,Others,N,N,0.0,--,0.0
B0012B80HG,X002CJPDFR,"Kitchen Devils S8602003 Lifestyle Kitchen Knife, Black, 30x8.5x2 cm",'MAN2',GB,28.1,7.4,1.7,centimeters,0.05,kilograms,0.0125,cubic feet,Standard-Size,1.0,0.0,0.0125,2025-12,8.5,weeks,1.37,0.0,1.0,0.0125,0.0172,0.0,GBP,0.0172,Others,N,N,0.0,--,0.0
B0D3J9M2H8,X002E028OX,"OtterBox Symmetry Folio Case for iPad Air 13-Inch (2024 M2, 2025 M3), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Black",'MAN2',GB,31.6,22.4,1.8,centimeters,0.55,kilograms,0.045,cubic feet,Standard-Size,0.29,0.0,0.0116,2025-12,8.5,weeks,0.75,0.0,0.26,0.0116,0.0085,0.0,GBP,0.0085,shoes & bags,N,N,0.0,--,0.03
B07RZBBG14,X002F5VV0T,"Dragon Shield AT-13201 Standard Size Perfect Fit Sealable (100 Sleeves), clear",'MAN2',GB,24.7,8.5,1.2,centimeters,0.08,kilograms,0.0089,cubic feet,Standard-Size,12.48,0.0,0.1111,2025-12,8.5,weeks,0.75,0.0,12.48,0.1111,0.0815,0.0,GBP,0.0815,shoes & bags,N,N,0.0,--,0.0
B00WI8O0RG,X001YC1PPF,100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm,'MAN3',GB,14.2,11.6,1.8,centimeters,0.11,kilograms,0.0105,cubic feet,Standard-Size,4.1,0.0,0.0422,2025-12,8.5,weeks,1.37,0.0,4.03,0.0422,0.0578,0.0,GBP,0.0578,Others,N,N,0.0,--,0.06
B007R2ICTK,X002057DE7,"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106)",'MAN3',GB,14.0,4.2,2.4,centimeters,0.06,kilograms,0.005,cubic feet,Standard-Size,1.94,0.0,0.0096,2025-12,--,--,1.18,0.0,0.0,0.0,0.0,0.0,GBP,0.01,Others,N,N,0.0,--,0.0
B07BC1CMDK,X00218D0YF,"Amtech V4075 P240 Hook and Loop Orbital Sanding Sheets, 10 Piece Set, 115mm Diameter Sanding Paper",'MAN3',GB,15.9,12.0,1.0,centimeters,0.06,kilograms,0.0067,cubic feet,Standard-Size,2.0,0.0,0.0135,2025-12,8.5,weeks,1.37,0.0,2.0,0.0135,0.0185,0.0,GBP,0.0185,Others,N,N,0.0,--,0.0
B010E25DI2,X0021K11U3,100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm,'MAN3',GB,18.3,11.6,1.6,centimeters,0.11,kilograms,0.012,cubic feet,Standard-Size,0.68,0.0,0.0081,2025-12,8.5,weeks,1.37,0.0,0.61,0.0074,0.0111,0.0,GBP,0.0111,Others,N,N,0.0,--,0.0
B001Q77TI2,X0021O4AW5,"Ultra Pro 81181 3"" x 4"" Clear Thick 55PT Toploaders (25ct)",'MAN3',GB,10.8,8.2,5.5,centimeters,0.2,kilograms,0.0172,cubic feet,Standard-Size,0.58,0.0,0.01,2025-12,8.5,weeks,1.37,0.0,0.45,0.0078,0.0137,0.0,GBP,0.0137,Others,N,N,0.0,--,0.0
B01N31JDVX,X0022WD3O7,"Anniversary House Colourful Pink Glitter Candle, Number 7, 7th Birthday Cake Topper, 7 Centimeters, AHC80/7",'MAN3',GB,15.3,7.4,1.3,centimeters,0.02,kilograms,0.0052,cubic feet,Standard-Size,0.03,0.0,2.0E-4,2025-12,8.5,weeks,1.37,0.0,0.03,2.0E-4,2.0E-4,0.0,GBP,2.0E-4,Others,N,N,0.0,--,0.0
B0073TTHBY,X0022WK51L,Casio Gents 43.00mm Quartz Watch with Black Analogue dial and Black Rubber Strap Strap MRW-200H-1BVES,'MAN3',GB,9.4,9.2,6.4,centimeters,0.1,kilograms,0.0195,cubic feet,Standard-Size,1.0,0.0,0.0195,2025-12,8.5,weeks,1.37,0.0,1.0,0.0195,0.0268,0.0,GBP,0.0268,Others,N,N,0.0,--,0.0
B002HY4YSQ,X0023ISNDV,Kitchen Devils Lifestyle Peeler Parer Knife 602001,'MAN3',GB,27.2,8.4,1.7,centimeters,0.06,kilograms,0.0137,cubic feet,Standard-Size,0.06,0.0,9.0E-4,2025-12,8.5,weeks,1.37,0.0,0.0,0.0,0.0012,0.0,GBP,0.0012,Others,N,N,0.0,--,0.0
B08W25WKTN,X0024EBXZJ,LEXIBOOK - Paw Patrol - Cordless Mini Bedside Lamp and Nightlight Paw Patrol - Blue - MLT10PA,'MAN3',GB,19.1,10.2,10.0,centimeters,0.16,kilograms,0.0688,cubic feet,Standard-Size,0.68,0.0,0.0466,2025-12,8.5,weeks,1.37,0.0,0.68,0.0466,0.0639,0.0,GBP,0.0639,Others,N,N,0.0,--,0.0
B004I2N5AS,X0025MV6P7,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red,'MAN3',GB,12.5,7.6,0.9,centimeters,0.01,kilograms,0.003,cubic feet,Standard-Size,21.0,0.0,0.0634,2025-12,8.5,weeks,1.37,0.0,21.0,0.0634,0.0869,0.0,GBP,0.0869,Others,N,N,0.0,--,0.0
B00F4LA0K0,X0028A4KS1,"Chef Aid Cocktail Sticks, Pack of 200 Stick perfect for Buffets and Cocktails use, The Skewer design helps hold sweet and savoury foods, Each cocktails stick measures 8 cm",'MAN3',GB,14.6,8.9,1.4,centimeters,0.04,kilograms,0.0064,cubic feet,Standard-Size,1.0,0.0,0.0064,2025-12,8.5,weeks,1.37,0.0,1.0,0.0064,0.0088,0.0,GBP,0.0088,Others,N,N,0.0,--,0.0
B086ZD7MG6,X00293G0VR,Curaprox CPS 07 Prime Start Interdental Brush Set |Starter Set with 5 Brushes |2 Different Holders |Red | 0.7 mm Diameter |2.5 mm Effectiveness | Made in Switzerland,'MAN3',GB,15.0,6.0,1.4,centimeters,0.03,kilograms,0.0044,cubic feet,Standard-Size,0.1,0.0,4.0E-4,2025-12,8.5,weeks,1.37,0.0,0.0,0.0,6.0E-4,0.0,GBP,6.0E-4,Others,N,N,0.0,--,0.0
B093FQYQJH,X00293I5FB,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",'MAN3',GB,22.4,5.9,2.4,centimeters,0.03,kilograms,0.0112,cubic feet,Standard-Size,0.1,0.0,0.0011,2025-12,8.5,weeks,1.37,0.0,0.0,0.0,0.0015,0.0,GBP,0.0015,Others,N,N,0.0,--,0.0
B08WPCW7TH,X0029FM4IN,"Moo Free White Chocolate Bars - Dairy Free, Gluten Free & Vegan (20g)",'MAN3',GB,14.0,4.0,0.5,centimeters,0.02,kilograms,0.001,cubic feet,Standard-Size,1.0,0.0,0.001,2025-12,8.5,weeks,1.37,0.0,1.0,0.001,0.0014,0.0,GBP,0.0014,Others,N,N,0.0,--,0.0
B07BLX7YG9,X0029NC4AD,"Lexibook PAW Patrol Helper on Four Paws Chase LED Night Light for Kids, Color Changing, Soft Light, Batteries, Plastic, Blue/Beige, NLJ001PA1, Multicolor, 13, Colour Change",'MAN3',GB,14.4,10.2,9.7,centimeters,0.13,kilograms,0.0503,cubic feet,Standard-Size,0.03,0.0,0.0016,2025-12,8.5,weeks,1.37,0.0,0.03,0.0016,0.0022,0.0,GBP,0.0022,Others,N,N,0.0,--,0.0
B09445GL1C,X002BA017H,"Price's - Time for You Large Jar Candle - Sweet, Delicious Fragrance - Long Lasting Scent - Up to 100 Hour Burn Time - Ideal for All Occasions",'MAN3',GB,23.2,16.6,11.9,centimeters,1.01,kilograms,0.1618,cubic feet,Standard-Size,1.0,0.0,0.1618,2025-12,8.5,weeks,1.37,0.0,1.0,0.1618,0.2217,0.0,GBP,0.2217,Others,N,N,0.0,--,0.0
B07H2WXMDJ,X002C5IRB3,"Skinny Food Co Sugar Free Maple Syrup 425ml - Zero Calorie Syrup For Breakfast, Snacks, Drinks & Desserts - Vegan, Gluten-free, Keto & Paleo Friendly Maple Syrup - Sugar Free Maple Syrup UK",'MAN3',GB,16.3,9.0,5.4,centimeters,0.47,kilograms,0.028,cubic feet,Standard-Size,12.0,0.0,0.3357,2025-12,8.5,weeks,1.37,0.0,4.23,0.1182,0.4565,0.0,GBP,0.4565,Others,N,N,0.0,--,0.0
B0012B80HG,X002CJPDFR,"Kitchen Devils S8602003 Lifestyle Kitchen Knife, Black, 30x8.5x2 cm",'MAN3',GB,28.1,7.4,1.7,centimeters,0.05,kilograms,0.0125,cubic feet,Standard-Size,0.32,0.0,0.004,2025-12,8.5,weeks,1.37,0.0,0.32,0.004,0.0055,0.0,GBP,0.0055,Others,N,N,0.0,--,0.0
B08CHKHTWX,X002EPBTD9,"Max Factor Facefinity Matte Bronzer, 001 Light Bronze",'MAN3',GB,6.8,6.7,1.2,centimeters,0.04,kilograms,0.0019,cubic feet,Standard-Size,19.55,0.0,0.0377,2025-12,8.5,weeks,1.37,0.0,19.55,0.0377,0.0517,0.0,GBP,0.0517,Others,N,N,0.0,--,0.0
B07RZBBG14,X002F5VV0T,"Dragon Shield AT-13201 Standard Size Perfect Fit Sealable (100 Sleeves), clear",'MAN3',GB,24.7,8.5,1.2,centimeters,0.08,kilograms,0.0089,cubic feet,Standard-Size,1.0,0.0,0.0089,2025-12,8.5,weeks,0.75,0.0,1.0,0.0089,0.01,0.0,GBP,0.01,shoes & bags,N,N,0.0,--,0.0
B0CTD6Q6KY,X002AFI3HN,"McFarlane DC Multiverse 7"" Scale Vehicles - Tumbler with Lucius Fox (The Dark Knight) Gold Label, Includes Action Figure and Accessories",'MAN4',GB,48.6,27.8,17.6,centimeters,2.38,kilograms,0.8397,cubic feet,Oversize,4.0,0.0,3.359,2025-12,63.3,weeks,0.79,0.0,4.0,3.359,2.65,0.0,GBP,2.65,Others,N,N,0.0,--,0.0
B081Q9CFGC,X00204V32V,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),'MME1',GB,11.1,4.1,2.3,centimeters,0.02,kilograms,0.0037,cubic feet,Standard-Size,1.03,0.0,0.0036,2025-12,8.5,weeks,1.37,0.0,0.97,0.0036,0.0049,0.0,GBP,0.0049,Others,N,N,0.0,--,0.06
B007R2ICTK,X002057DE7,"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106)",'MME1',GB,14.0,4.2,2.4,centimeters,0.06,kilograms,0.005,cubic feet,Standard-Size,19.81,0.0,0.0984,2025-12,--,--,1.18,0.0,0.0,0.0,0.0,0.0,GBP,0.1151,Others,N,N,0.0,--,0.06
B010E25DI2,X0021K11U3,100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm,'MME1',GB,18.3,11.6,1.6,centimeters,0.11,kilograms,0.012,cubic feet,Standard-Size,1.0,0.0,0.012,2025-12,8.5,weeks,1.37,0.0,0.94,0.0112,0.0164,0.0,GBP,0.0164,Others,N,N,0.0,--,0.0
B08MW8XMNQ,X0022RQT3T,Piksters Eco Charcoal 30 Floss Picks - Pack of 1,'MME1',GB,9.6,6.6,1.9,centimeters,0.04,kilograms,0.0043,cubic feet,Standard-Size,1.0,0.0,0.0043,2025-12,8.5,weeks,1.37,0.0,1.0,0.0043,0.0058,0.0,GBP,0.0058,Others,N,N,0.0,--,0.0
B0D2Y4NPKZ,X0022YQ5E5,"OM SYSTEM VN-541 PC Digital Voice Recorder with One-Touch Recording, Omnidirectional Microphone, Noise Cancellation, 4GB Built-in Memory, Ideal for Lectures & Meetings",'MME1',GB,16.6,6.8,5.7,centimeters,0.19,kilograms,0.0227,cubic feet,Standard-Size,0.29,0.0,0.0044,2025-12,8.5,weeks,1.37,0.0,0.19,0.0044,0.006,0.0,GBP,0.006,Others,N,N,0.0,--,0.1
B002HY4YSQ,X0023ISNDV,Kitchen Devils Lifestyle Peeler Parer Knife 602001,'MME1',GB,27.2,8.4,1.7,centimeters,0.06,kilograms,0.0137,cubic feet,Standard-Size,0.32,0.0,0.0022,2025-12,8.5,weeks,1.37,0.0,0.03,4.0E-4,0.003,0.0,GBP,0.003,Others,N,N,0.0,--,0.16
B0001P0DLU,X0023ISRE1,Loctite 319 Rear View Mirror Bonder 0.5ml,'MME1',GB,16.5,9.6,1.3,centimeters,0.01,kilograms,0.0073,cubic feet,Standard-Size,86.0,0.0,0.6254,2025-12,--,--,1.18,0.0,0.0,0.0,0.0,0.0,GBP,0.7349,Others,N,N,0.0,--,0.0
B08FSDMVNP,X00245PODF,Crucial USB-C to USB-A Adapter - CTUSBCFUSBAMAD,'MME1',GB,7.4,4.1,0.7,centimeters,0.01,kilograms,8.0E-4,cubic feet,Standard-Size,0.94,0.0,5.0E-4,2025-12,8.5,weeks,1.37,0.0,0.1,1.0E-4,7.0E-4,0.0,GBP,7.0E-4,Others,N,N,0.0,--,0.26
B07W45L22P,X0025E26D1,Funko POP! Star Wars: the Mandalorian - Big Tom - Heavy Infantry Mandalorian - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans,'MME1',GB,16.1,11.91,8.99,centimeters,0.17,kilograms,0.0609,cubic feet,Standard-Size,0.61,0.0,0.0373,2025-12,8.5,weeks,1.37,0.0,0.61,0.0373,0.0511,0.0,GBP,0.0511,Others,N,N,0.0,--,0.0
B004I2N5AS,X0025MV6P7,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red,'MME1',GB,12.5,7.6,0.9,centimeters,0.01,kilograms,0.003,cubic feet,Standard-Size,11.0,0.0,0.0332,2025-12,8.5,weeks,1.37,0.0,11.0,0.0332,0.0455,0.0,GBP,0.0455,Others,N,N,0.0,--,0.0
B00F4LA0K0,X0028A4KS1,"Chef Aid Cocktail Sticks, Pack of 200 Stick perfect for Buffets and Cocktails use, The Skewer design helps hold sweet and savoury foods, Each cocktails stick measures 8 cm",'MME1',GB,14.6,8.9,1.4,centimeters,0.04,kilograms,0.0064,cubic feet,Standard-Size,0.48,0.0,0.0031,2025-12,8.5,weeks,1.37,0.0,0.48,0.0031,0.0043,0.0,GBP,0.0043,Others,N,N,0.0,--,0.0
B00BWU7MNU,X0028GYIGT,"SPLAT Biocalcium Toothpaste, 100 ml",'MME1',GB,18.2,5.1,3.9,centimeters,0.15,kilograms,0.0128,cubic feet,Standard-Size,2.58,0.0,0.033,2025-12,8.5,weeks,1.37,0.0,2.58,0.033,0.0452,0.0,GBP,0.0452,Others,N,N,0.0,--,0.0
B086ZD7MG6,X00293G0VR,Curaprox CPS 07 Prime Start Interdental Brush Set |Starter Set with 5 Brushes |2 Different Holders |Red | 0.7 mm Diameter |2.5 mm Effectiveness | Made in Switzerland,'MME1',GB,15.0,6.0,1.4,centimeters,0.03,kilograms,0.0044,cubic feet,Standard-Size,0.13,0.0,6.0E-4,2025-12,8.5,weeks,1.37,0.0,0.0,0.0,8.0E-4,0.0,GBP,8.0E-4,Others,N,N,0.0,--,0.0
B093FQYQJH,X00293I5FB,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",'MME1',GB,22.4,5.9,2.4,centimeters,0.03,kilograms,0.0112,cubic feet,Standard-Size,0.13,0.0,0.0014,2025-12,8.5,weeks,1.37,0.0,0.0,0.0,0.002,0.0,GBP,0.002,Others,N,N,0.0,--,0.0
B00S9IXBVU,X00298HYM1,ProDec Combination Shavehook for Removing Paint and Varnish from Flat and Irregular Surfaces,'MME1',GB,30.6,10.8,5.5,centimeters,0.15,kilograms,0.0642,cubic feet,Standard-Size,0.06,0.0,0.0041,2025-12,8.5,weeks,1.37,0.0,0.0,0.0,0.0057,0.0,GBP,0.0057,Others,N,N,0.0,--,0.0
B001OXH0X2,X00298OQXB,"Solvite SLVTHRIFT Wallpaper & Border Paste, Set of 1",'MME1',GB,21.7,10.8,2.6,centimeters,0.07,kilograms,0.0215,cubic feet,Standard-Size,3.0,0.0,0.0646,2025-12,8.5,weeks,1.37,0.0,3.0,0.0646,0.0884,0.0,GBP,0.0884,Others,N,N,0.0,--,0.0
9188805646,X0029FM6EP,"Free League Publishing MÖRK Borg (Fantasy OSR RPG, Hardback, Full Color",'MME1',GB,21.7,15.6,1.4,centimeters,0.39,kilograms,0.0167,cubic feet,Standard-Size,0.23,0.0,0.0038,2025-12,8.5,weeks,1.37,0.0,0.16,0.0027,0.0052,0.0,GBP,0.0052,Others,N,N,0.0,--,0.0
B0C9LJNJWZ,X0029NJZVJ,"LEXIBOOK, Barbie, Educational and Bilingual Laptop in English/French, Toy for children with 124 activities to learn, play games and music, Pink, JC598BBi1",'MME1',GB,34.7,27.3,5.6,centimeters,0.82,kilograms,0.1873,cubic feet,Standard-Size,1.0,0.0,0.1873,2025-12,8.5,weeks,1.37,0.0,1.0,0.1873,0.2567,0.0,GBP,0.2567,Others,N,N,0.0,--,0.0
B0BBHBX72C,X0029PQVV9,"OtterBox Defender Case for iPad 10th gen 2022, iPad 11th gen 2025 (A16), Shockproof, Rugged Protective Case with built in Screen Protector, 2x Tested to Military Standard, Black, No Retail Packaging",'MME1',GB,26.7,19.8,3.7,centimeters,0.48,kilograms,0.0691,cubic feet,Standard-Size,0.42,0.0,0.029,2025-12,8.5,weeks,0.75,0.0,0.03,0.0022,0.0228,0.0,GBP,0.0228,shoes & bags,N,N,0.0,--,0.0
B09445GL1C,X002BA017H,"Price's - Time for You Large Jar Candle - Sweet, Delicious Fragrance - Long Lasting Scent - Up to 100 Hour Burn Time - Ideal for All Occasions",'MME1',GB,23.2,16.6,11.9,centimeters,1.01,kilograms,0.1618,cubic feet,Standard-Size,2.0,0.0,0.3237,2025-12,8.5,weeks,1.37,0.0,2.0,0.3237,0.4401,0.0,GBP,0.4401,Others,N,N,0.0,--,0.0
