Order number_norm,sales,ship_x,promo_x,sb_total,Order ID,price,ship_y,gift,promo_y,our_total,diff
202-6164828-7590752,4.9,0.0,0.0,4.9,202-6164828-7590752,4.9,0.5,0.0,0.0,5.4,0.5
202-6203773-3880342,6.88,0.0,0.0,6.88,202-6203773-3880342,6.88,0.0,0.0,0.0,6.88,0.0
202-6224398-4135568,49.99,0.0,0.0,49.99,202-6224398-4135568,49.99,0.0,0.0,0.0,49.99,0.0
202-6229810-4045138,4.6,0.0,0.0,4.6,202-6229810-4045138,4.6,0.0,0.0,0.0,4.6,0.0
202-6239149-4855561,14.0,0.0,0.0,14.0,202-6239149-4855561,14.0,0.0,0.0,0.0,14.0,0.0
202-6241048-1386729,7.99,0.0,0.0,7.99,202-6241048-1386729,7.99,0.0,0.0,0.0,7.99,0.0
202-6245735-1247567,81.99,0.0,0.0,81.99,202-6245735-1247567,81.99,0.0,0.0,0.0,81.99,0.0
202-6257191-0999539,9.99,0.0,0.0,9.99,202-6257191-0999539,9.99,0.0,0.0,0.0,9.99,0.0
202-6261123-3517163,10.99,0.0,0.0,10.99,202-6261123-3517163,10.99,0.0,0.0,0.0,10.99,0.0
202-6268649-9847525,7.33,0.0,0.0,7.33,202-6268649-9847525,7.33,0.0,0.0,0.0,7.33,0.0
202-6273815-4743514,5.02,0.0,0.0,5.02,202-6273815-4743514,5.02,0.0,0.0,0.0,5.02,0.0
202-6278221-6415527,11.98,0.0,0.0,11.98,202-6278221-6415527,11.98,0.0,0.0,0.0,11.98,0.0
202-6292732-2099558,6.8,0.0,0.0,6.8,202-6292732-2099558,6.8,0.0,0.0,0.0,6.8,0.0
202-6294201-5065944,13.99,0.0,0.0,13.99,202-6294201-5065944,13.99,0.0,0.0,0.0,13.99,0.0
202-6302933-8662701,10.99,0.0,0.0,10.99,202-6302933-8662701,10.99,0.0,0.0,0.0,10.99,0.0
202-6303330-2638734,30.16,0.0,0.0,30.16,202-6303330-2638734,30.16,0.0,0.0,0.0,30.16,0.0
202-6305708-4625122,29.93,0.0,0.0,29.93,202-6305708-4625122,29.93,0.0,0.0,0.0,29.93,0.0
202-6313614-9459563,11.89,0.0,0.0,11.89,202-6313614-9459563,11.89,0.0,0.0,0.0,11.89,0.0
202-6314908-3549101,8.73,0.0,0.0,8.73,202-6314908-3549101,8.73,0.0,0.0,0.0,8.73,0.0
202-6325603-3645162,16.76,0.0,0.0,16.76,202-6325603-3645162,16.76,0.0,0.0,0.0,16.76,0.0
202-6335285-0893100,2.97,0.0,0.0,2.97,202-6335285-0893100,2.97,0.9,0.0,0.0,3.87,0.9
202-6341581-1035555,3.0,0.0,0.0,3.0,202-6341581-1035555,3.0,0.0,0.0,0.0,3.0,0.0
202-6349243-7696313,7.02,-0.29,0.0,6.7299999999999995,202-6349243-7696313,6.8,1.12,0.0,0.0,7.92,1.19
202-6355765-6295515,6.2,0.0,0.0,6.2,202-6355765-6295515,6.2,0.0,0.0,0.0,6.2,0.0
202-6358715-2873942,9.46,0.0,0.0,9.46,202-6358715-2873942,9.46,0.0,0.0,0.0,9.46,0.0
202-6359439-1489937,6.8,0.0,-0.34,6.46,202-6359439-1489937,6.8,0.0,0.0,-0.28,6.52,0.06
202-6362272-3669955,6.8,0.0,0.0,6.8,202-6362272-3669955,6.8,0.0,0.0,0.0,6.8,0.0
202-6362451-4924300,5.29,0.0,0.0,5.29,202-6362451-4924300,5.29,0.0,0.0,0.0,5.29,0.0
