Date,Order ID,marketplace_id,SKU,Quantity Ordered,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,COGS_Total,COGS_VAT,COGS_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT,Margin_ExVAT,Margin_Pct
2025-11-03T11:17:09Z,026-5123361-5591520,A1F83G8C2ARO7P,0H-5V53-GPG4,1,12.00,2.00,10.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.60,0.60,3.00,2.16,0.36,1.80,-0.12,-0.02,-0.10,,
2025-11-03T11:17:23Z,206-0793616-8898720,A1F83G8C2ARO7P,F7-PMJ2-SG6A,1,7.90,1.32,6.58,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,2.00,0.33,1.67,1.43,0.24,1.19,-0.07,-0.01,-0.06,,
2025-11-03T11:38:49Z,205-1896945-5289144,A1F83G8C2ARO7P,0G-JB6S-PN34,1,7.15,0.00,7.15,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,0.68,0.11,0.57,-0.07,-0.01,-0.06,,
2025-11-03T12:39:23Z,026-4604687-7187531,A1F83G8C2ARO7P,0G-JB6S-PN34,1,7.15,0.00,7.15,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,0.68,0.11,0.57,-0.07,-0.01,-0.06,,
2025-11-03T12:58:49Z,206-6209648-7494734,A1F83G8C2ARO7P,8M-NHB7-T8TR,1,29.97,5.00,24.97,0.55,,0.55,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.76,0.63,3.13,5.40,0.90,4.50,-0.18,-0.03,-0.15,,
2025-11-03T14:17:20Z,206-8831851-6833909,A1F83G8C2ARO7P,0H-5V53-GPG4,1,12.00,2.00,10.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.60,0.60,3.00,2.16,0.36,1.80,-0.12,-0.02,-0.10,,
2025-11-03T14:29:28Z,026-1566605-5431569,A1F83G8C2ARO7P,R7-98IN-2PW8,1,5.83,0.97,4.86,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.80,0.30,1.50,0.56,0.09,0.47,-0.05,-0.01,-0.04,,
2025-11-03T15:16:13Z,205-4175209-2117969,A1F83G8C2ARO7P,BB-ZT14-1QQA,1,8.00,1.33,6.67,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.75,0.29,1.46,1.44,0.24,1.20,-0.06,-0.01,-0.05,,
2025-11-03T15:24:19Z,204-5871879-2041117,A1F83G8C2ARO7P,4F-HT42-FD26,1,9.48,1.58,7.90,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,2.06,0.34,1.72,1.70,0.28,1.42,-0.07,-0.01,-0.06,,
2025-11-03T15:45:59Z,206-3479974-9319514,A1F83G8C2ARO7P,0H-5V53-GPG4,1,12.00,2.00,10.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.60,0.60,3.00,2.16,0.36,1.80,-0.12,-0.02,-0.10,,
