timestamp_utc,marketplace,sku,asin,our_price,buy_box_price,buy_box_channel,lowest_fba_price,lowest_fbm_price,offer_count_fba,offer_count_fbm,bsr,bsr_category,source,notes
2026-02-06T00:00:00Z,UK,6V-EEC1-2S9Z,B06WW79DX5,7.96,7.99,Unknown,,,,,,,SPAPI,high velocity consistent
2026-02-06T00:00:00Z,UK,AX-NKNU-29C1,B08M52B4M5,3.99,3.99,Unknown,,,,,,,SPAPI,high velocity inconsistent
2026-02-06T00:00:00Z,UK,JB-RGB6-LZOJ,B0001P0DLU,6.09,6.09,Unknown,,,,,,,SPAPI,mid velocity consistent
2026-02-06T00:00:00Z,UK,VF-3T0K-DR5O,B08KFFY86W,5.35,5.35,Unknown,,,,,,,SPAPI,mid velocity inconsistent
2026-02-06T00:00:00Z,UK,XY-UM2X-TPS3,B003VTZAM0,11.47,11.47,Unknown,,,,,,,SPAPI,mid velocity consistent
2026-02-06T00:00:00Z,UK,4W-VS57-BV6A,B0C9LJNJWZ,35.91,35.91,Unknown,,,,,,,SPAPI,low velocity consistent
2026-02-06T00:00:00Z,UK,TJ-6LOP-OPEU,B08P63MSS9,7.97,7.97,Unknown,,,,,,,SPAPI,low velocity consistent
2026-02-06T00:00:00Z,UK,RZ-6ZL9-CZ7J,B075XT2J8X,6.97,6.97,Unknown,,,,,,,SPAPI,low velocity inconsistent
2026-02-06T00:00:00Z,UK,XH-0LAE-FQO5,B00AOES9GE,6.9,6.9,Unknown,,,,,,,SPAPI,low velocity inconsistent
2026-02-06T00:00:00Z,UK,YC-3L3M-BV48,B0CTD6Q6KY,74.26,74.26,Unknown,,,,,,,SPAPI,low velocity inconsistent
